λ,σ,Δσ
200.0,2.76e-18,NaN
205.0,1.85e-18,NaN
210.0,1.15e-18,NaN
215.0,7.2e-19,NaN
220.0,5.0e-19,NaN
225.0,3.8e-19,NaN
230.0,3.0e-19,NaN
235.0,2.5e-19,NaN
240.0,2.0e-19,NaN
245.0,1.6e-19,NaN
250.0,1.2e-19,NaN
254.0,9.8e-20,NaN
255.0,9.2e-20,NaN
260.0,6.8e-20,NaN
265.0,4.8e-20,NaN
270.0,3.2e-20,NaN
275.0,2.1e-20,NaN
280.0,1.3e-20,NaN
285.0,8.0e-21,NaN
290.0,4.8e-21,NaN
295.0,2.8e-21,NaN
300.0,1.6e-21,NaN
305.0,9.0e-22,NaN
310.0,4.0e-22,NaN
315.0,2.0e-22,NaN
320.0,2.0e-23,NaN
325.0,0.0,NaN
330.0,0.0,NaN
