λ,σ,Δσ
196.0,4.3e-18,NaN
198.0,4.0e-18,NaN
200.0,3.6e-18,NaN
202.0,3.2e-18,NaN
203.0,2.9e-18,NaN
206.0,2.6e-18,NaN
208.0,2.3e-18,NaN
210.0,2.0e-18,NaN
212.0,1.7e-18,NaN
214.0,1.4e-18,NaN
216.0,1.2e-18,NaN
218.0,1.0e-18,NaN
220.0,9.0e-19,NaN
222.0,7.8e-19,NaN
224.0,6.8e-19,NaN
226.0,5.9e-19,NaN
228.0,5.2e-19,NaN
230.0,4.6e-19,NaN
232.0,4.0e-19,NaN
234.0,3.5e-19,NaN
236.0,3.1e-19,NaN
238.0,2.8e-19,NaN
240.0,2.4e-19,NaN
242.0,2.1e-19,NaN
244.0,1.9e-19,NaN
246.0,1.7e-19,NaN
248.0,1.5e-19,NaN
250.0,1.3e-19,NaN
252.0,1.1e-19,NaN
254.0,1.0e-19,NaN
256.0,8.9e-20,NaN
258.0,7.8e-20,NaN
260.0,6.8e-20,NaN
262.0,6.0e-20,NaN
264.0,5.2e-20,NaN
266.0,4.5e-20,NaN
268.0,3.9e-20,NaN
270.0,3.4e-20,NaN
272.0,2.9e-20,NaN
274.0,2.4e-20,NaN
276.0,2.1e-20,NaN
278.0,1.7e-20,NaN
280.0,1.5e-20,NaN
282.0,1.2e-20,NaN
284.0,1.0e-20,NaN
286.0,8.1e-21,NaN
288.0,6.5e-21,NaN
290.0,5.4e-21,NaN
292.0,4.5e-21,NaN
294.0,3.7e-21,NaN
296.0,3.0e-21,NaN
298.0,2.4e-21,NaN
300.0,1.9e-21,NaN
302.0,1.5e-21,NaN
304.0,1.2e-21,NaN
306.0,1.0e-21,NaN
308.0,8.2e-22,NaN
310.0,6.7e-22,NaN
312.0,5.4e-22,NaN
314.0,4.6e-22,NaN
316.0,3.6e-22,NaN
318.0,3.0e-22,NaN
320.0,2.5e-22,NaN
322.0,2.0e-22,NaN
324.0,1.7e-22,NaN
326.0,1.4e-22,NaN
328.0,1.2e-22,NaN
330.0,1.1e-22,NaN
332.0,8.6e-23,NaN
334.0,6.8e-23,NaN
336.0,6.1e-23,NaN
338.0,5.3e-23,NaN
340.0,5.0e-23,NaN
342.0,3.6e-23,NaN
344.0,2.4e-23,NaN
346.0,2.3e-23,NaN
348.0,2.5e-23,NaN
350.0,1.6e-23,NaN
