λ,σ
219.78,9.28e-19
220.33,8.58e-19
221.26,8.03e-19
221.8,7.69e-19
222.78,7.31e-19
223.66,6.92e-19
224.44,6.56e-19
225.42,6.18e-19
226.25,5.9e-19
226.99,5.57e-19
227.97,5.27e-19
228.9,4.99e-19
229.59,4.74e-19
230.52,4.48e-19
231.1,4.34e-19
231.54,4.21e-19
232.48,3.97e-19
233.21,3.79e-19
233.75,3.63e-19
234.73,3.45e-19
235.46,3.32e-19
236.05,3.18e-19
236.98,3.01e-19
237.66,2.88e-19
238.3,2.74e-19
239.28,2.6e-19
240.21,2.46e-19
240.85,2.34e-19
241.78,2.23e-19
242.36,2.15e-19
242.86,2.07e-19
243.79,1.96e-19
244.52,1.87e-19
245.11,1.8e-19
246.09,1.71e-19
246.82,1.63e-19
247.46,1.56e-19
248.44,1.48e-19
249.27,1.41e-19
249.85,1.36e-19
250.79,1.28e-19
251.77,1.2e-19
252.74,1.14e-19
253.67,1.08e-19
254.46,1.03e-19
254.95,9.92e-20
255.68,9.39e-20
256.61,8.93e-20
257.59,8.42e-20
258.62,7.85e-20
259.6,7.41e-20
260.53,6.88e-20
261.41,6.54e-20
262.3,6.14e-20
263.23,5.82e-20
263.77,5.55e-20
264.26,5.32e-20
265.14,5.04e-20
265.98,4.71e-20
266.86,4.41e-20
267.74,4.14e-20
268.53,3.92e-20
269.17,3.73e-20
269.76,3.53e-20
270.45,3.36e-20
271.08,3.18e-20
271.63,3.03e-20
272.17,2.89e-20
273.0,2.71e-20
273.84,2.52e-20
274.67,2.36e-20
275.46,2.21e-20
276.05,2.09e-20
276.55,2.0e-20
276.94,1.9e-20
277.73,1.8e-20
278.37,1.7e-20
278.96,1.62e-20
279.3,1.59e-20
279.84,1.51e-20
280.63,1.4e-20
281.42,1.3e-20
282.06,1.22e-20
282.65,1.16e-20
283.24,1.1e-20
283.78,1.06e-20
284.38,1.0e-20
284.92,9.43e-21
285.71,8.78e-21
286.45,8.16e-21
286.99,7.69e-21
287.34,7.42e-21
287.78,7.11e-21
288.57,6.6e-21
289.31,6.13e-21
289.85,5.78e-21
290.35,5.49e-21
291.14,5.1e-21
291.78,4.79e-21
292.17,4.57e-21
292.57,4.34e-21
293.31,4.02e-21
293.86,3.8e-21
294.2,3.64e-21
294.7,3.48e-21
295.49,3.23e-21
296.23,3.0e-21
296.72,2.82e-21
297.17,2.68e-21
298.0,2.51e-21
298.74,2.33e-21
299.39,2.16e-21
300.03,2.03e-21
300.77,1.88e-21
301.41,1.78e-21
301.86,1.69e-21
302.3,1.62e-21
303.04,1.5e-21
303.88,1.4e-21
304.42,1.32e-21
304.87,1.25e-21
305.7,1.17e-21
306.54,1.08e-21
307.09,1.01e-21
307.78,9.48e-22
308.56,8.8e-22
309.4,8.21e-22
309.95,7.68e-22
310.59,7.16e-22
311.42,6.7e-22
312.16,6.22e-22
313.0,5.7e-22
313.89,5.36e-22
314.72,5.01e-22
315.32,4.73e-22
315.76,4.48e-22
316.55,4.14e-22
317.33,3.95e-22
317.97,3.76e-22
318.42,3.6e-22
318.86,3.43e-22
319.65,3.19e-22
320.1,3.02e-22
320.44,2.92e-22
320.84,2.81e-22
321.28,2.7e-22
322.02,2.53e-22
322.85,2.36e-22
323.69,2.24e-22
324.42,2.11e-22
325.02,2.0e-22
