λ,σ
253,1.546e-20
254,1.607e-20
255,1.556e-20
256,1.521e-20
257,1.409e-20
258,1.246e-20
259,1.071e-20
260,9.08e-21
261,8.01e-21
262,7.37e-21
263,7.18e-21
264,7.18e-21
265,7.0e-21
266,6.51e-21
267,5.66e-21
268,4.7e-21
269,3.67e-21
270,2.78e-21
271,2.24e-21
272,1.95e-21
273,1.85e-21
274,1.82e-21
275,1.88e-21
276,1.89e-21
277,1.8e-21
278,1.64e-21
279,1.39e-21
280,1.18e-21
281,1.01e-21
282,9.3e-22
283,9.8e-22
284,1.04e-21
285,1.13e-21
286,1.24e-21
287,1.38e-21
288,1.56e-21
289,1.73e-21
290,1.9e-21
291,2.1e-21
292,2.34e-21
293,2.58e-21
294,2.89e-21
295,3.22e-21
296,3.52e-21
297,3.86e-21
298,4.21e-21
299,4.56e-21
300,4.9e-21
301,5.29e-21
302,5.78e-21
303,6.33e-21
304,6.87e-21
305,7.56e-21
306,8.24e-21
307,8.94e-21
308,9.69e-21
309,1.032e-20
310,1.095e-20
311,1.161e-20
312,1.214e-20
313,1.269e-20
314,1.335e-20
315,1.416e-20
316,1.543e-20
317,1.685e-20
318,1.78e-20
319,1.906e-20
320,2.043e-20
321,2.136e-20
322,2.233e-20
323,2.294e-20
324,2.332e-20
325,2.408e-20
326,2.51e-20
327,2.556e-20
328,2.612e-20
329,2.744e-20
330,2.893e-20
331,3.051e-20
332,3.312e-20
333,3.512e-20
334,3.515e-20
335,3.563e-20
336,3.61e-20
337,3.602e-20
338,3.584e-20
339,3.542e-20
340,3.475e-20
341,3.5e-20
342,3.714e-20
343,3.753e-20
344,3.729e-20
345,3.766e-20
346,4.019e-20
347,4.089e-20
348,4.243e-20
349,4.412e-20
350,4.473e-20
351,4.268e-20
352,4.118e-20
353,4.056e-20
354,3.968e-20
355,3.648e-20
356,3.432e-20
357,3.227e-20
358,3.034e-20
359,2.847e-20
360,3.068e-20
361,3.197e-20
362,2.99e-20
363,2.638e-20
364,2.516e-20
365,2.575e-20
366,2.451e-20
367,2.57e-20
368,2.746e-20
369,3.087e-20
370,2.835e-20
371,2.521e-20
372,1.766e-20
373,1.51e-20
374,1.453e-20
375,1.065e-20
376,9.1e-21
377,8.2e-21
378,7.02e-21
379,5.04e-21
380,3.36e-21
381,2.41e-21
382,1.79e-21
383,1.46e-21
384,1.22e-21
385,9.7e-22
386,8.4e-22
387,7.7e-22
388,6.6e-22
389,5.6e-22
390,4.7e-22
391,3.4e-22
392,3.1e-22
393,2.6e-22
394,1.5e-22
395,1.1e-22
396,6.0e-23
397,2.0e-23
398,2.0e-23
399   < 1e-23,
