λ,σ
222.2,3.86e-20
222.89,3.75e-20
223.51,3.62e-20
224.02,3.51e-20
224.52,3.39e-20
225.08,3.27e-20
225.71,3.14e-20
226.27,3.03e-20
226.83,2.93e-20
227.4,2.84e-20
228.02,2.75e-20
228.83,2.68e-20
229.7,2.63e-20
230.57,2.59e-20
231.38,2.56e-20
232.26,2.54e-20
233.62,2.53e-20
234.87,2.55e-20
235.86,2.58e-20
236.92,2.61e-20
237.54,2.62e-20
238.78,2.64e-20
240.03,2.62e-20
241.02,2.6e-20
241.83,2.56e-20
242.27,2.55e-20
243.02,2.52e-20
243.76,2.48e-20
244.51,2.45e-20
245.38,2.41e-20
246.44,2.35e-20
247.44,2.3e-20
248.31,2.25e-20
248.93,2.21e-20
249.56,2.18e-20
250.43,2.12e-20
251.49,2.08e-20
252.36,2.04e-20
253.17,2.0e-20
253.29,1.99e-20
253.98,1.96e-20
254.6,1.92e-20
255.1,1.89e-20
255.79,1.83e-20
256.29,1.78e-20
257.1,1.72e-20
257.84,1.66e-20
258.59,1.6e-20
259.47,1.53e-20
260.65,1.44e-20
261.58,1.38e-20
262.33,1.34e-20
262.96,1.3e-20
263.58,1.27e-20
263.83,1.24e-20
264.51,1.2e-20
265.07,1.17e-20
265.57,1.13e-20
266.01,1.1e-20
266.69,1.05e-20
267.26,1.01e-20
267.75,9.67e-21
268.25,9.25e-21
268.75,8.72e-21
269.31,8.12e-21
270.06,7.7e-21
271.18,7.19e-21
271.99,6.86e-21
272.86,6.54e-21
273.8,6.24e-21
274.67,5.93e-21
275.54,5.61e-21
276.54,5.23e-21
277.78,4.71e-21
278.72,4.4e-21
279.59,4.1e-21
280.46,3.8e-21
281.46,3.51e-21
282.45,3.26e-21
283.57,3.01e-21
284.82,2.79e-21
286.06,2.59e-21
287.37,2.41e-21
288.74,2.27e-21
290.17,2.19e-21
291.6,2.09e-21
293.03,1.96e-21
294.46,1.85e-21
295.83,1.76e-21
297.82,1.63e-21
301.18,1.6e-21
304.41,1.67e-21
308.02,1.87e-21
311.37,2.07e-21
314.98,2.3e-21
318.21,2.62e-21
321.26,2.96e-21
323.87,3.29e-21
325.8,3.77e-21
326.79,4.05e-21
327.85,4.32e-21
328.53,4.56e-21
329.65,4.82e-21
330.7,5.09e-21
331.7,5.37e-21
332.94,5.48e-21
334.19,5.44e-21
335.43,5.47e-21
336.49,5.55e-21
337.11,5.9e-21
337.85,6.5e-21
338.41,6.87e-21
338.84,7.15e-21
339.4,7.52e-21
339.96,7.9e-21
340.64,8.36e-21
341.2,8.72e-21
341.76,9.1e-21
342.26,9.47e-21
342.75,9.75e-21
343.19,1.0e-20
343.31,1.01e-20
344.99,9.82e-21
346.36,1.03e-20
347.17,1.05e-20
347.79,9.99e-21
348.16,9.77e-21
348.29,9.79e-21
349.03,1.01e-20
350.09,1.06e-20
350.46,1.02e-20
350.71,9.81e-21
351.03,9.23e-21
352.27,1.02e-20
353.26,9.89e-21
353.32,1.06e-20
354.13,1.12e-20
354.5,1.07e-20
354.81,1.15e-20
355.0,1.25e-20
355.87,1.27e-20
355.93,1.33e-20
356.86,1.29e-20
357.23,1.34e-20
357.79,1.41e-20
358.1,1.36e-20
358.6,1.29e-20
359.1,1.35e-20
359.35,1.38e-20
360.03,1.45e-20
360.84,1.43e-20
360.96,1.42e-20
361.4,1.46e-20
361.64,1.46e-20
362.64,1.43e-20
362.7,1.42e-20
363.14,1.46e-20
363.88,1.56e-20
364.04,1.43e-20
364.19,1.29e-20
364.26,1.27e-20
365.13,1.24e-20
366.07,1.2e-20
366.63,1.16e-20
367.07,1.12e-20
367.13,1.09e-20
367.63,1.01e-20
368.19,1.12e-20
368.81,1.04e-20
369.5,9.65e-21
370.11,1.07e-20
370.42,1.26e-20
370.66,1.43e-20
371.53,1.46e-20
372.27,1.6e-20
372.78,1.41e-20
373.28,1.26e-20
373.77,1.45e-20
374.44,1.79e-20
374.64,1.5e-20
374.9,1.12e-20
375.95,1.36e-20
376.51,1.46e-20
377.62,1.56e-20
377.88,1.47e-20
378.38,1.37e-20
378.51,1.13e-20
379.31,1.35e-20
379.68,1.46e-20
380.3,1.6e-20
381.15,2.04e-20
381.23,1.94e-20
381.35,1.59e-20
381.49,1.38e-20
382.17,1.27e-20
382.34,1.06e-20
382.5,8.53e-21
383.06,7.53e-21
383.75,6.76e-21
384.68,5.95e-21
384.81,6.33e-21
385.43,6.68e-21
385.8,6.08e-21
385.86,6.35e-21
386.05,5.7e-21
386.36,5.24e-21
386.61,4.84e-21
386.93,4.46e-21
387.3,4.09e-21
388.02,3.52e-21
388.73,2.95e-21
389.29,2.74e-21
389.92,3.03e-21
390.91,2.84e-21
392.09,2.6e-21
392.72,2.48e-21
393.15,2.7e-21
393.9,3.05e-21
394.58,3.35e-21
394.64,3.33e-21
395.39,3.02e-21
396.45,2.54e-21
396.88,2.88e-21
397.38,3.19e-21
398.5,2.78e-21
399.43,2.47e-21
400.49,2.18e-21
401.73,2.01e-21
402.98,2.19e-21
404.35,2.2e-21
405.47,1.75e-21
406.28,1.43e-21
407.15,1.18e-21
