λ,σ,uncertainty
290,1.78e-20,3.3e-21
291,1.86e-20,1.6e-21
292,1.96e-20,1.9e-21
293,2.08e-20,1.8e-21
294,2.19e-20,2.1e-21
295,2.36e-20,2.9e-21
296,2.43e-20,1.8e-21
297,2.56e-20,2.2e-21
298,2.68e-20,1.9e-21
299,2.81e-20,2.2e-21
300,2.93e-20,2.2e-21
301,3.07e-20,2.1e-21
302,3.17e-20,2.4e-21
303,3.34e-20,2.4e-21
304,3.48e-20,2.7e-21
305,3.61e-20,2.6e-21
306,3.71e-20,2.4e-21
307,3.85e-20,2.6e-21
308,3.97e-20,2.5e-21
309,4.06e-20,2.5e-21
310,4.18e-20,2.5e-21
311,4.29e-20,2.5e-21
312,4.4e-20,2.8e-21
313,4.49e-20,2.8e-21
314,4.62e-20,2.7e-21
315,4.71e-20,2.7e-21
316,4.81e-20,2.6e-21
317,4.92e-20,2.7e-21
318,4.99e-20,2.8e-21
319,5.08e-20,2.7e-21
320,5.11e-20,2.5e-21
321,5.17e-20,2.7e-21
322,5.2e-20,2.7e-21
323,5.25e-20,2.5e-21
324,5.31e-20,2.6e-21
325,5.37e-20,2.6e-21
326,5.43e-20,2.7e-21
327,5.46e-20,2.7e-21
328,5.52e-20,2.6e-21
329,5.55e-20,3.0e-21
330,5.47e-20,1.7e-21
331,5.51e-20,3.3e-21
332,5.45e-20,3.6e-21
333,5.39e-20,4.0e-21
334,5.33e-20,4.0e-21
335,5.28e-20,3.8e-21
336,5.23e-20,3.4e-21
337,5.19e-20,3.2e-21
338,5.14e-20,2.9e-21
339,5.14e-20,2.7e-21
340,5.1e-20,2.9e-21
341,5.02e-20,3.5e-21
342,4.93e-20,4.6e-21
343,4.78e-20,6.3e-21
344,4.68e-20,7.4e-21
345,4.53e-20,7.8e-21
346,4.35e-20,7.8e-21
347,4.2e-20,7.6e-21
348,4.03e-20,7.3e-21
349,3.88e-20,6.5e-21
350,3.97e-20,6.1e-21
351,3.78e-20,4.9e-21
352,3.65e-20,4.0e-21
353,3.56e-20,3.2e-21
354,3.51e-20,2.7e-21
355,3.45e-20,2.4e-21
356,3.39e-20,2.2e-21
357,3.37e-20,2.1e-21
358,3.33e-20,2.1e-21
359,3.29e-20,2.1e-21
360,3.26e-20,2.1e-21
361,3.12e-20,3.1e-21
362,2.91e-20,4.1e-21
363,2.67e-20,5.2e-21
364,2.33e-20,5.8e-21
365,2.06e-20,5.8e-21
366,1.44e-20,5.2e-21
367,1.42e-20,4.6e-21
368,1.32e-20,3.8e-21
369,1.23e-20,2.9e-21
370,1.18e-20,2.7e-21
