λ,σ,Δσ
350.877525,-3.104759e-20,NaN
350.877896,-1.104271e-20,NaN
350.878267,-3.803406e-21,NaN
350.878638,-3.259892e-20,NaN
350.879009,-1.886721e-20,NaN
350.87938,-2.879668e-20,NaN
350.879751,-1.723302e-20,NaN
350.880122,-9.055634e-22,NaN
350.880493,-2.020473e-20,NaN
350.880864,-2.671942e-20,NaN
350.881235,2.025752e-21,NaN
350.881606,-2.905108e-20,NaN
350.881977,-1.924178e-20,NaN
350.882348,-1.70381e-20,NaN
350.882719,4.378571e-21,NaN
350.88309,2.441276e-22,NaN
350.883461,1.106968e-21,NaN
350.883832,-1.181448e-20,NaN
350.884203,-2.891378e-21,NaN
350.884574,-2.925641e-21,NaN
350.884945,2.046522e-21,NaN
350.885316,-4.831205e-21,NaN
350.885687,-1.590643e-20,NaN
350.886058,-9.584786e-22,NaN
350.886429,-3.479449e-20,NaN
350.8868,-2.83544e-20,NaN
350.887171,-2.196539e-20,NaN
350.887542,-3.178981e-20,NaN
350.887913,-1.748004e-20,NaN
350.888284,-2.176884e-21,NaN
350.888655,-2.594181e-20,NaN
350.889026,6.52274e-21,NaN
350.889397,1.330033e-20,NaN
350.889768,-5.010748e-21,NaN
350.890139,-3.729229e-21,NaN
350.89051,-2.308938e-20,NaN
350.890881,8.427457e-21,NaN
350.891252,-1.448702e-20,NaN
350.891623,-1.698244e-20,NaN
350.891994,-9.864523e-21,NaN
350.892365,-1.345995e-20,NaN
350.892736,-1.106203e-21,NaN
350.893107,-1.116789e-20,NaN
350.893478,-4.112273e-21,NaN
350.893849,-8.699147e-21,NaN
350.89422,3.291013e-21,NaN
350.894591,-2.886167e-20,NaN
350.894962,1.257715e-21,NaN
350.895333,-1.628618e-20,NaN
350.895704,1.249022e-20,NaN
350.896075,3.845674e-21,NaN
350.896446,1.23719e-21,NaN
350.896817,1.117377e-20,NaN
350.897188,-1.346447e-20,NaN
350.897559,1.265276e-20,NaN
350.89793,-1.45519e-20,NaN
350.898301,1.865659e-20,NaN
350.898672,2.386734e-21,NaN
350.899043,-1.486465e-20,NaN
350.899414,4.890885e-22,NaN
350.899785,-1.249867e-20,NaN
350.900156,-1.100909e-20,NaN
350.900527,-3.809829e-21,NaN
350.900898,1.281504e-20,NaN
350.901269,1.118595e-20,NaN
350.90164,-1.892182e-20,NaN
350.902011,8.048461e-21,NaN
350.902382,-3.864392e-22,NaN
350.902753,-2.662053e-20,NaN
350.903124,1.82274e-21,NaN
350.903495,-1.905087e-20,NaN
350.903866,-6.178414e-21,NaN
350.904237,-6.301442e-21,NaN
350.904608,-8.684211e-21,NaN
350.904979,1.310993e-20,NaN
350.90535,-1.67707e-21,NaN
350.905721,-1.366857e-20,NaN
350.906092,-7.643126e-21,NaN
350.906463,-9.812104e-21,NaN
350.906834,-8.565446e-21,NaN
350.907205,1.607803e-21,NaN
350.907576,2.666283e-21,NaN
350.907947,2.166986e-21,NaN
350.908319,-2.026704e-20,NaN
350.90869,3.676036e-21,NaN
350.909061,-1.358544e-20,NaN
350.909432,-2.496783e-21,NaN
350.909803,1.277828e-20,NaN
350.910174,-2.44801e-21,NaN
350.910545,1.412733e-20,NaN
350.910916,-8.576076e-21,NaN
350.911287,-1.198218e-20,NaN
350.911658,2.340685e-21,NaN
350.912029,-3.681691e-21,NaN
350.9124,-2.595766e-20,NaN
350.912771,-2.705963e-20,NaN
350.913142,-1.905585e-20,NaN
350.913513,1.567529e-20,NaN
350.913884,-9.334573e-22,NaN
350.914255,-3.169689e-20,NaN
350.914626,1.534495e-20,NaN
350.914997,4.849398e-21,NaN
350.915368,-1.421149e-20,NaN
350.915739,-4.276614e-21,NaN
350.916111,-1.579317e-20,NaN
350.916482,1.511713e-21,NaN
350.916853,-3.279973e-20,NaN
350.917224,-6.749851e-21,NaN
350.917595,2.435705e-20,NaN
350.917966,-1.949095e-20,NaN
350.918337,-2.607009e-21,NaN
350.918708,-3.380076e-22,NaN
350.919079,-4.059541e-20,NaN
350.91945,-4.080651e-20,NaN
350.919821,5.945757e-21,NaN
350.920192,-3.61265e-20,NaN
350.920563,-3.474424e-21,NaN
350.920934,1.819713e-20,NaN
350.921305,-2.874019e-20,NaN
350.921676,1.387874e-20,NaN
350.922048,-1.262864e-20,NaN
350.922419,9.606286e-21,NaN
350.92279,-1.206499e-20,NaN
350.923161,-2.100027e-20,NaN
350.923532,1.831108e-20,NaN
350.923903,6.974841e-21,NaN
350.924274,-2.677518e-20,NaN
350.924645,-2.274476e-21,NaN
350.925016,-2.282112e-20,NaN
350.925387,-3.239941e-20,NaN
350.925758,-7.785405e-21,NaN
350.926129,-5.155522e-21,NaN
350.9265,-3.499408e-20,NaN
350.926871,-1.119827e-20,NaN
350.927243,-2.314791e-20,NaN
350.927614,-1.121083e-20,NaN
350.927985,-1.628807e-20,NaN
350.928356,2.01466e-20,NaN
350.928727,-6.32713e-21,NaN
350.929098,-1.661205e-20,NaN
350.929469,-1.996935e-20,NaN
350.92984,-2.167015e-20,NaN
350.930211,-2.795017e-20,NaN
350.930582,-2.330341e-20,NaN
350.930953,-1.115725e-20,NaN
350.931324,-3.194033e-20,NaN
350.931696,-2.518439e-21,NaN
350.932067,-1.293043e-20,NaN
350.932438,-3.529311e-20,NaN
350.932809,-2.191457e-20,NaN
350.93318,-3.128944e-20,NaN
350.933551,1.580244e-21,NaN
350.933922,-2.041936e-20,NaN
350.934293,1.338636e-20,NaN
350.934664,-2.756963e-20,NaN
350.935035,-4.384683e-20,NaN
350.935407,3.230391e-21,NaN
350.935778,1.268119e-20,NaN
350.936149,-2.082412e-20,NaN
350.93652,-6.479737e-21,NaN
350.936891,-1.196824e-20,NaN
350.937262,-1.903869e-20,NaN
350.937633,-5.127329e-22,NaN
350.938004,3.897911e-21,NaN
350.938375,-2.835873e-20,NaN
350.938746,1.516008e-20,NaN
350.939118,-1.986837e-20,NaN
350.939489,1.326831e-20,NaN
350.93986,-2.812148e-20,NaN
350.940231,-2.577946e-20,NaN
350.940602,3.883802e-22,NaN
350.940973,1.353221e-20,NaN
350.941344,-6.749167e-21,NaN
350.941715,3.397584e-21,NaN
350.942086,-1.018098e-20,NaN
350.942457,-1.359857e-20,NaN
350.942829,-3.031527e-20,NaN
350.9432,-2.072595e-22,NaN
350.943571,-1.821276e-20,NaN
350.943942,-1.368464e-20,NaN
350.944313,-2.909845e-20,NaN
350.944684,-2.233173e-20,NaN
350.945055,1.553703e-20,NaN
350.945426,-2.708347e-20,NaN
350.945798,-4.483465e-21,NaN
350.946169,7.738316e-22,NaN
350.94654,-5.509985e-20,NaN
350.946911,-1.523275e-20,NaN
350.947282,7.603999e-21,NaN
350.947653,3.909206e-21,NaN
350.948024,8.239425e-22,NaN
350.948395,1.121628e-20,NaN
350.948766,-1.119846e-20,NaN
350.949138,-1.77124e-20,NaN
350.949509,8.534105e-21,NaN
350.94988,5.32215e-21,NaN
350.950251,-1.665672e-20,NaN
350.950622,-3.75583e-21,NaN
350.950993,-1.199627e-20,NaN
350.951364,-2.224801e-20,NaN
350.951736,2.329554e-20,NaN
350.952107,-3.840348e-20,NaN
350.952478,5.944131e-21,NaN
350.952849,-1.738042e-20,NaN
350.95322,-2.511322e-20,NaN
350.953591,1.645683e-20,NaN
350.953962,-1.673587e-20,NaN
350.954333,-1.540785e-20,NaN
350.954705,-3.021981e-20,NaN
350.955076,-3.743449e-20,NaN
350.955447,3.608295e-22,NaN
350.955818,-3.8081e-20,NaN
350.956189,-1.06414e-20,NaN
350.95656,2.030233e-21,NaN
350.956931,-3.115476e-20,NaN
350.957303,2.600685e-21,NaN
350.957674,-1.972614e-20,NaN
350.958045,-1.35982e-20,NaN
350.958416,9.218679e-21,NaN
350.958787,5.547726e-21,NaN
350.959158,-3.72708e-20,NaN
350.959529,6.554826e-22,NaN
350.959901,-2.966424e-20,NaN
350.960272,5.421692e-21,NaN
350.960643,-7.646028e-21,NaN
350.961014,-2.1838e-20,NaN
350.961385,-7.193766e-21,NaN
350.961756,-2.540916e-20,NaN
350.962128,-3.052816e-21,NaN
350.962499,-1.960949e-20,NaN
350.96287,-1.236619e-20,NaN
350.963241,-2.371439e-20,NaN
