λ,σ,Δσ
251.7,2.642e-21,NaN
254.9,4.427e-21,NaN
258.1,4.363e-21,NaN
261.5,6.933e-21,NaN
265.0,7.008e-21,NaN
268.5,1.1074e-20,NaN
272.2,1.2631e-20,NaN
275.9,1.8865e-20,NaN
279.8,1.8874e-20,NaN
283.7,2.7238e-20,NaN
287.8,2.3613e-20,NaN
292.0,2.9321e-20,NaN
296.3,3.2524e-20,NaN
300.8,1.5854e-20,NaN
305.4,4.4061e-20,NaN
310.1,1.6737e-20,NaN
315.0,4.023e-20,NaN
320.0,1.4679e-20,NaN
325.0,2.7612e-20,NaN
330.0,1.9094e-20,NaN
335.0,1.831e-21,NaN
340.0,2.2729e-20,NaN
345.0,7.547e-21,NaN
350.0,2.204e-21,NaN
