λ,σ
313.059,6.27e-21
313.06,3.68e-21
313.061,2.57e-21
313.062,5.27e-21
313.063,4.35e-21
313.064,8.24e-22
313.065,-2.37e-21
313.066,-3.34e-21
313.067,8.24e-22
313.068,2.18e-21
313.069,9.16e-22
313.07,1.47e-21
313.071,2.91e-21
313.072,1.43e-21
313.073,5.87e-21
313.074,4.12e-21
313.075,6.95e-21
313.076,4.84e-21
313.077,9.83e-21
313.078,8.32e-21
313.079,1.04e-20
313.08,8.5e-21
313.081,6.71e-21
313.082,9.6e-21
313.083,8.9e-21
313.084,4.92e-21
313.085,9.28e-21
313.086,7.44e-21
313.087,3.45e-21
313.088,3.63e-21
313.089,2.13e-21
313.09,3.33e-21
313.091,6.25e-21
313.092,4.48e-21
313.093,6.29e-21
313.094,6.64e-21
313.095,6.27e-21
313.096,6.57e-21
313.097,1.63e-21
313.098,5.5e-21
313.099,7.08e-21
313.1,7.05e-21
313.101,9.16e-21
313.102,7.2e-21
313.103,6.28e-21
313.104,6.45e-21
313.105,7.38e-21
313.106,1.4e-20
313.107,1.16e-20
313.108,5.58e-21
313.109,1.4e-21
313.11,1.32e-20
313.111,5.58e-21
313.112,5.17e-21
313.113,6.49e-21
313.114,6.73e-21
313.115,4.54e-21
313.116,4.11e-21
313.117,3.99e-21
313.118,3.35e-21
313.119,3.69e-21
313.12,4.54e-21
313.121,4.45e-21
313.122,5.23e-21
313.123,7.24e-21
313.124,7.49e-21
313.125,6.38e-21
313.126,5.57e-21
313.127,5.3e-21
313.128,4.34e-21
313.129,5.49e-21
313.13,7.43e-21
313.131,7.38e-21
313.132,7.67e-21
313.133,8.31e-21
313.134,6.11e-21
313.135,5.12e-21
313.136,7.33e-21
313.137,7.58e-21
313.138,1.01e-20
313.139,1.14e-20
313.14,7.86e-21
313.141,9.02e-21
313.142,7.87e-21
313.143,6.26e-21
313.144,1.09e-20
313.145,1.29e-20
313.146,8.19e-21
313.147,5.49e-21
313.148,8.31e-21
313.149,1.14e-20
313.15,1.18e-20
313.151,5.67e-21
313.152,1.54e-21
313.153,3.16e-21
313.154,7.23e-21
313.155,5.8e-21
313.156,2.35e-21
313.157,2.93e-21
313.158,7.2e-21
313.159,3.9e-21
313.16,1.11e-20
313.161,1.31e-20
313.162,8.2e-21
313.163,6.47e-21
313.164,8.9e-21
313.165,6.72e-21
313.166,1.18e-20
313.167,1.43e-20
313.168,1.2e-20
313.169,8.56e-21
313.17,4.05e-21
313.171,5.47e-21
313.172,9.38e-21
313.173,1.26e-20
313.174,8.16e-21
313.175,4.48e-21
313.176,1.91e-21
313.177,1.01e-21
313.178,4.0e-21
313.179,9.03e-21
313.18,8.61e-21
313.181,9.64e-21
313.182,1.12e-20
313.183,9.78e-21
313.184,9.06e-21
313.185,1.21e-20
313.186,9.47e-21
313.187,6.64e-21
313.188,7.22e-21
313.189,8.94e-21
313.19,8.54e-21
313.191,7.49e-21
313.192,6.51e-21
313.193,6.31e-21
313.194,6.08e-21
313.195,2.55e-21
313.196,4.13e-21
313.197,3.6e-21
313.198,2.73e-21
313.199,4.67e-21
313.2,3.85e-21
313.201,2.2e-21
313.202,4.88e-21
313.203,7.61e-21
313.204,4.74e-21
313.205,2.42e-21
313.206,7.93e-21
313.207,6.49e-21
313.208,5.89e-21
313.209,6.53e-21
313.21,5.79e-21
313.211,7.36e-21
313.212,1.2e-20
313.213,1.36e-20
313.214,1.11e-20
