λ,σ
235.5,0.0
236.0,0.0
236.5,0.0
237.0,0.0
237.5,5.57e-22
238.0,0.0
238.5,0.0
239.0,0.0
239.5,0.0
240.0,0.0
240.5,0.0
241.0,0.0
241.5,0.0
242.0,3.32e-22
242.5,4.56e-22
243.0,6.65e-22
243.5,2.27e-22
244.0,0.0
244.5,0.0
245.0,0.0
245.5,5.04e-22
246.0,4.06e-22
246.5,2.32e-22
247.0,0.0
247.5,2.6e-22
248.0,7.14e-22
248.5,1.14e-21
249.0,1.64e-21
249.5,1.68e-21
250.0,1.04e-21
250.5,5.93e-22
251.0,3.35e-22
251.5,2.86e-22
252.0,1.7e-21
252.5,1.97e-21
253.0,1.39e-21
253.5,1.0e-21
254.0,1.41e-21
254.5,1.97e-21
255.0,2.39e-21
255.5,3.3e-21
256.0,4.39e-21
256.5,4.23e-21
257.0,2.69e-21
257.5,1.78e-21
258.0,1.11e-21
258.5,1.05e-21
259.0,3.87e-21
259.5,5.36e-21
260.0,4.3e-21
260.5,3.51e-21
261.0,4.87e-21
261.5,4.45e-21
262.0,3.75e-21
262.5,4.74e-21
263.0,8.62e-21
263.5,9.19e-21
264.0,8.02e-21
264.5,5.15e-21
265.0,3.53e-21
265.5,2.62e-21
266.0,2.28e-21
266.5,5.7e-21
267.0,1.25e-20
267.5,1.01e-20
268.0,9.8e-21
268.5,1.08e-20
269.0,8.18e-21
269.5,6.51e-21
270.0,5.44e-21
270.5,1.07e-20
271.0,1.65e-20
271.5,1.76e-20
272.0,1.3e-20
272.5,9.72e-21
273.0,6.4e-21
273.5,4.93e-21
274.0,4.23e-21
274.5,4.57e-21
275.0,1.9e-20
275.5,2.27e-20
276.0,2.58e-20
276.5,2.21e-20
277.0,1.5e-20
277.5,1.18e-20
278.0,8.81e-21
278.5,7.56e-21
279.0,1.94e-20
279.5,2.79e-20
280.0,2.49e-20
280.5,1.42e-20
281.0,1.51e-20
281.5,1.32e-20
282.0,9.73e-21
282.5,6.76e-21
283.0,5.82e-21
283.5,9.1e-21
284.0,3.71e-20
284.5,4.81e-20
285.0,3.95e-20
285.5,2.87e-20
286.0,2.24e-20
286.5,1.74e-20
287.0,1.13e-20
287.5,1.1e-20
288.0,2.62e-20
288.5,4.0e-20
289.0,3.55e-20
289.5,2.12e-20
290.0,1.07e-20
290.5,1.35e-20
291.0,1.99e-20
291.5,1.56e-20
292.0,8.65e-21
292.5,5.9e-21
293.0,1.11e-20
293.5,6.26e-20
294.0,7.4e-20
294.5,5.36e-20
295.0,4.17e-20
295.5,3.51e-20
296.0,2.7e-20
296.5,1.75e-20
297.0,1.16e-20
297.5,1.51e-20
298.0,3.69e-20
298.5,4.4e-20
299.0,3.44e-20
299.5,2.02e-20
300.0,1.06e-20
300.5,6.02e-21
301.0,1.63e-20
301.5,2.18e-20
302.0,1.29e-20
302.5,6.92e-21
303.0,1.69e-20
303.5,5.06e-20
304.0,7.2e-20
304.5,6.11e-20
305.0,4.06e-20
305.5,5.72e-20
306.0,5.21e-20
306.5,3.4e-20
307.0,2.24e-20
307.5,1.41e-20
308.0,8.87e-21
308.5,2.45e-20
309.0,3.49e-20
309.5,3.08e-20
310.0,2.08e-20
310.5,1.16e-20
311.0,6.47e-21
311.5,4.68e-21
312.0,1.14e-20
312.5,1.56e-20
313.0,1.08e-20
313.5,1.03e-20
314.0,3.75e-20
314.5,6.31e-20
315.0,5.27e-20
315.5,4.13e-20
316.0,2.68e-20
316.5,2.16e-20
317.0,5.65e-20
317.5,4.84e-20
318.0,3.43e-20
318.5,2.07e-20
319.0,1.11e-20
319.5,5.79e-21
320.0,9.21e-21
320.5,1.55e-20
321.0,1.61e-20
321.5,1.31e-20
322.0,8.9e-21
322.5,4.33e-21
323.0,2.61e-21
323.5,4.92e-21
324.0,8.29e-21
324.6,7.58e-21
325.0,6.16e-21
325.5,2.36e-20
326.0,5.44e-20
326.5,5.53e-20
327.0,4.27e-20
327.5,2.59e-20
328.0,1.48e-20
328.5,6.37e-21
329.0,1.76e-20
329.5,4.17e-20
330.0,3.63e-20
330.5,2.63e-20
331.0,1.49e-20
331.5,7.5e-21
332.0,3.24e-21
332.5,1.44e-21
333.0,2.08e-21
333.5,7.56e-22
334.0,9.42e-22
334.5,2.07e-21
335.0,1.29e-21
335.5,9.17e-22
336.0,1.03e-21
336.6,2.53e-21
337.0,3.89e-21
337.5,3.21e-21
338.0,8.43e-21
338.5,2.82e-20
339.0,4.62e-20
339.5,4.0e-20
340.0,2.92e-20
340.5,1.86e-20
341.0,1.07e-20
341.5,4.69e-21
342.0,2.56e-21
342.5,7.25e-21
343.0,1.78e-20
343.5,1.79e-20
344.0,1.33e-20
344.5,7.79e-21
345.0,3.64e-21
345.5,1.63e-21
346.0,7.83e-22
346.5,6.31e-22
347.0,4.5e-22
347.5,3.61e-22
348.0,9.22e-22
348.5,9.06e-22
349.0,5.64e-22
349.5,4.02e-22
350.0,4.0e-22
350.5,3.82e-22
351.0,5.48e-22
351.5,3.98e-22
352.0,2.92e-21
352.5,1.13e-20
353.0,2.07e-20
353.5,1.98e-20
354.0,1.64e-20
354.5,1.13e-20
355.0,7.44e-21
355.5,3.55e-21
356.0,1.87e-21
356.5,7.93e-22
357.0,4.17e-22
357.5,2.28e-22
358.0,1.84e-22
358.5,0.0
359.0,0.0
359.5,1.63e-22
360.0,0.0
360.5,2.2e-22
361.0,3.82e-22
361.5,5.66e-22
362.0,4.83e-22
362.5,5.11e-22
363.0,3.37e-22
363.5,0.0
364.0,2.27e-22
364.5,4.0e-22
365.0,5.4e-22
