λ,σ,Δσ
290.0,1.28e-19,NaN
291.0,1.119e-19,NaN
292.0,9.97e-20,NaN
293.0,8.92e-20,NaN
294.0,8.11e-20,NaN
295.0,7.46e-20,NaN
296.0,6.99e-20,NaN
297.0,6.69e-20,NaN
298.0,6.51e-20,NaN
299.0,6.37e-20,NaN
300.0,6.22e-20,NaN
301.0,6.12e-20,NaN
302.0,6.02e-20,NaN
303.0,5.97e-20,NaN
304.0,5.96e-20,NaN
305.0,5.97e-20,NaN
306.0,5.99e-20,NaN
307.0,6.03e-20,NaN
308.0,6.09e-20,NaN
309.0,6.17e-20,NaN
310.0,6.28e-20,NaN
311.0,6.39e-20,NaN
312.0,6.51e-20,NaN
313.0,6.68e-20,NaN
314.0,6.87e-20,NaN
315.0,7.07e-20,NaN
316.0,7.2e-20,NaN
317.0,7.28e-20,NaN
318.0,7.33e-20,NaN
319.0,7.35e-20,NaN
320.0,7.38e-20,NaN
321.0,7.51e-20,NaN
322.0,7.7e-20,NaN
323.0,7.91e-20,NaN
324.0,8.17e-20,NaN
325.0,8.4e-20,NaN
326.0,8.59e-20,NaN
327.0,8.75e-20,NaN
328.0,8.84e-20,NaN
329.0,8.84e-20,NaN
330.0,8.85e-20,NaN
331.0,8.86e-20,NaN
332.0,8.86e-20,NaN
333.0,8.88e-20,NaN
334.0,8.93e-20,NaN
335.0,9.0e-20,NaN
336.0,9.11e-20,NaN
337.0,9.27e-20,NaN
338.0,9.43e-20,NaN
339.0,9.66e-20,NaN
340.0,9.79e-20,NaN
341.0,9.85e-20,NaN
342.0,9.82e-20,NaN
343.0,9.72e-20,NaN
344.0,9.64e-20,NaN
345.0,9.47e-20,NaN
346.0,9.33e-20,NaN
347.0,9.17e-20,NaN
348.0,8.98e-20,NaN
349.0,8.79e-20,NaN
350.0,8.69e-20,NaN
351.0,8.65e-20,NaN
352.0,8.64e-20,NaN
353.0,8.66e-20,NaN
354.0,8.67e-20,NaN
355.0,8.66e-20,NaN
356.0,8.64e-20,NaN
357.0,8.53e-20,NaN
358.0,8.36e-20,NaN
359.0,8.15e-20,NaN
360.0,7.98e-20,NaN
361.0,7.82e-20,NaN
362.0,7.6e-20,NaN
363.0,7.36e-20,NaN
364.0,7.08e-20,NaN
365.0,6.79e-20,NaN
366.0,6.61e-20,NaN
367.0,6.41e-20,NaN
368.0,6.22e-20,NaN
369.0,6.05e-20,NaN
370.0,5.94e-20,NaN
371.0,5.8e-20,NaN
372.0,5.67e-20,NaN
373.0,5.55e-20,NaN
374.0,5.43e-20,NaN
375.0,5.29e-20,NaN
376.0,5.1e-20,NaN
377.0,4.86e-20,NaN
378.0,4.66e-20,NaN
379.0,4.5e-20,NaN
380.0,4.33e-20,NaN
381.0,4.15e-20,NaN
382.0,3.99e-20,NaN
383.0,3.83e-20,NaN
384.0,3.69e-20,NaN
385.0,3.55e-20,NaN
386.0,3.41e-20,NaN
387.0,3.27e-20,NaN
388.0,3.14e-20,NaN
389.0,2.99e-20,NaN
390.0,2.85e-20,NaN
391.0,2.71e-20,NaN
392.0,2.59e-20,NaN
393.0,2.48e-20,NaN
394.0,2.36e-20,NaN
395.0,2.25e-20,NaN
396.0,2.12e-20,NaN
397.0,2.0e-20,NaN
398.0,1.89e-20,NaN
399.0,1.78e-20,NaN
400.0,1.7e-20,NaN
