λ,σ,Δσ
194.01,8.57092e-20,NaN
194.09,8.35767e-20,NaN
194.16,8.25137e-20,NaN
194.24,9.14839e-20,NaN
194.31,8.58114e-20,NaN
194.39,1.00737e-19,NaN
194.46,1.29385e-19,NaN
194.54,1.1277e-19,NaN
194.61,1.17906e-19,NaN
194.69,1.43052e-19,NaN
194.76,1.67117e-19,NaN
194.84,1.7871e-19,NaN
194.91,1.50197e-19,NaN
194.99,1.24587e-19,NaN
195.06,1.24942e-19,NaN
195.14,1.33389e-19,NaN
195.21,9.30294e-20,NaN
195.29,8.54238e-20,NaN
195.36,9.8283e-20,NaN
195.44,7.74579e-20,NaN
195.51,6.43723e-20,NaN
195.59,5.27883e-20,NaN
195.66,4.30134e-20,NaN
195.74,6.8007e-20,NaN
195.81,6.46006e-20,NaN
195.89,6.21505e-20,NaN
195.96,5.87159e-20,NaN
196.04,6.29779e-20,NaN
