λ,σ,Δσ
207.0,2.531e-19,NaN
208.0,2.056e-19,NaN
209.0,1.652e-19,NaN
210.0,1.31e-19,NaN
211.0,1.032e-19,NaN
212.0,8.063e-20,NaN
213.0,6.273e-20,NaN
214.0,4.9e-20,NaN
215.0,3.787e-20,NaN
216.0,2.908e-20,NaN
217.0,2.255e-20,NaN
218.0,1.764e-20,NaN
219.0,1.394e-20,NaN
220.0,1.094e-20,NaN
221.0,8.676e-21,NaN
222.0,7.2e-21,NaN
223.0,6.488e-21,NaN
224.0,5.717e-21,NaN
225.0,5.305e-21,NaN
226.0,5.132e-21,NaN
227.0,5.366e-21,NaN
228.0,5.467e-21,NaN
229.0,5.802e-21,NaN
230.0,6.418e-21,NaN
231.0,7.102e-21,NaN
232.0,7.689e-21,NaN
233.0,8.464e-21,NaN
234.0,9.142e-21,NaN
235.0,9.965e-21,NaN
236.0,1.088e-20,NaN
237.0,1.179e-20,NaN
238.0,1.274e-20,NaN
239.0,1.395e-20,NaN
240.0,1.524e-20,NaN
241.0,1.639e-20,NaN
242.0,1.78e-20,NaN
243.0,1.915e-20,NaN
244.0,2.073e-20,NaN
245.0,2.226e-20,NaN
246.0,2.402e-20,NaN
247.0,2.569e-20,NaN
248.0,2.732e-20,NaN
249.0,2.918e-20,NaN
250.0,3.125e-20,NaN
251.0,3.348e-20,NaN
252.0,3.549e-20,NaN
253.0,3.747e-20,NaN
254.0,3.937e-20,NaN
255.0,4.108e-20,NaN
256.0,4.327e-20,NaN
257.0,4.557e-20,NaN
258.0,4.775e-20,NaN
259.0,4.995e-20,NaN
260.0,5.178e-20,NaN
261.0,5.322e-20,NaN
262.0,5.448e-20,NaN
263.0,5.605e-20,NaN
264.0,5.822e-20,NaN
265.0,6.046e-20,NaN
266.0,6.21e-20,NaN
267.0,6.338e-20,NaN
268.0,6.446e-20,NaN
269.0,6.517e-20,NaN
270.0,6.577e-20,NaN
271.0,6.692e-20,NaN
272.0,6.856e-20,NaN
273.0,6.994e-20,NaN
274.0,7.054e-20,NaN
275.0,7.046e-20,NaN
276.0,7.049e-20,NaN
277.0,7.036e-20,NaN
278.0,6.979e-20,NaN
279.0,6.958e-20,NaN
280.0,6.969e-20,NaN
281.0,6.996e-20,NaN
282.0,6.917e-20,NaN
283.0,6.751e-20,NaN
284.0,6.59e-20,NaN
285.0,6.482e-20,NaN
286.0,6.376e-20,NaN
287.0,6.21e-20,NaN
288.0,6.097e-20,NaN
289.0,5.979e-20,NaN
290.0,5.879e-20,NaN
291.0,5.662e-20,NaN
292.0,5.363e-20,NaN
293.0,5.06e-20,NaN
294.0,4.835e-20,NaN
295.0,4.642e-20,NaN
296.0,4.452e-20,NaN
297.0,4.24e-20,NaN
298.0,4.071e-20,NaN
299.0,3.883e-20,NaN
300.0,3.709e-20,NaN
301.0,3.442e-20,NaN
302.0,3.128e-20,NaN
303.0,2.849e-20,NaN
304.0,2.608e-20,NaN
305.0,2.407e-20,NaN
306.0,2.224e-20,NaN
307.0,2.048e-20,NaN
308.0,1.87e-20,NaN
309.0,1.701e-20,NaN
310.0,1.56e-20,NaN
311.0,1.42e-20,NaN
312.0,1.251e-20,NaN
313.0,1.069e-20,NaN
314.0,9.206e-21,NaN
315.0,8.033e-21,NaN
316.0,6.896e-21,NaN
317.0,5.846e-21,NaN
318.0,5.162e-21,NaN
319.0,4.404e-21,NaN
320.0,3.731e-21,NaN
321.0,3.226e-21,NaN
322.0,2.653e-21,NaN
323.0,2.239e-21,NaN
324.0,1.921e-21,NaN
325.0,1.494e-21,NaN
326.0,1.13e-21,NaN
327.0,9.85e-22,NaN
328.0,8.783e-22,NaN
329.0,6.553e-22,NaN
330.0,5.36e-22,NaN
331.0,3.391e-22,NaN
332.0,2.667e-22,NaN
333.0,3.087e-22,NaN
334.0,7.704e-23,NaN
