λ,σ,Δσ
200.0,4.837e-19,NaN
201.0,4.835e-19,NaN
202.0,4.731e-19,NaN
203.0,4.55e-19,NaN
204.0,4.145e-19,NaN
205.0,3.449e-19,NaN
206.0,2.674e-19,NaN
207.0,1.986e-19,NaN
208.0,1.451e-19,NaN
209.0,1.023e-19,NaN
210.0,6.96e-20,NaN
211.0,4.84e-20,NaN
212.0,3.46e-20,NaN
213.0,2.8e-20,NaN
214.0,2.29e-20,NaN
215.0,2.06e-20,NaN
216.0,1.93e-20,NaN
217.0,1.75e-20,NaN
218.0,1.69e-20,NaN
219.0,1.7e-20,NaN
220.0,1.72e-20,NaN
221.0,1.74e-20,NaN
222.0,1.82e-20,NaN
223.0,1.83e-20,NaN
224.0,1.91e-20,NaN
225.0,2.03e-20,NaN
226.0,2.18e-20,NaN
227.0,2.28e-20,NaN
228.0,2.52e-20,NaN
229.0,2.69e-20,NaN
230.0,2.8e-20,NaN
231.0,3.03e-20,NaN
232.0,3.25e-20,NaN
233.0,3.47e-20,NaN
234.0,3.73e-20,NaN
235.0,4.06e-20,NaN
236.0,4.25e-20,NaN
237.0,4.56e-20,NaN
238.0,4.77e-20,NaN
239.0,5.07e-20,NaN
240.0,5.32e-20,NaN
241.0,5.55e-20,NaN
242.0,5.91e-20,NaN
243.0,6.17e-20,NaN
244.0,6.45e-20,NaN
245.0,6.62e-20,NaN
246.0,6.82e-20,NaN
247.0,6.9e-20,NaN
248.0,7.14e-20,NaN
249.0,7.29e-20,NaN
250.0,7.43e-20,NaN
251.0,7.61e-20,NaN
252.0,7.68e-20,NaN
253.0,7.79e-20,NaN
254.0,7.79e-20,NaN
255.0,7.88e-20,NaN
256.0,7.77e-20,NaN
257.0,7.83e-20,NaN
258.0,7.8e-20,NaN
259.0,7.83e-20,NaN
260.0,7.59e-20,NaN
261.0,7.51e-20,NaN
262.0,7.39e-20,NaN
263.0,7.24e-20,NaN
264.0,7.01e-20,NaN
265.0,6.82e-20,NaN
266.0,6.61e-20,NaN
267.0,6.5e-20,NaN
268.0,6.37e-20,NaN
269.0,6.25e-20,NaN
270.0,6.16e-20,NaN
271.0,5.95e-20,NaN
272.0,5.88e-20,NaN
273.0,5.69e-20,NaN
274.0,5.57e-20,NaN
275.0,5.4e-20,NaN
276.0,5.33e-20,NaN
277.0,5.28e-20,NaN
278.0,5.15e-20,NaN
279.0,5.1e-20,NaN
280.0,4.98e-20,NaN
281.0,4.92e-20,NaN
282.0,4.71e-20,NaN
283.0,4.66e-20,NaN
284.0,4.43e-20,NaN
285.0,4.24e-20,NaN
286.0,4.15e-20,NaN
287.0,3.93e-20,NaN
288.0,3.8e-20,NaN
289.0,3.67e-20,NaN
290.0,3.51e-20,NaN
291.0,3.43e-20,NaN
292.0,3.24e-20,NaN
293.0,3.08e-20,NaN
294.0,2.92e-20,NaN
295.0,2.68e-20,NaN
296.0,2.57e-20,NaN
297.0,2.37e-20,NaN
298.0,2.15e-20,NaN
299.0,2.07e-20,NaN
300.0,1.85e-20,NaN
301.0,1.76e-20,NaN
