λ,σ
336.2353,8.68e-18
336.39959,8.74e-18
336.56389,8.8e-18
336.72818,8.86e-18
336.89248,8.92e-18
337.05677,8.98e-18
337.22107,9.04e-18
337.38536,9.1e-18
337.54966,9.16e-18
337.71395,9.22e-18
337.87825,9.28e-18
338.04254,9.34e-18
338.20684,9.4e-18
338.37113,9.47e-18
338.53543,9.53e-18
338.69972,9.59e-18
338.86402,9.65e-18
339.02832,9.72e-18
339.19261,9.78e-18
339.35691,9.84e-18
339.5212,9.91e-18
339.6855,9.97e-18
339.84979,1.0e-17
340.01409,1.01e-17
340.17838,1.02e-17
340.34268,1.02e-17
340.50697,1.03e-17
340.67127,1.04e-17
340.83556,1.04e-17
340.99986,1.05e-17
341.16415,1.06e-17
341.32845,1.06e-17
341.49274,1.07e-17
341.65704,1.08e-17
341.82134,1.08e-17
341.98563,1.09e-17
342.14993,1.1e-17
342.31422,1.1e-17
342.47852,1.11e-17
342.64281,1.12e-17
342.80711,1.12e-17
342.9714,1.13e-17
343.1357,1.14e-17
343.29999,1.14e-17
343.46429,1.15e-17
343.62858,1.16e-17
343.79288,1.16e-17
343.95717,1.17e-17
344.12147,1.18e-17
344.28576,1.19e-17
344.45006,1.19e-17
344.61436,1.2e-17
344.77865,1.21e-17
344.94295,1.21e-17
345.10724,1.22e-17
345.27154,1.23e-17
345.43583,1.23e-17
345.60013,1.24e-17
345.76442,1.25e-17
345.92872,1.26e-17
346.09301,1.26e-17
346.25731,1.27e-17
346.4216,1.28e-17
346.5859,1.29e-17
346.75019,1.29e-17
346.91449,1.3e-17
347.07878,1.31e-17
347.24308,1.31e-17
347.40738,1.32e-17
347.57167,1.33e-17
347.73597,1.34e-17
347.90026,1.34e-17
348.06456,1.35e-17
348.22885,1.36e-17
348.39315,1.37e-17
348.55744,1.37e-17
348.72174,1.38e-17
348.88603,1.39e-17
349.05033,1.4e-17
349.21462,1.4e-17
349.37892,1.41e-17
349.54321,1.42e-17
349.70751,1.43e-17
349.8718,1.43e-17
350.0361,1.44e-17
350.2004,1.45e-17
350.36469,1.46e-17
350.52899,1.46e-17
350.69328,1.47e-17
350.85758,1.48e-17
351.02187,1.49e-17
351.18617,1.5e-17
351.35046,1.5e-17
351.51476,1.51e-17
351.67905,1.52e-17
351.84335,1.53e-17
352.00764,1.53e-17
352.17194,1.54e-17
352.33623,1.55e-17
352.50053,1.56e-17
352.66482,1.56e-17
352.82912,1.57e-17
352.99342,1.58e-17
353.15771,1.59e-17
353.32201,1.6e-17
353.4863,1.6e-17
353.6506,1.61e-17
353.81489,1.62e-17
353.97919,1.63e-17
354.14348,1.64e-17
354.30778,1.64e-17
354.47207,1.65e-17
354.63637,1.66e-17
354.80066,1.67e-17
354.96496,1.67e-17
355.12925,1.68e-17
355.29355,1.69e-17
355.45784,1.7e-17
355.62214,1.71e-17
355.78644,1.71e-17
355.95073,1.72e-17
356.11503,1.73e-17
356.27932,1.74e-17
356.44362,1.75e-17
356.60791,1.75e-17
356.77221,1.76e-17
