λ,σ
194,1.21512e-18
196,6.88898e-19
198,4.17157e-19
200,2.58271e-19
202,1.70917e-19
204,1.23159e-19
206,8.80607e-20
208,5.53158e-20
210,3.61972e-20
212,2.43782e-20
214,1.55774e-20
216,6.12266e-21
218,1.12305e-21
220    -6.88375e-22,
222    -1.66627e-21,
224    -1.77508e-21,
226    -1.26795e-21,
228    -1.01425e-21,
230    -9.41807e-22,
232    -1.05061e-21,
234    -6.52020e-22,
236,1.81117e-22
238,6.15928e-22
240,1.15915e-21
242,2.24585e-21
244,2.64417e-21
246,3.94926e-21
248,4.6005e-21
250,6.59344e-21
252,7.39113e-21
254,9.09115e-21
256,1.11939e-20
258,1.29332e-20
260,1.54675e-20
262,1.77141e-20
264,2.01412e-20
266,2.32928e-20
268,2.67294e-20
270,3.03648e-20
272,3.38956e-20
274,3.83157e-20
276,4.28142e-20
278,4.73388e-20
280,5.22296e-20
282,5.85851e-20
284,6.39466e-20
286,6.94913e-20
288,7.39113e-20
290,7.90114e-20
292,8.54976e-20
294,9.18007e-20
296,9.67961e-20
298,9.86008e-20
300,1.01896e-19
302,1.07702e-19
304,1.13064e-19
306,1.15078e-19
308,1.1343e-19
310,1.11573e-19
312,1.13012e-19
314,1.16726e-19
316,1.2023e-19
318,1.17118e-19
320,1.09219e-19
322,1.0085e-19
324,9.78161e-20
326,1.0153e-19
328,1.06839e-19
330,1.03858e-19
332,9.26376e-20
334,7.88283e-20
336,6.93082e-20
338,6.55682e-20
340,6.56467e-20
342,6.58297e-20
344,6.39728e-20
346,5.47404e-20
348,4.2448e-20
350,3.26403e-20
352,2.73833e-20
354,2.3944e-20
356,2.31123e-20
358,2.1156e-20
360,1.93801e-20
362,1.57212e-20
364,1.03596e-20
366,6.04943e-21
368,3.51249e-21
370,7.60821e-22
372    -4.34680e-22,
374    -1.34039e-21,
376    -2.57199e-21,
378    -3.69557e-21,
380    -3.62234e-21,
382    -3.58572e-21,
384    -4.01988e-21,
386    -3.65895e-21,
388    -4.71034e-21,
390    -4.45665e-21,
392    -4.27357e-21,
394    -4.23957e-21,
396    -4.81758e-21,
398    -4.99804e-21,
