λ,σ,Δσ
211.0,1.6e-19,NaN
212.0,1.59e-19,NaN
213.0,1.58e-19,NaN
214.0,1.59e-19,NaN
215.0,1.63e-19,NaN
216.0,1.62e-19,NaN
217.0,1.56e-19,NaN
218.0,1.52e-19,NaN
219.0,1.52e-19,NaN
220.0,1.53e-19,NaN
221.0,1.48e-19,NaN
222.0,1.38e-19,NaN
223.0,1.31e-19,NaN
224.0,1.3e-19,NaN
225.0,1.29e-19,NaN
226.0,1.22e-19,NaN
227.0,1.11e-19,NaN
228.0,1.01e-19,NaN
229.0,9.81e-20,NaN
230.0,9.57e-20,NaN
232.0,7.96e-20,NaN
234.0,6.35e-20,NaN
236.0,5.62e-20,NaN
238.0,4.29e-20,NaN
240.0,3.21e-20,NaN
242.0,2.58e-20,NaN
244.0,1.84e-20,NaN
246.0,1.23e-20,NaN
248.0,8.88e-21,NaN
250.0,5.54e-21,NaN
252.0,3.12e-21,NaN
254.0,2.05e-21,NaN
256.0,7.9e-22,NaN
258.0,3.7e-22,NaN
260.0,1.84e-22,NaN
