λ,σ,uncertainty
230,5.5e-22,1.8e-22
231,5.9e-22,1.2e-22
232,6.5e-22,1.2e-22
233,6.0e-22,9.0e-23
234,6.3e-22,7.0e-23
235,7.2e-22,8.0e-23
236,8.1e-22,9.0e-23
237,9.1e-22,9.0e-23
238,9.9e-22,7.0e-23
239,1.09e-21,7.0e-23
240,1.22e-21,6.0e-23
241,1.39e-21,1.1e-22
242,1.52e-21,1.2e-22
243,1.66e-21,8.0e-23
244,1.87e-21,7.0e-23
245,2.07e-21,8.0e-23
246,2.3e-21,1.1e-22
247,2.56e-21,6.0e-23
248,2.87e-21,7.0e-23
249,3.16e-21,9.0e-23
250,3.53e-21,9.0e-23
251,3.87e-21,6.0e-23
252,4.34e-21,9.0e-23
253,4.74e-21,8.0e-23
254,5.19e-21,8.0e-23
255,5.66e-21,9.0e-23
256,6.21e-21,1.1e-22
257,6.8e-21,1.1e-22
258,7.43e-21,1.2e-22
259,8.11e-21,1.2e-22
260,8.75e-21,1.4e-22
261,9.55e-21,1.1e-22
262,1.02e-20,2.0e-22
263,1.1e-20,1.0e-22
264,1.2e-20,2.0e-22
265,1.29e-20,2.0e-22
266,1.39e-20,2.0e-22
267,1.49e-20,2.0e-22
268,1.6e-20,2.0e-22
269,1.71e-20,2.0e-22
270,1.82e-20,3.0e-22
271,1.93e-20,2.0e-22
272,2.06e-20,3.0e-22
273,2.18e-20,2.0e-22
274,2.31e-20,3.0e-22
275,2.45e-20,3.0e-22
276,2.59e-20,3.0e-22
277,2.72e-20,4.0e-22
278,2.87e-20,3.0e-22
279,3.01e-20,3.0e-22
280,3.16e-20,4.0e-22
281,3.32e-20,4.0e-22
282,3.47e-20,4.0e-22
283,3.61e-20,5.0e-22
284,3.73e-20,4.0e-22
285,3.9e-20,5.0e-22
286,4.07e-20,5.0e-22
287,4.23e-20,5.0e-22
288,4.36e-20,5.0e-22
289,4.47e-20,5.0e-22
290,4.63e-20,5.0e-22
291,4.77e-20,6.0e-22
292,4.89e-20,6.0e-22
293,5.0e-20,6.0e-22
294,5.13e-20,6.0e-22
295,5.25e-20,6.0e-22
296,5.4e-20,6.0e-22
297,5.53e-20,6.0e-22
298,5.57e-20,6.0e-22
299,5.63e-20,6.0e-22
300,5.71e-20,6.0e-22
301,5.77e-20,6.0e-22
302,5.83e-20,7.0e-22
303,5.82e-20,7.0e-22
304,5.86e-20,7.0e-22
305,5.95e-20,7.0e-22
306,6.04e-20,7.0e-22
307,6.16e-20,7.0e-22
308,6.17e-20,7.0e-22
309,6.08e-20,6.0e-22
310,6.01e-20,7.0e-22
311,5.98e-20,6.0e-22
312,5.91e-20,7.0e-22
313,5.84e-20,6.0e-22
314,5.67e-20,6.0e-22
315,5.57e-20,7.0e-22
316,5.57e-20,6.0e-22
317,5.57e-20,6.0e-22
318,5.61e-20,7.0e-22
319,5.68e-20,6.0e-22
320,5.54e-20,6.0e-22
321,5.37e-20,6.0e-22
322,5.18e-20,7.0e-22
323,5.0e-20,5.0e-22
324,4.79e-20,5.0e-22
325,4.63e-20,5.0e-22
326,4.28e-20,5.0e-22
327,4.0e-20,5.0e-22
328,3.87e-20,4.0e-22
329,3.82e-20,5.0e-22
330,3.78e-20,4.0e-22
331,3.74e-20,4.0e-22
332,3.8e-20,4.0e-22
333,3.66e-20,5.0e-22
334,3.41e-20,4.0e-22
335,3.2e-20,4.0e-22
336,3.04e-20,4.0e-22
337,2.82e-20,4.0e-22
338,2.58e-20,3.0e-22
339,2.35e-20,3.0e-22
340,1.98e-20,4.0e-22
341,1.7e-20,2.0e-22
342,1.59e-20,2.0e-22
343,1.49e-20,1.0e-22
344,1.45e-20,1.0e-22
345,1.39e-20,2.0e-22
346,1.39e-20,2.0e-22
347,1.41e-20,2.0e-22
348,1.26e-20,2.0e-22
349,1.14e-20,2.0e-22
350,1.02e-20,2.0e-22
351,9.39e-21,1.5e-22
352,8.55e-21,1.6e-22
353,7.2e-21,1.5e-22
354,5.7e-21,2.0e-22
355,4.03e-21,1.9e-22
356,2.57e-21,1.3e-22
357,1.71e-21,1.1e-22
358,1.29e-21,9.0e-23
359,1.0e-21,1.6e-22
360,6.7e-22,2.6e-22
361,6.4e-22,1.3e-22
362,5.5e-22,8.0e-23
363,5.5e-22,1.2e-22
364,4.1e-22,2.0e-22
365,4.1e-22,8.0e-23
366,3.5e-22,1.6e-22
367,3.9e-22,1.3e-22
368,1.7e-22,2.2e-22
369,2.7e-22,1.2e-22
370,2.6e-22,7.0e-23
371,2.2e-22,1.3e-22
372,2.7e-22,1.7e-22
373,2.5e-22,1.9e-22
374,2.3e-22,1.0e-22
375,9.0e-23,2.6e-22
376,3.0e-22,2.2e-22
