λ,σ,Δσ
230.0,1.27e-20,NaN
231.0,1.18e-20,NaN
232.0,1.13e-20,NaN
233.0,1.14e-20,NaN
234.0,1.18e-20,NaN
235.0,1.25e-20,NaN
236.0,1.29e-20,NaN
237.0,1.35e-20,NaN
238.0,1.41e-20,NaN
239.0,1.49e-20,NaN
240.0,1.59e-20,NaN
241.0,1.68e-20,NaN
242.0,1.76e-20,NaN
243.0,1.83e-20,NaN
244.0,1.9e-20,NaN
245.0,1.97e-20,NaN
246.0,2.05e-20,NaN
247.0,2.11e-20,NaN
248.0,2.19e-20,NaN
249.0,2.31e-20,NaN
250.0,2.43e-20,NaN
251.0,2.51e-20,NaN
252.0,2.52e-20,NaN
253.0,2.51e-20,NaN
254.0,2.52e-20,NaN
255.0,2.57e-20,NaN
256.0,2.65e-20,NaN
257.0,2.76e-20,NaN
258.0,2.87e-20,NaN
259.0,2.99e-20,NaN
260.0,3.12e-20,NaN
261.0,3.25e-20,NaN
262.0,3.37e-20,NaN
263.0,3.5e-20,NaN
264.0,3.64e-20,NaN
265.0,3.8e-20,NaN
266.0,3.96e-20,NaN
267.0,4.1e-20,NaN
268.0,4.21e-20,NaN
269.0,4.29e-20,NaN
270.0,4.39e-20,NaN
271.0,4.58e-20,NaN
272.0,4.71e-20,NaN
273.0,4.84e-20,NaN
274.0,4.94e-20,NaN
275.0,5.01e-20,NaN
276.0,5.07e-20,NaN
277.0,5.12e-20,NaN
278.0,5.16e-20,NaN
279.0,5.22e-20,NaN
280.0,5.27e-20,NaN
281.0,5.34e-20,NaN
282.0,5.38e-20,NaN
283.0,5.38e-20,NaN
284.0,5.34e-20,NaN
285.0,5.3e-20,NaN
286.0,5.26e-20,NaN
287.0,5.23e-20,NaN
288.0,5.19e-20,NaN
289.0,5.19e-20,NaN
290.0,5.2e-20,NaN
291.0,5.2e-20,NaN
292.0,5.13e-20,NaN
293.0,5.0e-20,NaN
294.0,4.87e-20,NaN
295.0,4.79e-20,NaN
296.0,4.74e-20,NaN
297.0,4.69e-20,NaN
298.0,4.69e-20,NaN
299.0,4.67e-20,NaN
300.0,4.66e-20,NaN
301.0,4.57e-20,NaN
302.0,4.37e-20,NaN
303.0,4.15e-20,NaN
304.0,3.98e-20,NaN
305.0,3.9e-20,NaN
306.0,3.86e-20,NaN
307.0,3.85e-20,NaN
308.0,3.81e-20,NaN
309.0,3.79e-20,NaN
310.0,3.78e-20,NaN
311.0,3.74e-20,NaN
312.0,3.59e-20,NaN
313.0,3.25e-20,NaN
314.0,2.91e-20,NaN
315.0,2.67e-20,NaN
316.0,2.51e-20,NaN
317.0,2.44e-20,NaN
318.0,2.42e-20,NaN
319.0,2.41e-20,NaN
320.0,2.37e-20,NaN
321.0,2.31e-20,NaN
322.0,2.27e-20,NaN
323.0,2.23e-20,NaN
324.0,2.07e-20,NaN
325.0,1.79e-20,NaN
326.0,1.5e-20,NaN
327.0,1.26e-20,NaN
328.0,1.07e-20,NaN
329.0,1.06e-20,NaN
330.0,1.03e-20,NaN
331.0,9.69e-21,NaN
332.0,9.2e-21,NaN
333.0,9.03e-21,NaN
334.0,8.63e-21,NaN
335.0,7.49e-21,NaN
336.0,6.07e-21,NaN
337.0,4.87e-21,NaN
338.0,4.16e-21,NaN
339.0,3.49e-21,NaN
340.0,3.01e-21,NaN
341.0,2.63e-21,NaN
342.0,2.38e-21,NaN
343.0,2.19e-21,NaN
344.0,1.99e-21,NaN
345.0,1.79e-21,NaN
346.0,1.59e-21,NaN
347.0,1.46e-21,NaN
348.0,1.33e-21,NaN
349.0,1.24e-21,NaN
