λ,σ,Δσ
233.14,1.3e-20,NaN
233.92,1.28e-20,NaN
234.94,1.27e-20,NaN
235.87,1.26e-20,NaN
236.96,1.26e-20,NaN
237.89,1.26e-20,NaN
238.75,1.27e-20,NaN
239.45,1.27e-20,NaN
240.45,1.32e-20,NaN
241.38,1.35e-20,NaN
242.31,1.38e-20,NaN
243.16,1.42e-20,NaN
243.93,1.48e-20,NaN
244.69,1.54e-20,NaN
245.54,1.6e-20,NaN
246.31,1.67e-20,NaN
246.92,1.73e-20,NaN
247.53,1.8e-20,NaN
248.06,1.88e-20,NaN
248.6,1.95e-20,NaN
249.36,2.02e-20,NaN
249.97,2.1e-20,NaN
250.5,2.18e-20,NaN
251.04,2.25e-20,NaN
251.42,2.3e-20,NaN
252.03,2.39e-20,NaN
252.56,2.47e-20,NaN
253.09,2.55e-20,NaN
253.39,2.6e-20,NaN
253.69,2.68e-20,NaN
254.22,2.77e-20,NaN
254.68,2.85e-20,NaN
255.06,2.92e-20,NaN
255.43,3.01e-20,NaN
255.96,3.1e-20,NaN
256.34,3.17e-20,NaN
257.02,3.31e-20,NaN
257.47,3.4e-20,NaN
257.69,3.46e-20,NaN
257.92,3.53e-20,NaN
258.37,3.61e-20,NaN
258.74,3.72e-20,NaN
259.19,3.82e-20,NaN
259.49,3.9e-20,NaN
259.87,3.99e-20,NaN
260.39,4.11e-20,NaN
260.92,4.22e-20,NaN
261.29,4.33e-20,NaN
261.74,4.47e-20,NaN
262.12,4.54e-20,NaN
262.57,4.64e-20,NaN
263.01,4.77e-20,NaN
263.46,4.88e-20,NaN
263.83,5.01e-20,NaN
264.36,5.12e-20,NaN
264.88,5.25e-20,NaN
265.41,5.37e-20,NaN
265.93,5.5e-20,NaN
266.38,5.61e-20,NaN
266.83,5.72e-20,NaN
267.13,5.78e-20,NaN
267.43,5.88e-20,NaN
267.96,5.97e-20,NaN
268.41,6.06e-20,NaN
268.94,6.16e-20,NaN
269.39,6.25e-20,NaN
269.61,6.36e-20,NaN
269.83,6.45e-20,NaN
270.36,6.57e-20,NaN
270.81,6.68e-20,NaN
271.17,6.81e-20,NaN
271.78,6.92e-20,NaN
272.22,7.08e-20,NaN
272.59,7.2e-20,NaN
273.19,7.32e-20,NaN
273.72,7.44e-20,NaN
274.25,7.55e-20,NaN
274.78,7.65e-20,NaN
275.3,7.78e-20,NaN
275.83,7.91e-20,NaN
276.27,8.06e-20,NaN
276.72,8.15e-20,NaN
277.09,8.27e-20,NaN
277.62,8.38e-20,NaN
278.15,8.48e-20,NaN
278.67,8.59e-20,NaN
279.28,8.67e-20,NaN
279.66,8.77e-20,NaN
280.19,8.86e-20,NaN
280.87,8.96e-20,NaN
281.48,9.05e-20,NaN
282.09,9.14e-20,NaN
282.85,9.23e-20,NaN
283.46,9.33e-20,NaN
284.15,9.39e-20,NaN
284.76,9.46e-20,NaN
285.38,9.52e-20,NaN
286.14,9.58e-20,NaN
286.99,9.63e-20,NaN
287.91,9.71e-20,NaN
288.92,9.73e-20,NaN
290.01,9.74e-20,NaN
291.02,9.7e-20,NaN
292.05,9.64e-20,NaN
293.31,9.53e-20,NaN
293.79,9.42e-20,NaN
294.9,9.31e-20,NaN
295.84,9.22e-20,NaN
296.64,9.09e-20,NaN
297.44,8.98e-20,NaN
298.0,8.84e-20,NaN
298.49,8.72e-20,NaN
299.13,8.61e-20,NaN
299.85,8.46e-20,NaN
300.65,8.31e-20,NaN
301.37,8.19e-20,NaN
301.86,8.05e-20,NaN
302.35,7.9e-20,NaN
302.76,7.75e-20,NaN
303.49,7.59e-20,NaN
303.9,7.46e-20,NaN
304.3,7.33e-20,NaN
