λ,σ,Δσ
205.0,1.245e-19,NaN
210.0,3.206e-20,NaN
215.0,1.613e-20,NaN
220.0,1.824e-20,NaN
225.0,2.5e-20,NaN
230.0,3.355e-20,NaN
235.0,4.298e-20,NaN
240.0,5.195e-20,NaN
245.0,5.972e-20,NaN
250.0,6.484e-20,NaN
255.0,6.608e-20,NaN
260.0,6.376e-20,NaN
265.0,5.772e-20,NaN
270.0,4.893e-20,NaN
275.0,3.892e-20,NaN
280.0,2.884e-20,NaN
285.0,1.97e-20,NaN
290.0,1.252e-20,NaN
295.0,7.215e-21,NaN
300.0,3.675e-21,NaN
305.0,1.672e-21,NaN
310.0,6.164e-22,NaN
315.0,1.874e-22,NaN
320.0,5.85e-23,NaN
325.0,1.649e-23,NaN
