λ,σ,Δσ
234.92,6.348e-19,NaN
234.98,6.355e-19,NaN
235.05,6.296e-19,NaN
235.11,6.312e-19,NaN
235.17,6.337e-19,NaN
235.24,6.319e-19,NaN
235.3,6.285e-19,NaN
235.36,6.302e-19,NaN
235.42,6.308e-19,NaN
235.49,6.306e-19,NaN
235.55,6.273e-19,NaN
235.61,6.294e-19,NaN
235.67,6.294e-19,NaN
235.74,6.271e-19,NaN
235.8,6.234e-19,NaN
235.86,6.246e-19,NaN
235.93,6.265e-19,NaN
235.99,6.194e-19,NaN
236.05,6.215e-19,NaN
236.12,6.243e-19,NaN
236.18,6.211e-19,NaN
236.24,6.208e-19,NaN
236.3,6.195e-19,NaN
236.37,6.209e-19,NaN
236.43,6.204e-19,NaN
236.49,6.188e-19,NaN
236.56,6.163e-19,NaN
236.62,6.161e-19,NaN
236.68,6.165e-19,NaN
236.75,6.164e-19,NaN
236.81,6.137e-19,NaN
236.87,6.163e-19,NaN
236.94,6.173e-19,NaN
237.0,6.134e-19,NaN
237.06,6.131e-19,NaN
237.12,6.147e-19,NaN
237.19,6.141e-19,NaN
237.25,6.125e-19,NaN
237.31,6.097e-19,NaN
237.38,6.121e-19,NaN
237.44,6.135e-19,NaN
237.5,6.1e-19,NaN
237.57,6.097e-19,NaN
237.63,6.105e-19,NaN
237.69,6.114e-19,NaN
237.76,6.105e-19,NaN
237.82,6.08e-19,NaN
237.88,6.093e-19,NaN
237.95,6.106e-19,NaN
238.01,6.095e-19,NaN
238.07,6.058e-19,NaN
238.14,6.062e-19,NaN
238.2,6.088e-19,NaN
238.26,6.059e-19,NaN
238.33,6.034e-19,NaN
238.39,6.055e-19,NaN
238.45,6.054e-19,NaN
238.52,6.036e-19,NaN
238.58,6.011e-19,NaN
238.65,6.017e-19,NaN
238.71,6.009e-19,NaN
238.77,5.993e-19,NaN
238.84,5.987e-19,NaN
238.9,5.984e-19,NaN
238.96,5.981e-19,NaN
239.03,5.967e-19,NaN
239.09,5.952e-19,NaN
239.15,5.931e-19,NaN
239.22,5.952e-19,NaN
239.28,5.926e-19,NaN
239.34,5.908e-19,NaN
239.41,5.905e-19,NaN
239.47,5.918e-19,NaN
239.54,5.892e-19,NaN
239.6,5.857e-19,NaN
239.66,5.869e-19,NaN
239.73,5.872e-19,NaN
239.79,5.845e-19,NaN
239.85,5.829e-19,NaN
239.92,5.83e-19,NaN
239.98,5.833e-19,NaN
240.05,5.802e-19,NaN
240.11,5.779e-19,NaN
240.17,5.78e-19,NaN
240.24,5.778e-19,NaN
240.3,5.772e-19,NaN
240.36,5.749e-19,NaN
240.43,5.746e-19,NaN
240.49,5.745e-19,NaN
240.56,5.714e-19,NaN
240.62,5.697e-19,NaN
240.68,5.702e-19,NaN
240.75,5.707e-19,NaN
240.81,5.682e-19,NaN
240.88,5.651e-19,NaN
240.94,5.656e-19,NaN
241.0,5.66e-19,NaN
241.07,5.639e-19,NaN
241.13,5.627e-19,NaN
241.2,5.624e-19,NaN
241.26,5.627e-19,NaN
241.32,5.606e-19,NaN
241.39,5.593e-19,NaN
241.45,5.591e-19,NaN
241.52,5.592e-19,NaN
241.58,5.564e-19,NaN
241.64,5.559e-19,NaN
241.71,5.569e-19,NaN
241.77,5.558e-19,NaN
241.84,5.535e-19,NaN
241.9,5.528e-19,NaN
241.96,5.527e-19,NaN
242.03,5.53e-19,NaN
242.09,5.517e-19,NaN
242.16,5.498e-19,NaN
242.22,5.495e-19,NaN
242.29,5.494e-19,NaN
242.35,5.481e-19,NaN
242.41,5.473e-19,NaN
242.48,5.469e-19,NaN
242.54,5.46e-19,NaN
242.61,5.445e-19,NaN
242.67,5.427e-19,NaN
242.74,5.422e-19,NaN
242.8,5.421e-19,NaN
242.86,5.405e-19,NaN
242.93,5.393e-19,NaN
242.99,5.388e-19,NaN
243.06,5.379e-19,NaN
243.12,5.368e-19,NaN
243.19,5.358e-19,NaN
243.25,5.349e-19,NaN
243.31,5.346e-19,NaN
243.38,5.325e-19,NaN
243.44,5.306e-19,NaN
243.51,5.307e-19,NaN
243.57,5.306e-19,NaN
243.64,5.287e-19,NaN
243.7,5.263e-19,NaN
243.77,5.264e-19,NaN
243.83,5.256e-19,NaN
243.89,5.234e-19,NaN
243.96,5.225e-19,NaN
244.02,5.218e-19,NaN
244.09,5.208e-19,NaN
244.15,5.19e-19,NaN
244.22,5.172e-19,NaN
244.28,5.162e-19,NaN
244.35,5.162e-19,NaN
244.41,5.141e-19,NaN
244.48,5.12e-19,NaN
244.54,5.112e-19,NaN
244.6,5.115e-19,NaN
244.67,5.093e-19,NaN
244.73,5.07e-19,NaN
244.8,5.066e-19,NaN
244.86,5.058e-19,NaN
244.93,5.045e-19,NaN
244.99,5.023e-19,NaN
245.06,5.018e-19,NaN
245.12,5.014e-19,NaN
245.19,4.99e-19,NaN
245.25,4.978e-19,NaN
245.32,4.977e-19,NaN
245.38,4.973e-19,NaN
245.45,4.953e-19,NaN
245.51,4.936e-19,NaN
245.58,4.925e-19,NaN
245.64,4.924e-19,NaN
245.71,4.902e-19,NaN
245.77,4.89e-19,NaN
245.83,4.892e-19,NaN
245.9,4.882e-19,NaN
245.96,4.864e-19,NaN
246.03,4.848e-19,NaN
246.09,4.845e-19,NaN
246.16,4.833e-19,NaN
246.22,4.802e-19,NaN
246.29,4.802e-19,NaN
246.35,4.799e-19,NaN
246.42,4.798e-19,NaN
246.48,4.778e-19,NaN
246.55,4.759e-19,NaN
246.61,4.756e-19,NaN
246.68,4.752e-19,NaN
246.74,4.733e-19,NaN
246.81,4.714e-19,NaN
246.87,4.709e-19,NaN
246.94,4.703e-19,NaN
247.0,4.685e-19,NaN
247.07,4.669e-19,NaN
247.13,4.661e-19,NaN
247.2,4.654e-19,NaN
247.26,4.645e-19,NaN
247.33,4.621e-19,NaN
247.39,4.614e-19,NaN
247.46,4.611e-19,NaN
247.52,4.592e-19,NaN
247.59,4.57e-19,NaN
247.65,4.568e-19,NaN
247.72,4.556e-19,NaN
247.78,4.517e-19,NaN
247.85,4.523e-19,NaN
247.91,4.52e-19,NaN
247.98,4.51e-19,NaN
248.05,4.493e-19,NaN
248.11,4.47e-19,NaN
248.18,4.47e-19,NaN
248.24,4.466e-19,NaN
248.31,4.441e-19,NaN
248.37,4.422e-19,NaN
248.44,4.416e-19,NaN
248.5,4.407e-19,NaN
248.57,4.39e-19,NaN
248.63,4.371e-19,NaN
248.7,4.366e-19,NaN
248.76,4.354e-19,NaN
248.83,4.337e-19,NaN
248.89,4.318e-19,NaN
248.96,4.307e-19,NaN
249.02,4.304e-19,NaN
249.09,4.282e-19,NaN
249.15,4.264e-19,NaN
249.22,4.26e-19,NaN
249.29,4.252e-19,NaN
249.35,4.231e-19,NaN
249.42,4.213e-19,NaN
249.48,4.208e-19,NaN
249.55,4.197e-19,NaN
249.61,4.178e-19,NaN
249.68,4.161e-19,NaN
249.74,4.153e-19,NaN
249.81,4.146e-19,NaN
249.87,4.127e-19,NaN
249.94,4.111e-19,NaN
250.0,4.107e-19,NaN
250.07,4.095e-19,NaN
250.14,4.08e-19,NaN
250.2,4.064e-19,NaN
250.27,4.057e-19,NaN
250.33,4.049e-19,NaN
250.4,4.031e-19,NaN
250.46,4.015e-19,NaN
250.53,4.012e-19,NaN
250.59,3.999e-19,NaN
250.66,3.984e-19,NaN
250.73,3.969e-19,NaN
250.79,3.964e-19,NaN
250.86,3.949e-19,NaN
250.92,3.936e-19,NaN
250.99,3.921e-19,NaN
251.05,3.916e-19,NaN
251.12,3.905e-19,NaN
251.18,3.892e-19,NaN
251.25,3.872e-19,NaN
251.32,3.865e-19,NaN
251.38,3.855e-19,NaN
251.45,3.84e-19,NaN
251.51,3.825e-19,NaN
251.58,3.817e-19,NaN
251.64,3.809e-19,NaN
251.71,3.791e-19,NaN
251.78,3.775e-19,NaN
251.84,3.766e-19,NaN
251.91,3.759e-19,NaN
251.97,3.745e-19,NaN
252.04,3.727e-19,NaN
252.1,3.722e-19,NaN
252.17,3.713e-19,NaN
252.24,3.694e-19,NaN
252.3,3.677e-19,NaN
252.37,3.671e-19,NaN
252.43,3.665e-19,NaN
252.5,3.645e-19,NaN
252.57,3.628e-19,NaN
252.63,3.619e-19,NaN
252.7,3.609e-19,NaN
252.76,3.596e-19,NaN
252.83,3.58e-19,NaN
252.89,3.569e-19,NaN
252.96,3.563e-19,NaN
253.03,3.546e-19,NaN
253.09,3.526e-19,NaN
253.16,3.518e-19,NaN
253.22,3.51e-19,NaN
253.29,3.495e-19,NaN
253.36,3.477e-19,NaN
253.42,3.465e-19,NaN
253.49,3.458e-19,NaN
253.55,3.44e-19,NaN
253.62,3.423e-19,NaN
253.69,3.417e-19,NaN
253.75,3.408e-19,NaN
253.82,3.39e-19,NaN
253.88,3.373e-19,NaN
253.95,3.363e-19,NaN
254.02,3.354e-19,NaN
254.08,3.334e-19,NaN
254.15,3.327e-19,NaN
254.21,3.319e-19,NaN
254.28,3.301e-19,NaN
254.35,3.288e-19,NaN
254.41,3.275e-19,NaN
254.48,3.267e-19,NaN
254.54,3.258e-19,NaN
254.61,3.242e-19,NaN
254.68,3.226e-19,NaN
254.74,3.219e-19,NaN
254.81,3.211e-19,NaN
254.87,3.196e-19,NaN
254.94,3.18e-19,NaN
255.01,3.175e-19,NaN
255.07,3.166e-19,NaN
255.14,3.153e-19,NaN
255.2,3.136e-19,NaN
255.27,3.131e-19,NaN
255.34,3.122e-19,NaN
255.4,3.11e-19,NaN
255.47,3.093e-19,NaN
255.54,3.086e-19,NaN
255.6,3.081e-19,NaN
255.67,3.071e-19,NaN
255.73,3.054e-19,NaN
255.8,3.048e-19,NaN
255.87,3.041e-19,NaN
255.93,3.027e-19,NaN
256.0,3.015e-19,NaN
256.07,3.009e-19,NaN
256.13,3.001e-19,NaN
256.2,2.989e-19,NaN
256.26,2.975e-19,NaN
256.33,2.966e-19,NaN
256.4,2.96e-19,NaN
256.46,2.949e-19,NaN
256.53,2.937e-19,NaN
256.6,2.927e-19,NaN
256.66,2.92e-19,NaN
256.73,2.91e-19,NaN
256.79,2.894e-19,NaN
256.86,2.887e-19,NaN
256.93,2.881e-19,NaN
256.99,2.868e-19,NaN
257.06,2.858e-19,NaN
257.13,2.85e-19,NaN
257.19,2.842e-19,NaN
257.26,2.829e-19,NaN
257.33,2.816e-19,NaN
257.39,2.809e-19,NaN
257.46,2.801e-19,NaN
257.52,2.791e-19,NaN
257.59,2.777e-19,NaN
257.66,2.77e-19,NaN
257.72,2.762e-19,NaN
257.79,2.75e-19,NaN
257.86,2.74e-19,NaN
257.92,2.732e-19,NaN
257.99,2.723e-19,NaN
258.06,2.711e-19,NaN
258.12,2.698e-19,NaN
258.19,2.691e-19,NaN
258.26,2.683e-19,NaN
258.32,2.674e-19,NaN
258.39,2.659e-19,NaN
258.45,2.653e-19,NaN
258.52,2.646e-19,NaN
258.59,2.634e-19,NaN
258.65,2.62e-19,NaN
258.72,2.612e-19,NaN
258.79,2.605e-19,NaN
258.85,2.595e-19,NaN
258.92,2.582e-19,NaN
258.99,2.575e-19,NaN
259.05,2.566e-19,NaN
259.12,2.558e-19,NaN
259.19,2.542e-19,NaN
259.25,2.537e-19,NaN
259.32,2.53e-19,NaN
259.39,2.518e-19,NaN
259.45,2.506e-19,NaN
259.52,2.497e-19,NaN
259.59,2.49e-19,NaN
259.65,2.478e-19,NaN
259.72,2.469e-19,NaN
259.79,2.46e-19,NaN
259.85,2.453e-19,NaN
259.92,2.444e-19,NaN
259.99,2.433e-19,NaN
260.05,2.426e-19,NaN
260.12,2.42e-19,NaN
260.19,2.408e-19,NaN
260.25,2.398e-19,NaN
260.32,2.391e-19,NaN
260.39,2.385e-19,NaN
260.45,2.376e-19,NaN
260.52,2.363e-19,NaN
260.59,2.357e-19,NaN
260.65,2.349e-19,NaN
260.72,2.342e-19,NaN
260.79,2.332e-19,NaN
260.85,2.325e-19,NaN
260.92,2.317e-19,NaN
260.99,2.309e-19,NaN
261.05,2.298e-19,NaN
261.12,2.293e-19,NaN
261.19,2.285e-19,NaN
261.25,2.277e-19,NaN
261.32,2.265e-19,NaN
261.39,2.259e-19,NaN
261.45,2.253e-19,NaN
261.52,2.245e-19,NaN
261.59,2.234e-19,NaN
261.65,2.23e-19,NaN
261.72,2.227e-19,NaN
261.79,2.215e-19,NaN
261.86,2.205e-19,NaN
261.92,2.199e-19,NaN
261.99,2.191e-19,NaN
262.06,2.184e-19,NaN
262.12,2.173e-19,NaN
262.19,2.168e-19,NaN
262.26,2.16e-19,NaN
262.32,2.152e-19,NaN
262.39,2.14e-19,NaN
262.46,2.135e-19,NaN
262.52,2.13e-19,NaN
262.59,2.118e-19,NaN
262.66,2.11e-19,NaN
262.72,2.107e-19,NaN
262.79,2.104e-19,NaN
262.86,2.092e-19,NaN
262.92,2.083e-19,NaN
262.99,2.08e-19,NaN
263.06,2.074e-19,NaN
263.13,2.067e-19,NaN
263.19,2.058e-19,NaN
263.26,2.054e-19,NaN
263.33,2.047e-19,NaN
263.39,2.04e-19,NaN
263.46,2.03e-19,NaN
263.53,2.025e-19,NaN
263.59,2.02e-19,NaN
263.66,2.009e-19,NaN
263.73,2.003e-19,NaN
263.8,1.998e-19,NaN
263.86,1.99e-19,NaN
263.93,1.985e-19,NaN
264.0,1.974e-19,NaN
264.06,1.966e-19,NaN
264.13,1.961e-19,NaN
264.2,1.957e-19,NaN
264.26,1.947e-19,NaN
264.33,1.941e-19,NaN
264.4,1.934e-19,NaN
264.47,1.927e-19,NaN
264.53,1.917e-19,NaN
264.6,1.912e-19,NaN
264.67,1.907e-19,NaN
264.73,1.899e-19,NaN
264.8,1.889e-19,NaN
264.87,1.883e-19,NaN
264.93,1.879e-19,NaN
265.0,1.87e-19,NaN
265.07,1.863e-19,NaN
265.14,1.859e-19,NaN
265.2,1.853e-19,NaN
265.27,1.846e-19,NaN
265.34,1.837e-19,NaN
265.4,1.832e-19,NaN
265.47,1.827e-19,NaN
265.54,1.821e-19,NaN
265.61,1.812e-19,NaN
265.67,1.808e-19,NaN
265.74,1.805e-19,NaN
265.81,1.795e-19,NaN
265.87,1.789e-19,NaN
265.94,1.783e-19,NaN
266.01,1.775e-19,NaN
266.08,1.771e-19,NaN
266.14,1.764e-19,NaN
266.21,1.76e-19,NaN
266.28,1.753e-19,NaN
266.34,1.746e-19,NaN
266.41,1.74e-19,NaN
266.48,1.736e-19,NaN
266.55,1.731e-19,NaN
266.61,1.724e-19,NaN
266.68,1.715e-19,NaN
266.75,1.712e-19,NaN
266.81,1.705e-19,NaN
266.88,1.699e-19,NaN
266.95,1.692e-19,NaN
267.02,1.688e-19,NaN
267.08,1.681e-19,NaN
267.15,1.676e-19,NaN
267.22,1.668e-19,NaN
267.28,1.664e-19,NaN
267.35,1.656e-19,NaN
267.42,1.652e-19,NaN
267.49,1.645e-19,NaN
267.55,1.64e-19,NaN
267.62,1.635e-19,NaN
267.69,1.627e-19,NaN
267.76,1.62e-19,NaN
267.82,1.617e-19,NaN
267.89,1.612e-19,NaN
267.96,1.605e-19,NaN
268.02,1.597e-19,NaN
268.09,1.594e-19,NaN
268.16,1.589e-19,NaN
268.23,1.581e-19,NaN
268.29,1.574e-19,NaN
268.36,1.568e-19,NaN
268.43,1.562e-19,NaN
268.5,1.561e-19,NaN
268.56,1.553e-19,NaN
268.63,1.546e-19,NaN
268.7,1.542e-19,NaN
268.76,1.536e-19,NaN
268.83,1.527e-19,NaN
268.9,1.523e-19,NaN
268.97,1.517e-19,NaN
269.03,1.512e-19,NaN
269.1,1.503e-19,NaN
269.17,1.5e-19,NaN
269.24,1.494e-19,NaN
269.3,1.487e-19,NaN
269.37,1.479e-19,NaN
269.44,1.474e-19,NaN
269.51,1.471e-19,NaN
269.57,1.463e-19,NaN
269.64,1.455e-19,NaN
269.71,1.451e-19,NaN
269.77,1.444e-19,NaN
269.84,1.44e-19,NaN
269.91,1.432e-19,NaN
269.98,1.428e-19,NaN
270.04,1.421e-19,NaN
270.11,1.416e-19,NaN
270.18,1.409e-19,NaN
270.25,1.405e-19,NaN
270.31,1.399e-19,NaN
270.38,1.393e-19,NaN
270.45,1.386e-19,NaN
270.52,1.385e-19,NaN
270.58,1.378e-19,NaN
