λ,σ,Δσ
168.1,4.81e-18,NaN
170.95,5.53e-18,NaN
173.15,5.56e-18,NaN
174.65,5.33e-18,NaN
176.2,4.94e-18,NaN
177.8,4.42e-18,NaN
179.4,3.85e-18,NaN
181.0,3.27e-18,NaN
182.65,2.71e-18,NaN
184.35,2.2e-18,NaN
186.05,1.76e-18,NaN
187.8,1.39e-18,NaN
189.6,1.11e-18,NaN
191.4,8.65e-19,NaN
193.25,6.73e-19,NaN
195.15,4.87e-19,NaN
197.05,3.67e-19,NaN
199.0,2.85e-19,NaN
201.0,2.29e-19,NaN
203.05,1.91e-19,NaN
205.15,1.63e-19,NaN
207.25,1.45e-19,NaN
209.4,1.32e-19,NaN
211.65,1.24e-19,NaN
213.9,1.19e-19,NaN
216.2,1.17e-19,NaN
218.6,1.17e-19,NaN
221.0,1.19e-19,NaN
223.45,1.23e-19,NaN
226.0,1.27e-19,NaN
228.6,1.31e-19,NaN
231.25,1.35e-19,NaN
233.95,1.37e-19,NaN
236.7,1.33e-19,NaN
239.55,1.26e-19,NaN
242.45,1.17e-19,NaN
245.4,1.06e-19,NaN
248.45,9.27e-20,NaN
251.6,7.88e-20,NaN
254.8,6.34e-20,NaN
258.05,4.94e-20,NaN
261.45,3.57e-20,NaN
264.95,2.45e-20,NaN
268.5,1.58e-20,NaN
272.15,9.45e-21,NaN
275.9,5.1e-21,NaN
279.75,2.48e-21,NaN
283.7,1.11e-21,NaN
287.8,4.26e-22,NaN
292.0,1.43e-22,NaN
296.3,4.13e-23,NaN
300.75,9.7e-24,NaN
305.35,1.34e-24,NaN
