λ,σ,Δσ
165.424,1.134e-17,NaN
165.511,1.101e-17,NaN
165.573,1.075e-17,NaN
165.698,1.046e-17,NaN
165.81,1.014e-17,NaN
165.96,9.881e-18,NaN
166.084,9.585e-18,NaN
166.172,9.395e-18,NaN
166.346,9.166e-18,NaN
166.683,9.224e-18,NaN
166.944,9.11e-18,NaN
167.256,9.282e-18,NaN
167.505,9.072e-18,NaN
167.63,8.844e-18,NaN
167.829,8.635e-18,NaN
167.992,8.473e-18,NaN
168.216,8.606e-18,NaN
168.341,8.416e-18,NaN
168.465,8.168e-18,NaN
168.702,8.321e-18,NaN
168.876,8.521e-18,NaN
168.939,8.198e-18,NaN
169.026,7.721e-18,NaN
169.113,7.121e-18,NaN
169.163,6.578e-18,NaN
169.225,5.845e-18,NaN
169.288,5.168e-18,NaN
169.487,4.416e-18,NaN
169.562,4.102e-18,NaN
169.674,3.759e-18,NaN
169.799,3.511e-18,NaN
169.948,3.254e-18,NaN
170.16,3.045e-18,NaN
170.447,2.893e-18,NaN
170.821,2.769e-18,NaN
171.369,2.713e-18,NaN
171.855,2.77e-18,NaN
172.379,2.828e-18,NaN
172.778,2.895e-18,NaN
173.152,2.972e-18,NaN
173.538,3.134e-18,NaN
173.825,3.287e-18,NaN
174.099,3.344e-18,NaN
174.373,3.488e-18,NaN
174.697,3.631e-18,NaN
175.046,3.774e-18,NaN
175.283,3.879e-18,NaN
175.595,3.956e-18,NaN
175.906,4.07e-18,NaN
176.23,4.118e-18,NaN
176.505,4.166e-18,NaN
176.879,4.157e-18,NaN
177.215,4.158e-18,NaN
177.527,4.234e-18,NaN
177.664,4.282e-18,NaN
177.963,4.292e-18,NaN
178.225,4.273e-18,NaN
178.624,4.388e-18,NaN
178.91,4.426e-18,NaN
179.309,4.331e-18,NaN
179.596,4.179e-18,NaN
179.883,4.065e-18,NaN
180.144,4.008e-18,NaN
180.406,3.856e-18,NaN
180.581,3.78e-18,NaN
180.917,3.723e-18,NaN
181.316,3.695e-18,NaN
181.49,3.657e-18,NaN
181.74,3.581e-18,NaN
182.039,3.42e-18,NaN
182.45,3.287e-18,NaN
182.774,3.354e-18,NaN
183.024,3.392e-18,NaN
183.323,3.231e-18,NaN
183.597,3.031e-18,NaN
183.896,2.822e-18,NaN
184.145,2.65e-18,NaN
184.382,2.489e-18,NaN
184.681,2.337e-18,NaN
185.03,2.175e-18,NaN
185.305,2.013e-18,NaN
185.641,1.852e-18,NaN
185.978,1.662e-18,NaN
186.239,1.481e-18,NaN
186.451,1.271e-18,NaN
186.701,1.11e-18,NaN
187.112,9.196e-19,NaN
187.374,8.151e-19,NaN
187.586,7.201e-19,NaN
187.935,6.347e-19,NaN
188.346,5.589e-19,NaN
188.707,5.974e-19,NaN
189.094,6.074e-19,NaN
189.443,5.315e-19,NaN
189.879,4.844e-19,NaN
190.54,4.66e-19,NaN
191.013,4.666e-19,NaN
191.562,4.672e-19,NaN
192.048,4.677e-19,NaN
192.459,4.586e-19,NaN
193.082,4.498e-19,NaN
193.506,4.597e-19,NaN
194.042,4.699e-19,NaN
194.628,5.086e-19,NaN
195.039,5.186e-19,NaN
195.463,5.0e-19,NaN
195.887,4.242e-19,NaN
196.286,3.484e-19,NaN
196.697,3.394e-19,NaN
197.171,3.113e-19,NaN
197.744,3.215e-19,NaN
198.23,3.029e-19,NaN
198.604,3.129e-19,NaN
199.103,3.515e-19,NaN
199.539,3.425e-19,NaN
199.913,3.81e-19,NaN
200.237,3.051e-19,NaN
200.586,2.388e-19,NaN
200.873,1.724e-19,NaN
201.371,1.158e-19,NaN
