λ,σ,Δσ
268.11,5.3e-20,NaN
269.11,5.51e-20,NaN
270.3,5.94e-20,NaN
271.04,6.23e-20,NaN
271.68,6.46e-20,NaN
272.32,6.68e-20,NaN
273.05,6.91e-20,NaN
273.7,7.15e-20,NaN
274.25,7.37e-20,NaN
274.61,7.59e-20,NaN
275.16,7.81e-20,NaN
276.08,8.2e-20,NaN
276.81,8.52e-20,NaN
277.55,8.75e-20,NaN
278.28,9.05e-20,NaN
278.92,9.29e-20,NaN
279.56,9.5e-20,NaN
280.2,9.73e-20,NaN
280.75,9.96e-20,NaN
281.49,1.02e-19,NaN
282.13,1.06e-19,NaN
282.5,1.08e-19,NaN
283.14,1.1e-19,NaN
283.87,1.13e-19,NaN
284.7,1.17e-19,NaN
285.71,1.2e-19,NaN
286.71,1.24e-19,NaN
287.72,1.27e-19,NaN
288.91,1.31e-19,NaN
290.01,1.34e-19,NaN
290.93,1.38e-19,NaN
291.85,1.41e-19,NaN
292.49,1.44e-19,NaN
293.04,1.46e-19,NaN
293.68,1.48e-19,NaN
294.5,1.5e-19,NaN
295.51,1.52e-19,NaN
297.16,1.53e-19,NaN
299.26,1.53e-19,NaN
301.08,1.54e-19,NaN
302.55,1.56e-19,NaN
304.47,1.57e-19,NaN
305.65,1.55e-19,NaN
306.56,1.52e-19,NaN
307.57,1.49e-19,NaN
308.39,1.45e-19,NaN
309.2,1.42e-19,NaN
309.75,1.4e-19,NaN
310.48,1.37e-19,NaN
311.12,1.35e-19,NaN
312.12,1.31e-19,NaN
312.94,1.29e-19,NaN
314.03,1.26e-19,NaN
315.31,1.23e-19,NaN
316.49,1.2e-19,NaN
317.31,1.16e-19,NaN
317.86,1.13e-19,NaN
318.58,1.1e-19,NaN
319.13,1.08e-19,NaN
319.4,1.05e-19,NaN
319.86,1.03e-19,NaN
320.22,1.01e-19,NaN
320.77,9.8e-20,NaN
321.4,9.46e-20,NaN
321.95,9.13e-20,NaN
322.67,8.76e-20,NaN
323.49,8.39e-20,NaN
324.4,8.02e-20,NaN
325.31,7.65e-20,NaN
326.5,7.27e-20,NaN
327.32,6.89e-20,NaN
328.14,6.64e-20,NaN
328.86,6.3e-20,NaN
329.59,5.99e-20,NaN
330.14,5.77e-20,NaN
330.68,5.53e-20,NaN
331.32,5.25e-20,NaN
332.14,4.96e-20,NaN
332.69,4.73e-20,NaN
333.41,4.42e-20,NaN
334.05,4.18e-20,NaN
334.6,3.95e-20,NaN
335.51,3.64e-20,NaN
336.6,3.25e-20,NaN
337.33,3.03e-20,NaN
338.06,2.8e-20,NaN
338.42,2.67e-20,NaN
339.33,2.46e-20,NaN
340.15,2.23e-20,NaN
341.07,2.02e-20,NaN
342.16,1.82e-20,NaN
342.34,1.77e-20,NaN
343.44,1.56e-20,NaN
344.71,1.36e-20,NaN
346.17,1.17e-20,NaN
347.54,9.95e-21,NaN
349.28,8.57e-21,NaN
351.19,7.28e-21,NaN
353.2,6.38e-21,NaN
355.21,5.68e-21,NaN
357.31,4.88e-21,NaN
359.41,4.18e-21,NaN
361.61,3.88e-21,NaN
363.61,3.37e-21,NaN
365.72,3.17e-21,NaN
369.73,2.16e-21,NaN
372.93,1.75e-21,NaN
377.68,1.13e-21,NaN
