λ,σ
206,7.6e-21
210,7.22e-21
214,7.09e-21
218,6.95e-21
222,6.84e-21
226,6.76e-21
230,6.93e-21
234,7.77e-21
238,9.65e-21
242,1.277e-20
246,1.715e-20
250,2.28e-20
254,2.92e-20
258,3.59e-20
262,4.3e-20
266,4.93e-20
270,5.48e-20
274,5.88e-20
278,6.09e-20
280,6.12e-20
281,6.13e-20
282,6.12e-20
283,6.09e-20
284,6.04e-20
285,5.96e-20
286,5.88e-20
287,5.8e-20
288,5.72e-20
289,5.63e-20
290,5.53e-20
291,5.41e-20
292,5.26e-20
293,5.08e-20
294,4.9e-20
295,4.72e-20
296,4.55e-20
297,4.4e-20
298,4.25e-20
299,4.1e-20
300,3.92e-20
301,3.72e-20
302,3.51e-20
303,3.29e-20
304,3.08e-20
305,2.88e-20
306,2.69e-20
307,2.52e-20
308,2.35e-20
309,2.18e-20
310,2.02e-20
311,1.848e-20
312,1.671e-20
313,1.502e-20
314,1.345e-20
315,1.2e-20
316,1.071e-20
317,9.53e-21
318,8.45e-21
319,7.45e-21
320,6.52e-21
321,5.6e-21
322,4.79e-21
323,4.06e-21
324,3.43e-21
325,2.85e-21
326,2.37e-21
327,1.94e-21
328,1.6e-21
329,1.3e-21
330,1.03e-21
331,8.3e-22
332,6.7e-22
333,5.1e-22
334,3.7e-22
335,2.9e-22
336,2.2e-22
337,1.8e-22
338,1.3e-22
339,9.0e-23
340,8.0e-23
341,5.0e-23
342,2.0e-23
343,4.0e-23
344,1.0e-23
345,1.0e-23
346,1.0e-23
347,1.0e-23
348,0.0
349,1.0e-23
350,0.0
351,1.0e-23
352,0.0
353,0.0
354,0.0
