λ,σ
211,5.78e-19
212,5.61e-19
213,5.38e-19
214,5.09e-19
215,4.81e-19
216,4.57e-19
217,4.34e-19
218,4.1e-19
219,3.87e-19
220,3.65e-19
221,3.43e-19
222,3.22e-19
223,3.03e-19
224,2.84e-19
225,2.65e-19
226,2.48e-19
227,2.31e-19
228,2.16e-19
229,2.02e-19
230,1.88e-19
231,1.74e-19
232,1.62e-19
233,1.5e-19
234,1.4e-19
235,1.3e-19
236,1.2e-19
237,1.11e-19
238,1.03e-19
239,9.51e-20
240,8.8e-20
241,8.16e-20
242,7.58e-20
243,7.02e-20
244,6.52e-20
245,6.08e-20
246,5.68e-20
247,5.32e-20
248,5.01e-20
249,4.74e-20
250,4.51e-20
251,4.33e-20
252,4.18e-20
253,4.02e-20
254,3.91e-20
255,3.84e-20
256,3.79e-20
257,3.76e-20
258,3.77e-20
259,3.83e-20
260,3.9e-20
261,3.94e-20
262,4.0e-20
263,4.14e-20
264,4.26e-20
265,4.39e-20
266,4.6e-20
267,4.81e-20
268,4.98e-20
269,5.16e-20
270,5.39e-20
271,5.63e-20
272,5.86e-20
273,6.12e-20
274,6.39e-20
275,6.67e-20
276,6.96e-20
277,7.26e-20
278,7.54e-20
279,7.81e-20
280,8.08e-20
281,8.37e-20
282,8.67e-20
283,8.96e-20
284,9.24e-20
285,9.51e-20
286,9.75e-20
287,9.97e-20
288,1.02e-19
289,1.04e-19
290,1.06e-19
291,1.08e-19
292,1.1e-19
293,1.12e-19
294,1.13e-19
295,1.14e-19
296,1.15e-19
297,1.15e-19
298,1.15e-19
299,1.15e-19
300,1.15e-19
301,1.14e-19
302,1.14e-19
303,1.14e-19
304,1.13e-19
305,1.11e-19
306,1.1e-19
307,1.08e-19
308,1.05e-19
309,1.02e-19
310,9.96e-20
311,9.68e-20
312,9.4e-20
313,9.12e-20
314,8.84e-20
315,8.55e-20
316,8.24e-20
317,7.9e-20
318,7.53e-20
319,7.15e-20
320,6.75e-20
321,6.34e-20
322,5.94e-20
323,5.57e-20
324,5.22e-20
325,4.87e-20
326,4.53e-20
327,4.21e-20
328,3.91e-20
329,3.62e-20
330,3.32e-20
331,3.04e-20
332,2.76e-20
333,2.47e-20
334,2.21e-20
335,1.97e-20
336,1.74e-20
337,1.53e-20
338,1.32e-20
339,1.14e-20
340,9.9e-21
