λ,σ
241,2.26e-20
242,2.43e-20
243,2.6e-20
244,2.75e-20
245,2.93e-20
246,3.13e-20
247,3.31e-20
248,3.48e-20
249,3.65e-20
250,3.82e-20
251,4.01e-20
252,4.16e-20
253,4.3e-20
254,4.42e-20
255,4.56e-20
256,4.72e-20
257,4.86e-20
258,4.99e-20
259,5.08e-20
260,5.16e-20
261,5.23e-20
262,5.31e-20
263,5.36e-20
264,5.39e-20
265,5.4e-20
266,5.43e-20
267,5.43e-20
268,5.43e-20
269,5.41e-20
270,5.35e-20
271,5.26e-20
272,5.22e-20
273,5.14e-20
274,5.03e-20
275,4.93e-20
276,4.83e-20
277,4.7e-20
278,4.56e-20
279,4.41e-20
280,4.24e-20
281,4.05e-20
282,3.87e-20
283,3.7e-20
284,3.51e-20
285,3.32e-20
286,3.13e-20
287,2.93e-20
288,2.71e-20
289,2.48e-20
290,2.28e-20
291,2.08e-20
292,1.91e-20
293,1.74e-20
294,1.58e-20
295,1.43e-20
296,1.28e-20
297,1.15e-20
298,1.02e-20
299,9.19e-21
300,8.29e-21
301,7.87e-21
302,7.0e-21
303,6.21e-21
304,5.53e-21
305,5.01e-21
306,4.6e-21
307,4.17e-21
308,3.74e-21
309,3.34e-21
310,2.94e-21
311,2.57e-21
312,2.23e-21
313,2.11e-21
314,1.87e-21
315,1.6e-21
316,1.3e-21
317,9.54e-22
318,7.65e-22
319,7.37e-22
320,1.43e-21
321,1.38e-21
322,1.3e-21
323,1.23e-21
324,1.11e-21
325,9.8e-22
326,8.65e-22
327,7.64e-22
328,7.28e-22
329,7.21e-22
330,7.06e-22
331,6.97e-22
332,6.63e-22
333,5.91e-22
334,5.47e-22
335,5.66e-22
336,6.47e-22
337,6.56e-22
338,7.13e-22
339,7.67e-22
340,8.52e-22
341,9.35e-22
342,9.65e-22
343,9.99e-22
344,1.03e-21
345,1.02e-21
346,9.98e-22
347,9.81e-22
348,9.45e-22
349,9.21e-22
350,9.03e-22
