download_url,T2,λ2,author_year,comments,λ1,name,doi,formula,T1,fname
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_Butkovskaya(2006)_294K_240-350nm.txt",NaN,350.0,Butkovskaya(2006),"Measurement by the ""static"" method, i.e., the light intensity was measured when the cell was filled with a certain concentration of hydroxyacetone; the measurements were carried out at a spectral resolution of 0.04 nm",240.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy", https://doi.org/10.1021/jp056345r,CH3C(O)CH2OH,294.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_Butkovskaya(2006)_294K_240-350nm.csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_Butkovskaya(2006)_328K_250-350nm.txt",NaN,350.0,Butkovskaya(2006),"Measurement by the ""dynamic"" method, i.e., the light intensity was measured when a fixed flow of hydroxyacetone was passed through the cell at a fixed pressure; the measurements were carried out at a spectral resolution of 0.04 nm",250.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy", https://doi.org/10.1021/jp056345r,CH3C(O)CH2OH,328.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_Butkovskaya(2006)_328K_250-350nm.csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_Dillon(2006)_298K_184.9nm.txt",NaN,NaN,Dillon(2006),The absorption cross section was determined in two types of experiments:,184.9,"hydroxyacetone, acetol, 2-propanone-1-hydroxy", https://doi.org/10.1039/B513056E,CH3C(O)CH2OH,298.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_Dillon(2006)_298K_184.csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_IUPAC(2011)_298K_236-336nm(rec).txt",NaN,336.0,IUPAC(2011),IUPAC(2011) recommendation:,236.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy",,CH3C(O)CH2OH,298.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_IUPAC(2011)_298K_236-336nm(rec).csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_JPL-2006(2006)_298K_236-336nm(rec).txt",NaN,336.0,JPL-2006(2006),JPL-2006 recommendation:,236.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy",,CH3C(O)CH2OH,298.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_JPL-2006(2006)_298K_236-336nm(rec).csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_JPL-2010(2011)_298K_240-335nm(rec).txt",NaN,335.0,JPL-2010(2011),JPL-2010 recommendation:,240.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy",,CH3C(O)CH2OH,298.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_JPL-2010(2011)_298K_240-335nm(rec).csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_MellerCrowley(1990)_296K_207-333nm(0.08nm).txt",NaN,333.0,MellerCrowley(1990),Absorption cross sections from the CD-ROM of,207.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy",,CH3C(O)CH2OH,296.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_MellerCrowley(1990)_296K_207-333nm(0.csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_MellerCrowley(1990)_296K_209-332nm(1nm).txt",NaN,332.0,MellerCrowley(1990),"Averages over 1-nm intervals of the high-resolution spectrum calculated by Karl-Heinz Möbus, Max-Planck-Institut für Chemie, Mainz, Germany",209.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy",,CH3C(O)CH2OH,296.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_MellerCrowley(1990)_296K_209-332nm(1nm).csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_Messaadia(2012)_250K_200.4-320.0nm.txt",NaN,320.0,Messaadia(2012),Absorption measurements using a D,200.4,"hydroxyacetone, acetol, 2-propanone-1-hydroxy", https://doi.org/10.1016/j.cplett.2012.01.044,CH3C(O)CH2OH,250.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_Messaadia(2012)_250K_200.csv"
"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/cross_sections/Organics%20(carbonyls)/Ketones,ketenes/CH3C(O)CH2OH_Messaadia(2012)_273K_200.0-320.0nm.txt",NaN,320.0,Messaadia(2012),Absorption measurements using a D,200.0,"hydroxyacetone, acetol, 2-propanone-1-hydroxy", https://doi.org/10.1016/j.cplett.2012.01.044,CH3C(O)CH2OH,273.0,"data/cross-sections/Organics (carbonyls)/Ketones,ketenes/CH3C(O)CH2OH/CH3C(O)CH2OH_Messaadia(2012)_273K_200.csv"
