λ,σ,Δσ
106.005,5.10834e-17,NaN
106.025,4.83876e-17,NaN
106.045,5.07963e-17,NaN
106.065,5.11877e-17,NaN
106.085,5.22699e-17,NaN
106.105,5.04154e-17,NaN
106.125,5.02385e-17,NaN
106.145,5.00352e-17,NaN
106.165,4.92844e-17,NaN
106.185,5.33311e-17,NaN
106.205,5.0468e-17,NaN
106.225,4.92135e-17,NaN
106.244,4.91336e-17,NaN
106.264,4.87118e-17,NaN
106.284,5.15221e-17,NaN
106.304,5.05948e-17,NaN
106.324,5.1304e-17,NaN
106.344,5.00383e-17,NaN
106.364,5.02947e-17,NaN
106.384,4.9872e-17,NaN
106.404,5.01829e-17,NaN
106.424,5.19863e-17,NaN
106.444,5.09676e-17,NaN
106.464,5.13531e-17,NaN
106.484,5.02745e-17,NaN
106.504,4.87054e-17,NaN
106.524,5.04505e-17,NaN
106.544,5.01497e-17,NaN
106.564,5.00025e-17,NaN
106.584,4.93046e-17,NaN
106.604,4.95867e-17,NaN
106.624,4.96281e-17,NaN
106.644,4.95933e-17,NaN
106.664,5.03524e-17,NaN
106.684,4.95683e-17,NaN
106.704,4.98789e-17,NaN
106.724,5.01862e-17,NaN
106.744,5.12445e-17,NaN
106.764,5.1357e-17,NaN
106.784,4.98941e-17,NaN
106.804,5.0863e-17,NaN
106.824,5.06199e-17,NaN
106.844,5.01507e-17,NaN
106.863,5.06816e-17,NaN
106.883,5.05504e-17,NaN
106.903,4.97836e-17,NaN
106.923,4.91139e-17,NaN
106.943,4.94985e-17,NaN
106.963,5.07117e-17,NaN
106.983,5.02749e-17,NaN
107.003,5.00325e-17,NaN
107.023,4.9549e-17,NaN
107.043,4.82861e-17,NaN
107.063,5.06993e-17,NaN
107.083,4.9994e-17,NaN
107.103,4.92383e-17,NaN
107.123,4.99672e-17,NaN
107.143,4.93656e-17,NaN
107.163,4.96018e-17,NaN
107.183,4.92816e-17,NaN
107.203,4.87787e-17,NaN
107.223,4.87066e-17,NaN
107.243,4.87128e-17,NaN
107.263,4.95522e-17,NaN
107.283,4.96063e-17,NaN
107.303,4.84679e-17,NaN
107.323,4.99905e-17,NaN
107.343,4.88094e-17,NaN
107.363,4.85022e-17,NaN
107.383,4.85144e-17,NaN
107.403,4.75442e-17,NaN
107.423,4.87046e-17,NaN
107.443,4.87079e-17,NaN
107.463,4.93858e-17,NaN
107.482,4.90365e-17,NaN
107.502,4.83214e-17,NaN
107.522,4.90014e-17,NaN
107.542,5.0119e-17,NaN
107.562,4.86611e-17,NaN
107.582,5.06827e-17,NaN
107.602,4.96663e-17,NaN
107.622,4.75873e-17,NaN
107.642,4.93681e-17,NaN
107.662,4.78345e-17,NaN
107.682,4.89057e-17,NaN
107.702,4.96638e-17,NaN
107.722,4.90176e-17,NaN
107.742,4.81131e-17,NaN
107.762,4.8379e-17,NaN
107.782,4.93066e-17,NaN
107.802,4.76861e-17,NaN
107.822,4.81097e-17,NaN
107.842,4.84066e-17,NaN
107.862,4.89583e-17,NaN
107.882,4.89467e-17,NaN
107.902,4.7863e-17,NaN
107.922,4.78761e-17,NaN
107.942,4.77527e-17,NaN
107.962,4.82208e-17,NaN
107.982,4.80771e-17,NaN
108.002,4.7704e-17,NaN
108.022,4.73434e-17,NaN
108.042,4.83061e-17,NaN
