λ,σ
300.4,2.62e-20
300.68,2.6e-20
301.02,2.54e-20
301.33,2.52e-20
301.61,2.47e-20
301.98,2.43e-20
302.37,2.37e-20
302.64,2.33e-20
302.93,2.3e-20
303.32,2.25e-20
303.63,2.22e-20
303.94,2.17e-20
304.29,2.13e-20
304.64,2.08e-20
305.01,2.03e-20
305.41,1.97e-20
305.85,1.9e-20
306.16,1.85e-20
306.58,1.79e-20
306.95,1.74e-20
307.3,1.69e-20
307.73,1.64e-20
308.01,1.62e-20
308.35,1.58e-20
308.69,1.54e-20
309.02,1.49e-20
309.45,1.44e-20
309.88,1.38e-20
310.2,1.33e-20
310.54,1.28e-20
310.87,1.24e-20
311.28,1.2e-20
311.68,1.15e-20
312.1,1.12e-20
312.53,1.08e-20
312.91,1.04e-20
313.24,1.02e-20
313.7,9.82e-21
314.07,9.39e-21
314.57,8.89e-21
315.09,8.42e-21
315.56,7.97e-21
316.04,7.57e-21
316.35,7.3e-21
316.77,6.98e-21
317.18,6.63e-21
317.49,6.4e-21
317.78,6.12e-21
317.92,6.03e-21
318.23,5.79e-21
318.52,5.55e-21
318.84,5.33e-21
319.15,5.1e-21
319.44,4.88e-21
319.77,4.7e-21
320.08,4.52e-21
320.39,4.32e-21
320.69,4.18e-21
320.98,3.99e-21
321.29,3.82e-21
321.57,3.64e-21
321.87,3.49e-21
322.15,3.32e-21
322.43,3.17e-21
322.73,3.02e-21
323.01,2.89e-21
323.29,2.74e-21
323.6,2.64e-21
323.9,2.52e-21
324.18,2.41e-21
324.46,2.28e-21
324.74,2.18e-21
325.04,2.08e-21
325.3,1.97e-21
325.57,1.87e-21
325.83,1.76e-21
326.1,1.67e-21
326.37,1.58e-21
326.59,1.51e-21
326.84,1.43e-21
327.12,1.34e-21
327.4,1.27e-21
327.59,1.21e-21
327.86,1.15e-21
328.16,1.09e-21
328.44,1.03e-21
328.7,9.79e-22
328.95,9.27e-22
329.23,8.74e-22
329.47,8.22e-22
329.75,7.84e-22
330.02,7.39e-22
330.28,7.0e-22
330.55,6.58e-22
330.8,6.18e-22
331.05,5.83e-22
331.3,5.48e-22
331.57,5.17e-22
331.82,4.9e-22
332.09,4.62e-22
332.28,4.36e-22
332.55,4.11e-22
332.87,3.99e-22
333.12,3.77e-22
333.39,3.54e-22
333.63,3.31e-22
333.88,3.13e-22
334.17,3.03e-22
334.37,2.87e-22
334.54,2.67e-22
334.85,2.57e-22
335.13,2.34e-22
335.44,2.24e-22
335.73,2.12e-22
335.96,2.0e-22
336.17,1.86e-22
336.48,1.8e-22
336.79,1.75e-22
337.07,1.66e-22
337.32,1.56e-22
337.56,1.49e-22
337.65,1.49e-22
337.93,1.41e-22
338.24,1.37e-22
338.61,1.25e-22
338.85,1.17e-22
339.11,1.11e-22
339.44,1.09e-22
339.76,1.07e-22
339.9,9.83e-23
