λ,σ
191.0688,-2.564e-19
191.583,-2.313e-19
192.0972,2.024e-19
192.6115,-1.88e-19
193.1257,-1.725e-19
193.64,1.581e-19
194.1542,4.27e-19
194.6684,5.292e-19
195.1827,4.945e-19
195.6969,5.716e-19
196.2112,8.386e-19
196.7254,9.706e-19
197.2396,9.012e-19
197.7539,9.205e-19
198.2681,8.501e-19
198.7823,6.448e-19
199.2966,4.01e-19
199.8108,2.525e-19
200.3251,3.605e-19
200.8393,5.157e-19
201.3535,5.465e-19
201.8678,6.323e-19
202.382,7.084e-19
202.8963,8.771e-19
203.4105,7.971e-19
203.9247,6.689e-19
204.439,6.863e-19
204.9532,7.046e-19
205.4675,5.947e-19
205.9817,4.251e-19
206.4959,3.007e-19
207.0102,3.971e-19
207.5244,4.183e-19
208.0387,4.029e-19
208.5529,4.867e-19
209.0671,5.677e-19
209.5814,5.841e-19
210.0956,5.947e-19
210.6098,6.602e-19
211.1241,7.152e-19
211.6383,7.711e-19
212.1526,8.212e-19
212.6668,7.402e-19
213.181,6.911e-19
213.6953,7.441e-19
214.2095,8.386e-19
214.7238,9.214e-19
215.238,9.59e-19
215.7522,9.976e-19
216.2665,1.0969e-18
216.7807,1.1345e-18
217.295,1.1055e-18
217.8092,1.0284e-18
218.3234,9.966e-19
218.8377,1.0737e-18
219.3519,1.1508e-18
219.8661,1.1499e-18
220.3804,1.1653e-18
220.8946,1.252e-18
221.4089,1.3166e-18
221.9231,1.3465e-18
222.4373,1.386e-18
222.9516,1.4169e-18
223.4658,1.3764e-18
223.9801,1.3677e-18
224.4943,1.3658e-18
225.0085,1.3484e-18
225.5228,1.3282e-18
226.037,1.3186e-18
226.5513,1.3639e-18
227.0655,1.4612e-18
227.5797,1.5123e-18
228.094,1.5624e-18
228.6082,1.6578e-18
229.1224,1.7234e-18
229.6367,1.6212e-18
230.1509,1.5219e-18
230.6652,1.4477e-18
231.1794,1.4255e-18
231.6936,1.4082e-18
232.2079,1.3735e-18
232.7221,1.387e-18
233.2363,1.468e-18
233.7506,1.5287e-18
234.2648,1.5846e-18
234.7791,1.6212e-18
235.2933,1.5798e-18
