λ,σ,Δσ
234.9413,6.628935e-24,NaN
235.0718,6.539387e-24,NaN
235.2022,6.520968e-24,NaN
235.3325,6.480742e-24,NaN
235.4628,6.444129e-24,NaN
235.593,6.423452e-24,NaN
235.7232,6.395806e-24,NaN
235.8533,6.335194e-24,NaN
235.9833,6.339065e-24,NaN
236.1133,6.32929e-24,NaN
236.2433,6.327935e-24,NaN
236.3731,6.272355e-24,NaN
236.5029,6.245e-24,NaN
236.6327,6.207742e-24,NaN
236.7624,6.137226e-24,NaN
236.892,6.145484e-24,NaN
237.0216,6.060129e-24,NaN
237.1511,6.011871e-24,NaN
237.2806,5.995903e-24,NaN
237.41,5.964484e-24,NaN
237.5393,5.948323e-24,NaN
237.6686,5.874452e-24,NaN
237.7978,5.85771e-24,NaN
237.927,5.809935e-24,NaN
238.0561,5.782871e-24,NaN
238.1851,5.74329e-24,NaN
238.3141,5.713903e-24,NaN
238.443,5.657323e-24,NaN
238.5719,5.623065e-24,NaN
238.7006,5.613677e-24,NaN
238.8294,5.573645e-24,NaN
238.9581,5.540871e-24,NaN
239.0867,5.483258e-24,NaN
239.2152,5.465387e-24,NaN
239.3437,5.445677e-24,NaN
239.4721,5.39771e-24,NaN
239.6005,5.383032e-24,NaN
239.7288,5.359129e-24,NaN
239.857,5.337548e-24,NaN
239.9852,5.307968e-24,NaN
240.1133,5.280419e-24,NaN
240.2414,5.229613e-24,NaN
240.3694,5.187065e-24,NaN
240.4973,5.138e-24,NaN
240.6252,5.123387e-24,NaN
240.753,5.107677e-24,NaN
240.8808,5.068839e-24,NaN
241.0084,5.057323e-24,NaN
241.1361,5.020194e-24,NaN
241.2636,4.984968e-24,NaN
241.3911,4.981355e-24,NaN
241.5185,4.950419e-24,NaN
241.6459,4.898645e-24,NaN
241.7732,4.897871e-24,NaN
241.9005,4.859032e-24,NaN
242.0277,4.822387e-24,NaN
242.1548,4.801774e-24,NaN
242.2818,4.787645e-24,NaN
242.4088,4.732065e-24,NaN
242.5358,4.652226e-24,NaN
242.6626,4.568065e-24,NaN
242.7894,4.510323e-24,NaN
242.9162,4.655452e-24,NaN
243.0429,4.874323e-24,NaN
243.1695,4.867484e-24,NaN
243.296,4.678323e-24,NaN
243.4225,4.500226e-24,NaN
243.5489,4.319742e-24,NaN
243.6753,4.202645e-24,NaN
243.8016,4.146871e-24,NaN
243.9278,4.193677e-24,NaN
244.054,4.227387e-24,NaN
244.1801,4.203226e-24,NaN
244.3062,4.510226e-24,NaN
244.4322,4.834194e-24,NaN
244.5581,4.835323e-24,NaN
244.6839,4.646806e-24,NaN
244.8097,4.397516e-24,NaN
244.9355,4.162935e-24,NaN
245.0611,3.977129e-24,NaN
245.1867,3.903065e-24,NaN
245.3123,3.868194e-24,NaN
245.4377,3.860645e-24,NaN
245.5632,3.903839e-24,NaN
245.6885,3.87871e-24,NaN
245.8138,3.894516e-24,NaN
245.939,3.887968e-24,NaN
246.0642,3.783097e-24,NaN
246.1893,3.803129e-24,NaN
246.3143,4.227161e-24,NaN
246.4393,4.70071e-24,NaN
246.5642,4.725516e-24,NaN
246.689,4.476806e-24,NaN
246.8138,4.131839e-24,NaN
246.9385,3.932839e-24,NaN
247.0632,3.763548e-24,NaN
247.1878,3.731839e-24,NaN
247.3123,3.682e-24,NaN
247.4367,3.658129e-24,NaN
247.5611,3.584355e-24,NaN
247.6855,3.475226e-24,NaN
247.8098,3.458e-24,NaN
247.934,3.433516e-24,NaN
248.0581,3.481226e-24,NaN
248.1822,3.530581e-24,NaN
248.3062,3.467806e-24,NaN
248.4302,3.411839e-24,NaN
248.5541,3.388516e-24,NaN
248.6779,3.413258e-24,NaN
248.8017,3.674484e-24,NaN
248.9254,4.298516e-24,NaN
249.049,4.575548e-24,NaN
249.1726,4.313581e-24,NaN
249.2961,3.99971e-24,NaN
249.4196,3.797839e-24,NaN
249.543,3.66529e-24,NaN
249.6663,3.647032e-24,NaN
249.7896,3.59571e-24,NaN
249.9128,3.509e-24,NaN
250.0359,3.386097e-24,NaN
250.159,3.2239e-24,NaN
250.282,3.139174e-24,NaN
250.405,3.024642e-24,NaN
250.5279,2.961587e-24,NaN
250.6507,2.982784e-24,NaN
250.7735,3.024903e-24,NaN
250.8962,3.118787e-24,NaN
251.0189,3.180932e-24,NaN
251.1414,3.165435e-24,NaN
251.264,3.119106e-24,NaN
