λ,σ,Δσ
267.211,8.7585e-18,NaN
267.261,8.7577e-18,NaN
267.311,8.8184e-18,NaN
267.361,8.8698e-18,NaN
267.411,8.9054e-18,NaN
267.461,8.9464e-18,NaN
267.511,8.9273e-18,NaN
267.561,8.9246e-18,NaN
267.611,8.8929e-18,NaN
267.661,8.8682e-18,NaN
267.711,8.7758e-18,NaN
267.761,8.7779e-18,NaN
267.811,8.7932e-18,NaN
267.861,8.7621e-18,NaN
267.911,8.6788e-18,NaN
267.96,8.6675e-18,NaN
268.01,8.6206e-18,NaN
268.06,8.5662e-18,NaN
268.11,8.4932e-18,NaN
268.16,8.4974e-18,NaN
268.21,8.4568e-18,NaN
268.26,8.4013e-18,NaN
268.31,8.3697e-18,NaN
268.36,8.3187e-18,NaN
268.41,8.2543e-18,NaN
268.46,8.2303e-18,NaN
268.51,8.2127e-18,NaN
268.56,8.1788e-18,NaN
268.61,8.1973e-18,NaN
268.66,8.1181e-18,NaN
268.71,8.1145e-18,NaN
268.76,8.0855e-18,NaN
268.81,8.0484e-18,NaN
268.86,8.0318e-18,NaN
268.91,7.9969e-18,NaN
268.96,7.9735e-18,NaN
269.01,7.9621e-18,NaN
269.06,7.9524e-18,NaN
269.11,7.9003e-18,NaN
269.16,7.948e-18,NaN
269.21,7.9505e-18,NaN
269.26,8.0026e-18,NaN
269.31,7.9862e-18,NaN
269.36,8.0258e-18,NaN
269.41,8.093e-18,NaN
269.46,8.1554e-18,NaN
269.51,8.175e-18,NaN
269.56,8.1705e-18,NaN
269.66,8.1328e-18,NaN
269.76,8.0928e-18,NaN
269.81,8.0716e-18,NaN
269.86,7.9285e-18,NaN
269.91,7.8743e-18,NaN
269.96,7.881e-18,NaN
270.01,7.8649e-18,NaN
270.06,7.8417e-18,NaN
270.11,7.8026e-18,NaN
270.16,7.8267e-18,NaN
270.21,7.6759e-18,NaN
270.26,7.61e-18,NaN
270.31,7.6182e-18,NaN
270.36,7.4909e-18,NaN
270.41,7.5504e-18,NaN
270.46,7.5154e-18,NaN
270.51,7.5693e-18,NaN
270.66,7.482e-18,NaN
270.71,7.4367e-18,NaN
270.76,7.3343e-18,NaN
270.81,7.355e-18,NaN
270.86,7.3818e-18,NaN
270.91,7.3026e-18,NaN
270.96,7.2481e-18,NaN
271.01,7.3237e-18,NaN
271.06,7.2402e-18,NaN
271.11,7.2529e-18,NaN
271.16,7.2184e-18,NaN
271.21,7.2675e-18,NaN
271.26,7.1869e-18,NaN
271.31,7.1899e-18,NaN
271.36,7.1516e-18,NaN
271.46,7.19e-18,NaN
271.51,7.1924e-18,NaN
271.56,7.1604e-18,NaN
271.61,7.1978e-18,NaN
271.66,7.1596e-18,NaN
271.71,7.1299e-18,NaN
271.76,7.1734e-18,NaN
271.81,7.1446e-18,NaN
271.86,7.0495e-18,NaN
271.91,7.0183e-18,NaN
271.96,7.1152e-18,NaN
272.06,7.1154e-18,NaN
272.11,6.9766e-18,NaN
272.16,6.923e-18,NaN
272.21,6.8404e-18,NaN
272.26,6.7888e-18,NaN
272.31,6.7576e-18,NaN
272.41,6.757e-18,NaN
272.51,6.7693e-18,NaN
272.56,6.7801e-18,NaN
272.61,6.7575e-18,NaN
272.66,6.7263e-18,NaN
272.71,6.649e-18,NaN
272.76,6.6347e-18,NaN
272.81,6.6214e-18,NaN
272.86,6.5927e-18,NaN
272.91,6.6158e-18,NaN
272.96,6.6758e-18,NaN
273.01,6.6093e-18,NaN
273.06,6.5963e-18,NaN
273.11,6.5785e-18,NaN
273.16,6.5868e-18,NaN
273.21,6.5516e-18,NaN
273.31,6.4343e-18,NaN
273.36,6.3001e-18,NaN
273.41,6.3281e-18,NaN
273.46,6.3715e-18,NaN
273.51,6.2865e-18,NaN
273.56,6.3234e-18,NaN
273.61,6.2657e-18,NaN
273.66,6.2495e-18,NaN
273.71,6.2096e-18,NaN
273.76,6.1666e-18,NaN
273.81,6.1672e-18,NaN
273.86,6.1453e-18,NaN
273.91,6.0931e-18,NaN
273.96,6.0438e-18,NaN
274.01,6.0179e-18,NaN
274.06,6.0071e-18,NaN
274.11,5.9514e-18,NaN
274.16,5.8606e-18,NaN
274.21,5.8585e-18,NaN
274.31,5.8094e-18,NaN
274.36,5.9507e-18,NaN
274.41,5.8599e-18,NaN
274.46,5.8308e-18,NaN
274.51,5.8679e-18,NaN
274.56,5.8909e-18,NaN
274.61,5.8812e-18,NaN
274.66,5.8785e-18,NaN
274.71,5.8759e-18,NaN
274.76,5.8912e-18,NaN
274.81,5.9e-18,NaN
274.86,5.885e-18,NaN
274.91,5.8275e-18,NaN
274.96,5.8384e-18,NaN
275.01,5.8482e-18,NaN
275.06,5.7781e-18,NaN
275.11,5.7788e-18,NaN
275.16,5.7511e-18,NaN
275.21,5.6825e-18,NaN
275.26,5.6568e-18,NaN
275.31,5.6564e-18,NaN
275.36,5.5961e-18,NaN
275.41,5.5756e-18,NaN
275.46,5.5329e-18,NaN
275.51,5.541e-18,NaN
275.56,5.4907e-18,NaN
275.61,5.4268e-18,NaN
275.66,5.4652e-18,NaN
275.71,5.4059e-18,NaN
275.76,5.3874e-18,NaN
275.81,5.4481e-18,NaN
275.86,5.3755e-18,NaN
275.91,5.3564e-18,NaN
275.96,5.3206e-18,NaN
276.01,5.3203e-18,NaN
276.06,5.3231e-18,NaN
276.11,5.3404e-18,NaN
276.16,5.3534e-18,NaN
276.21,5.2972e-18,NaN
276.26,5.2446e-18,NaN
276.31,5.2454e-18,NaN
276.36,5.222e-18,NaN
276.41,5.1812e-18,NaN
276.46,5.1049e-18,NaN
276.51,5.0855e-18,NaN
276.56,5.1161e-18,NaN
276.61,5.0961e-18,NaN
276.66,5.085e-18,NaN
276.71,5.061e-18,NaN
276.76,5.0503e-18,NaN
276.81,5.0412e-18,NaN
276.86,5.0107e-18,NaN
276.91,4.9919e-18,NaN
276.96,4.9909e-18,NaN
277.01,4.9762e-18,NaN
277.06,4.9906e-18,NaN
277.11,4.9841e-18,NaN
277.16,4.9582e-18,NaN
277.21,4.9483e-18,NaN
277.26,4.929e-18,NaN
277.31,4.9267e-18,NaN
277.36,4.9099e-18,NaN
277.41,4.9016e-18,NaN
277.46,4.8647e-18,NaN
277.51,4.8393e-18,NaN
277.56,4.8044e-18,NaN
277.61,4.7613e-18,NaN
277.66,4.7298e-18,NaN
277.71,4.702e-18,NaN
277.76,4.6595e-18,NaN
277.81,4.666e-18,NaN
277.86,4.651e-18,NaN
277.91,4.5805e-18,NaN
277.96,4.6049e-18,NaN
278.01,4.5659e-18,NaN
278.06,4.6302e-18,NaN
278.11,4.5765e-18,NaN
278.16,4.5276e-18,NaN
278.21,4.5214e-18,NaN
278.26,4.5057e-18,NaN
278.31,4.5152e-18,NaN
278.36,4.5035e-18,NaN
278.41,4.4225e-18,NaN
278.46,4.4492e-18,NaN
278.51,4.4135e-18,NaN
278.56,4.4389e-18,NaN
278.61,4.3616e-18,NaN
278.66,4.3944e-18,NaN
278.71,4.3505e-18,NaN
278.76,4.3687e-18,NaN
278.81,4.2727e-18,NaN
278.86,4.2912e-18,NaN
278.91,4.226e-18,NaN
278.96,4.2399e-18,NaN
279.01,4.265e-18,NaN
279.11,4.1679e-18,NaN
279.16,4.1359e-18,NaN
279.21,4.1055e-18,NaN
279.26,4.0941e-18,NaN
279.31,4.1047e-18,NaN
279.36,4.1022e-18,NaN
279.41,4.1527e-18,NaN
279.51,4.1441e-18,NaN
279.56,4.092e-18,NaN
279.61,4.0663e-18,NaN
279.66,4.0328e-18,NaN
279.71,4.0542e-18,NaN
279.76,4.0147e-18,NaN
279.86,3.9579e-18,NaN
279.91,3.9703e-18,NaN
279.96,3.9177e-18,NaN
280.21,3.7813e-18,NaN
280.26,3.7578e-18,NaN
280.31,3.7554e-18,NaN
280.36,3.708e-18,NaN
280.41,3.6911e-18,NaN
280.46,3.6784e-18,NaN
280.51,3.6652e-18,NaN
280.56,3.6631e-18,NaN
280.61,3.6406e-18,NaN
280.66,3.6431e-18,NaN
280.71,3.6324e-18,NaN
280.76,3.6257e-18,NaN
280.81,3.622e-18,NaN
280.86,3.6299e-18,NaN
280.91,3.6133e-18,NaN
280.96,3.6093e-18,NaN
281.01,3.588e-18,NaN
281.06,3.5707e-18,NaN
281.11,3.5531e-18,NaN
281.16,3.5117e-18,NaN
281.21,3.4959e-18,NaN
281.26,3.4614e-18,NaN
281.31,3.4441e-18,NaN
281.36,3.4051e-18,NaN
281.41,3.3476e-18,NaN
281.46,3.3268e-18,NaN
281.51,3.3068e-18,NaN
281.56,3.2992e-18,NaN
281.61,3.2456e-18,NaN
281.66,3.2295e-18,NaN
281.71,3.2192e-18,NaN
281.76,3.2101e-18,NaN
281.81,3.1785e-18,NaN
281.86,3.1867e-18,NaN
281.91,3.1672e-18,NaN
281.96,3.1579e-18,NaN
282.01,3.1717e-18,NaN
282.06,3.1662e-18,NaN
282.11,3.1525e-18,NaN
282.16,3.1481e-18,NaN
282.21,3.1521e-18,NaN
282.26,3.1475e-18,NaN
282.31,3.1331e-18,NaN
282.41,3.106e-18,NaN
282.46,3.0847e-18,NaN
282.51,3.0369e-18,NaN
282.56,3.0283e-18,NaN
282.61,3.0078e-18,NaN
282.66,3.0064e-18,NaN
282.71,2.9768e-18,NaN
282.76,2.9736e-18,NaN
282.81,2.952e-18,NaN
282.86,2.9413e-18,NaN
282.91,2.9427e-18,NaN
282.96,2.939e-18,NaN
283.01,2.9206e-18,NaN
283.06,2.9383e-18,NaN
283.11,2.9352e-18,NaN
283.159,2.9545e-18,NaN
283.209,2.9525e-18,NaN
283.259,2.9636e-18,NaN
283.309,2.9587e-18,NaN
283.359,2.9497e-18,NaN
283.409,2.9197e-18,NaN
283.459,2.9147e-18,NaN
283.509,2.8757e-18,NaN
283.559,2.8561e-18,NaN
283.609,2.8344e-18,NaN
283.659,2.7835e-18,NaN
283.709,2.7598e-18,NaN
283.759,2.7402e-18,NaN
283.809,2.7134e-18,NaN
283.859,2.6871e-18,NaN
283.909,2.6616e-18,NaN
283.959,2.6302e-18,NaN
284.009,2.6413e-18,NaN
284.059,2.6034e-18,NaN
284.109,2.5798e-18,NaN
284.159,2.565e-18,NaN
284.209,2.5775e-18,NaN
284.259,2.5633e-18,NaN
284.309,2.5468e-18,NaN
284.359,2.5431e-18,NaN
284.409,2.531e-18,NaN
284.459,2.527e-18,NaN
284.509,2.5068e-18,NaN
284.559,2.4765e-18,NaN
284.609,2.4529e-18,NaN
284.659,2.461e-18,NaN
284.709,2.4827e-18,NaN
284.759,2.4467e-18,NaN
284.809,2.4519e-18,NaN
284.859,2.4429e-18,NaN
284.909,2.3923e-18,NaN
284.959,2.3951e-18,NaN
285.009,2.3764e-18,NaN
285.059,2.3389e-18,NaN
285.159,2.2784e-18,NaN
285.209,2.2863e-18,NaN
285.259,2.2927e-18,NaN
285.309,2.2571e-18,NaN
285.359,2.2473e-18,NaN
285.409,2.237e-18,NaN
285.509,2.2243e-18,NaN
285.559,2.2237e-18,NaN
285.609,2.2276e-18,NaN
285.659,2.2176e-18,NaN
285.709,2.2189e-18,NaN
285.759,2.2211e-18,NaN
285.809,2.1847e-18,NaN
285.859,2.183e-18,NaN
285.909,2.1877e-18,NaN
286.009,2.1627e-18,NaN
286.059,2.1527e-18,NaN
286.109,2.1517e-18,NaN
286.159,2.1298e-18,NaN
286.209,2.1181e-18,NaN
286.259,2.1054e-18,NaN
286.309,2.0993e-18,NaN
286.359,2.0803e-18,NaN
286.409,2.0621e-18,NaN
286.459,2.0519e-18,NaN
286.509,2.0376e-18,NaN
286.559,2.041e-18,NaN
286.609,2.0249e-18,NaN
286.659,2.0008e-18,NaN
286.709,2.0188e-18,NaN
286.759,1.982e-18,NaN
286.809,1.9868e-18,NaN
286.859,1.9417e-18,NaN
286.909,1.9609e-18,NaN
286.959,1.9609e-18,NaN
287.009,1.953e-18,NaN
287.059,1.9561e-18,NaN
287.109,1.9374e-18,NaN
287.159,1.9219e-18,NaN
287.209,1.9383e-18,NaN
287.259,1.923e-18,NaN
287.309,1.9062e-18,NaN
287.359,1.8617e-18,NaN
287.409,1.8613e-18,NaN
287.459,1.8371e-18,NaN
287.509,1.8453e-18,NaN
287.559,1.8226e-18,NaN
287.609,1.7862e-18,NaN
287.709,1.7905e-18,NaN
288.009,1.7022e-18,NaN
288.059,1.6633e-18,NaN
288.109,1.6656e-18,NaN
288.209,1.6308e-18,NaN
288.309,1.6332e-18,NaN
288.359,1.6072e-18,NaN
288.409,1.6031e-18,NaN
288.459,1.6054e-18,NaN
288.509,1.6091e-18,NaN
288.559,1.6016e-18,NaN
288.609,1.5775e-18,NaN
288.659,1.5676e-18,NaN
288.709,1.5682e-18,NaN
288.759,1.5737e-18,NaN
288.809,1.5502e-18,NaN
288.859,1.5415e-18,NaN
288.909,1.5206e-18,NaN
288.959,1.5227e-18,NaN
289.009,1.5136e-18,NaN
289.059,1.5047e-18,NaN
289.109,1.4968e-18,NaN
289.159,1.4898e-18,NaN
289.209,1.4912e-18,NaN
289.259,1.4799e-18,NaN
289.309,1.4642e-18,NaN
289.359,1.4819e-18,NaN
289.409,1.4389e-18,NaN
289.459,1.4406e-18,NaN
289.509,1.427e-18,NaN
289.559,1.4038e-18,NaN
289.609,1.3815e-18,NaN
289.659,1.3963e-18,NaN
289.709,1.3765e-18,NaN
289.759,1.4006e-18,NaN
289.809,1.3653e-18,NaN
289.859,1.3729e-18,NaN
289.959,1.362e-18,NaN
290.209,1.3194e-18,NaN
290.259,1.32e-18,NaN
290.309,1.3148e-18,NaN
290.359,1.3036e-18,NaN
290.409,1.3023e-18,NaN
290.459,1.2956e-18,NaN
290.509,1.2959e-18,NaN
290.559,1.2882e-18,NaN
290.609,1.2822e-18,NaN
290.659,1.2693e-18,NaN
290.709,1.2708e-18,NaN
290.759,1.2598e-18,NaN
290.809,1.2526e-18,NaN
290.859,1.2474e-18,NaN
290.909,1.2362e-18,NaN
290.959,1.2248e-18,NaN
291.009,1.2206e-18,NaN
291.059,1.2086e-18,NaN
291.109,1.1997e-18,NaN
291.159,1.1919e-18,NaN
291.209,1.1769e-18,NaN
291.258,1.1771e-18,NaN
291.308,1.1624e-18,NaN
291.358,1.1532e-18,NaN
291.408,1.1407e-18,NaN
291.458,1.1303e-18,NaN
291.508,1.1235e-18,NaN
291.558,1.111e-18,NaN
291.608,1.0993e-18,NaN
291.658,1.0833e-18,NaN
291.708,1.0755e-18,NaN
291.758,1.0737e-18,NaN
291.808,1.0685e-18,NaN
291.858,1.0618e-18,NaN
291.908,1.0535e-18,NaN
291.958,1.0468e-18,NaN
292.008,1.0437e-18,NaN
292.058,1.038e-18,NaN
292.108,1.0319e-18,NaN
292.158,1.0271e-18,NaN
292.208,1.0124e-18,NaN
292.258,1.0132e-18,NaN
292.308,1.0083e-18,NaN
292.358,1.0043e-18,NaN
292.408,1.0011e-18,NaN
292.458,9.969e-19,NaN
292.508,9.97e-19,NaN
292.558,9.961e-19,NaN
292.608,9.904e-19,NaN
292.658,9.867e-19,NaN
292.708,9.819e-19,NaN
292.758,9.788e-19,NaN
292.808,9.742e-19,NaN
292.858,9.665e-19,NaN
292.908,9.577e-19,NaN
292.958,9.526e-19,NaN
293.008,9.437e-19,NaN
293.058,9.355e-19,NaN
293.108,9.28e-19,NaN
293.158,9.191e-19,NaN
293.208,9.12e-19,NaN
293.258,9.055e-19,NaN
