λ,σ,uncertainty
231.0397,4.76002,-18
231.1662,4.6232,-18
231.2926,4.77037,-18
231.4189,5.08154,-18
231.5452,4.82824,-18
231.6714,5.16826,-18
231.79761,5.12707,-18
231.9236,4.8372,-18
232.0497,4.71808,-18
232.1756,4.78495,-18
232.3015,5.10561,-18
232.4272,5.00828,-18
232.55299,5.47945,-18
232.6786,5.36663,-18
232.8042,5.51176,-18
232.9297,5.61867,-18
233.05521,5.63031,-18
233.1806,5.68483,-18
233.30589,5.71507,-18
233.4312,5.74216,-18
233.5564,5.80785,-18
233.6815,5.84352,-18
233.8065,5.88462,-18
233.9315,5.95603,-18
234.0564,6.0146,-18
234.1813,6.11187,-18
234.30611,6.16485,-18
234.4308,6.22829,-18
234.5555,6.28199,-18
234.6801,6.31916,-18
234.8046,6.35978,-18
234.92909,6.35634,-18
235.0535,6.37926,-18
235.1778,6.38953,-18
235.302,6.43492,-18
235.4263,6.49374,-18
235.5504,6.55922,-18
235.6745,6.6334,-18
235.79849,6.7064,-18
235.92239,6.78612,-18
236.0463,6.84192,-18
236.1701,6.88534,-18
236.2939,6.91113,-18
236.4176,6.94243,-18
236.5412,6.97284,-18
236.66479,7.01879,-18
236.7883,7.08094,-18
236.9117,7.13779,-18
237.0351,7.19507,-18
237.1584,7.24401,-18
237.28169,7.28084,-18
237.4048,7.31267,-18
237.528,7.36316,-18
237.651,7.40816,-18
237.77409,7.46371,-18
237.897,7.51889,-18
238.0199,7.57724,-18
238.1427,7.62577,-18
238.2655,7.66354,-18
238.3882,7.71388,-18
238.5108,7.74911,-18
238.63341,7.78133,-18
238.75591,7.80062,-18
238.8784,7.83187,-18
239.00079,7.87736,-18
239.12309,7.94489,-18
239.24541,8.02086,-18
239.3676,8.10669,-18
239.48981,8.18723,-18
239.61189,8.26222,-18
239.7339,8.32543,-18
239.8559,8.36923,-18
239.97791,8.3891,-18
240.0997,8.38586,-18
240.2215,8.38338,-18
240.34331,8.39893,-18
240.465,8.43262,-18
240.58659,8.48249,-18
240.70821,8.54464,-18
240.8297,8.60489,-18
240.9512,8.65087,-18
241.0726,8.71476,-18
241.19389,8.77296,-18
241.3152,8.85084,-18
241.43649,8.91768,-18
241.5576,8.97133,-18
241.6788,8.99212,-18
241.7998,8.99861,-18
241.9209,9.00766,-18
242.04179,9.04546,-18
242.1627,9.07853,-18
242.2836,9.12735,-18
242.4043,9.1615,-18
242.5251,9.1915,-18
242.64571,9.2313,-18
242.7664,9.28522,-18
242.8869,9.35474,-18
243.0074,9.40992,-18
243.1279,9.47311,-18
243.24831,9.52371,-18
243.3687,9.57729,-18
243.489,9.63256,-18
243.60921,9.68463,-18
243.7294,9.73708,-18
243.8495,9.77052,-18
243.9696,9.77849,-18
244.0896,9.77058,-18
244.20959,9.76961,-18
244.3295,9.76804,-18
244.4494,9.77618,-18
244.5692,9.77987,-18
244.6889,9.78796,-18
244.80859,9.83816,-18
244.9283,9.92844,-18
245.0479,1.00456,-17
245.1674,1.01708,-17
245.2869,1.02617,-17
245.4064,1.03143,-17
245.5258,1.03606,-17
245.6451,1.0375,-17
245.7644,1.03745,-17
245.8837,1.03731,-17
246.0029,1.03766,-17
246.12199,1.03723,-17
246.2411,1.03543,-17
246.36011,1.03468,-17
246.4791,1.03527,-17
246.59801,1.03659,-17
246.7169,1.03909,-17
246.8358,1.04406,-17
246.9545,1.05127,-17
247.0733,1.05913,-17
247.192,1.06576,-17
247.31059,1.07043,-17
247.4292,1.07347,-17
247.5477,1.07647,-17
247.6662,1.07941,-17
247.7847,1.08005,-17
247.903,1.07664,-17
248.02139,1.07249,-17
248.13969,1.07151,-17
248.2579,1.07386,-17
248.3761,1.08035,-17
248.49429,1.08942,-17
248.6124,1.10037,-17
248.73039,1.11028,-17
248.8484,1.11694,-17
248.9664,1.11979,-17
249.0843,1.11749,-17
249.20219,1.11398,-17
249.32001,1.1109,-17
249.43781,1.11268,-17
249.5555,1.11707,-17
249.6732,1.12253,-17
249.7908,1.12671,-17
249.9084,1.12919,-17
250.02589,1.12689,-17
250.1434,1.12269,-17
250.2608,1.1176,-17
250.3782,1.11303,-17
250.49561,1.11061,-17
250.6129,1.11066,-17
250.7301,1.11219,-17
250.8474,1.11427,-17
250.96449,1.11755,-17
251.0817,1.12155,-17
251.1987,1.12802,-17
251.3158,1.13925,-17
251.4328,1.15341,-17
251.5497,1.16498,-17
251.6666,1.17024,-17
251.78349,1.16862,-17
251.9003,1.1631,-17
252.01711,1.15664,-17
252.1338,1.15098,-17
252.2505,1.14525,-17
252.3671,1.14017,-17
252.4837,1.13666,-17
252.6003,1.13538,-17
252.7168,1.13708,-17
252.83321,1.14036,-17
252.94971,1.1442,-17
253.06599,1.14643,-17
253.1824,1.14864,-17
253.29871,1.15188,-17
253.4149,1.15751,-17
253.5311,1.16196,-17
253.64729,1.16381,-17
253.7634,1.16489,-17
253.8795,1.1653,-17
253.9955,1.16335,-17
254.1116,1.15925,-17
254.22749,1.15249,-17
254.3434,1.14511,-17
254.4593,1.13845,-17
254.5751,1.13702,-17
254.6909,1.14154,-17
254.8067,1.15067,-17
254.92239,1.16172,-17
255.0381,1.17359,-17
255.1537,1.18326,-17
255.2693,1.18693,-17
255.3849,1.18434,-17
255.5004,1.1784,-17
255.6158,1.17139,-17
255.73129,1.16489,-17
255.84669,1.15906,-17
255.96201,1.15363,-17
256.0773,1.14751,-17
256.1926,1.14126,-17
256.3078,1.13363,-17
256.423,1.12707,-17
256.53821,1.12303,-17
256.65329,1.12469,-17
256.7684,1.12973,-17
256.88339,1.13603,-17
256.99841,1.1422,-17
257.1134,1.1436,-17
257.2283,1.14092,-17
257.3432,1.13567,-17
257.4581,1.12953,-17
257.57291,1.12585,-17
257.68771,1.12476,-17
257.8024,1.12331,-17
257.91711,1.12264,-17
258.0318,1.12466,-17
258.14639,1.13201,-17
258.26099,1.14335,-17
258.37549,1.15647,-17
258.49011,1.16648,-17
258.60449,1.17078,-17
258.71899,1.16788,-17
258.8334,1.16082,-17
258.94769,1.15005,-17
259.0621,1.13497,-17
259.17639,1.11786,-17
259.29059,1.1003,-17
259.40479,1.08464,-17
259.51901,1.0741,-17
259.63321,1.06841,-17
259.74731,1.06671,-17
259.86139,1.06931,-17
259.9754,1.07689,-17
260.08939,1.08855,-17
260.2034,1.10235,-17
260.31741,1.11403,-17
260.4313,1.12256,-17
260.5452,1.12558,-17
260.659,1.12294,-17
260.7728,1.11496,-17
260.8866,1.10235,-17
261.00031,1.08759,-17
261.11401,1.07355,-17
261.22769,1.06189,-17
261.34131,1.05308,-17
261.4549,1.04837,-17
261.56851,1.04683,-17
261.68201,1.0483,-17
261.7955,1.05094,-17
261.909,1.05483,-17
262.0224,1.05986,-17
262.1358,1.06538,-17
262.24921,1.07076,-17
262.36249,1.07279,-17
262.47589,1.06918,-17
262.58911,1.05942,-17
262.70239,1.04564,-17
262.81561,1.02986,-17
262.92871,1.01497,-17
263.0419,1.00289,-17
263.155,9.94947,-18
263.2681,9.9003,-18
263.3811,9.87063,-18
263.49411,9.8682,-18
263.60709,9.89773,-18
263.72009,9.95251,-18
263.83301,1.00198,-17
263.94589,1.00812,-17
264.05869,1.01165,-17
264.1716,1.01412,-17
264.28439,1.01503,-17
264.39719,1.01308,-17
264.50989,1.00728,-17
264.62259,9.96243,-18
264.73529,9.81213,-18
264.8479,9.65,-18
264.96051,9.53555,-18
265.07309,9.4955,-18
265.1857,9.52347,-18
265.29819,9.57922,-18
265.41071,9.62647,-18
265.52319,9.63511,-18
265.63559,9.6231,-18
265.74799,9.57656,-18
265.86041,9.51255,-18
265.97269,9.4254,-18
266.08511,9.33249,-18
266.19739,9.26415,-18
266.3096,9.22888,-18
266.42191,9.18483,-18
266.53409,9.11915,-18
266.6463,9.02477,-18
266.75839,8.89937,-18
266.87051,8.77719,-18
266.9826,8.69851,-18
267.0947,8.69202,-18
267.2067,8.76102,-18
267.3187,8.86475,-18
267.43069,8.94588,-18
267.54269,8.96871,-18
267.6546,8.93263,-18
267.76651,8.85779,-18
267.87839,8.76497,-18
267.9902,8.65867,-18
268.10211,8.55225,-18
268.21381,8.44588,-18
268.32559,8.3438,-18
268.43729,8.25634,-18
268.54901,8.1941,-18
268.66071,8.14955,-18
268.7724,8.09877,-18
268.884,8.0402,-18
268.99561,7.97987,-18
269.10721,7.95174,-18
269.21881,7.97175,-18
269.33029,8.03786,-18
269.4418,8.12732,-18
269.55331,8.197,-18
269.6647,8.20628,-18
269.77621,8.14226,-18
269.88751,8.03713,-18
269.9989,7.91953,-18
270.11029,7.80949,-18
270.22159,7.71475,-18
270.33289,7.63122,-18
270.44421,7.5502,-18
270.55539,7.47692,-18
270.66669,7.41745,-18
270.77789,7.37575,-18
270.88901,7.35178,-18
271.00021,7.32536,-18
271.1113,7.29309,-18
271.22241,7.25114,-18
271.3335,7.22003,-18
271.44449,7.20458,-18
271.5556,7.2015,-18
271.6666,7.20404,-18
271.77759,7.19473,-18
271.88849,7.16065,-18
271.99951,7.0864,-18
272.11041,6.98698,-18
272.22131,6.90358,-18
272.33221,6.85119,-18
272.44299,6.81789,-18
272.5538,6.77416,-18
272.66461,6.72019,-18
272.77539,6.66672,-18
272.88611,6.62813,-18
272.99689,6.61499,-18
273.1076,6.5997,-18
273.21829,6.55012,-18
273.32889,6.47874,-18
273.43961,6.39841,-18
273.5502,6.31974,-18
273.6608,6.24697,-18
273.77139,6.17262,-18
273.8819,6.09282,-18
273.99249,6.01105,-18
274.103,5.93148,-18
274.21341,5.87019,-18
274.32391,5.84736,-18
274.43439,5.86402,-18
274.5448,5.89728,-18
274.65521,5.9193,-18
274.76559,5.91794,-18
274.87589,5.88566,-18
274.9863,5.8306,-18
275.09659,5.76516,-18
275.20691,5.6974,-18
275.3172,5.62906,-18
275.4274,5.56051,-18
275.53769,5.49352,-18
275.64789,5.42773,-18
275.75809,5.37143,-18
275.86829,5.34022,-18
275.97839,5.33265,-18
276.08859,5.33243,-18
276.1987,5.30965,-18
276.30869,5.2544,-18
276.41891,5.18121,-18
276.5289,5.11836,-18
276.63889,5.07686,-18
276.74899,5.04924,-18
276.85889,5.01732,-18
276.9689,4.98527,-18
277.07889,4.96612,-18
277.18881,4.95125,-18
277.2988,4.92865,-18
277.40869,4.88725,-18
277.51859,4.82574,-18
277.62839,4.75269,-18
277.73831,4.68043,-18
277.84811,4.61585,-18
277.95789,4.56396,-18
278.06769,4.52436,-18
278.17749,4.49678,-18
278.2872,4.47199,-18
278.397,4.44455,-18
278.50671,4.41243,-18
278.61639,4.37894,-18
278.7261,4.33609,-18
278.83578,4.28159,-18
278.9454,4.22483,-18
279.05499,4.17281,-18
279.16461,4.12978,-18
279.2742,4.10309,-18
279.38379,4.08828,-18
279.49341,4.08222,-18
279.60291,4.07241,-18
279.7124,4.05404,-18
279.82199,4.02213,-18
279.93149,3.97048,-18
280.04089,3.89742,-18
280.15039,3.81631,-18
280.2598,3.74598,-18
280.36929,3.69484,-18
280.4787,3.65881,-18
280.5881,3.63168,-18
280.69739,3.61485,-18
280.80679,3.61086,-18
280.91611,3.59901,-18
281.02551,3.57669,-18
281.1348,3.52916,-18
281.24411,3.46161,-18
281.35339,3.38336,-18
281.46259,3.31005,-18
281.5719,3.25415,-18
281.68109,3.21209,-18
281.79031,3.1813,-18
281.89951,3.16446,-18
282.0087,3.15567,-18
282.11789,3.15029,-18
282.22711,3.14233,-18
282.33621,3.11604,-18
282.44571,3.05948,-18
282.55481,3.01361,-18
282.66391,2.97283,-18
282.77301,2.94537,-18
282.88199,2.93064,-18
282.99109,2.92755,-18
283.1001,2.9359,-18
283.20911,2.94702,-18
283.31812,2.94815,-18
283.42709,2.91694,-18
283.5361,2.85907,-18
283.64511,2.79057,-18
283.754,2.72164,-18
283.86292,2.65623,-18
283.9718,2.60058,-18
284.08069,2.56154,-18
284.18961,2.53946,-18
284.29849,2.52838,-18
284.40729,2.51381,-18
284.5162,2.49185,-18
284.625,2.4683,-18
284.7338,2.44527,-18
284.84259,2.42027,-18
284.95139,2.38517,-18
285.06021,2.34075,-18
285.16901,2.29447,-18
285.27771,2.25408,-18
285.38641,2.22471,-18
285.49521,2.20981,-18
285.60391,2.20525,-18
285.71259,2.20272,-18
285.82129,2.19289,-18
285.92999,2.17403,-18
286.0386,2.14956,-18
286.14719,2.12317,-18
286.25589,2.09519,-18
286.3645,2.06464,-18
286.47311,2.03533,-18
286.5817,2.00657,-18
286.69031,1.98114,-18
286.79889,1.96273,-18
286.90741,1.9502,-18
287.01599,1.93855,-18
287.12451,1.92419,-18
287.23309,1.90401,-18
287.34161,1.87378,-18
287.4501,1.83404,-18
287.55859,1.79032,-18
287.66711,1.74916,-18
287.77551,1.71393,-18
287.884,1.68426,-18
287.9924,1.66126,-18
288.10089,1.64183,-18
288.20929,1.62371,-18
288.31769,1.60865,-18
288.42609,1.59655,-18
288.53448,1.58327,-18
288.64291,1.56676,-18
288.75131,1.54668,-18
288.85959,1.52562,-18
288.96799,1.50531,-18
289.07629,1.48782,-18
289.1846,1.47041,-18
289.29291,1.45082,-18
289.40121,1.42892,-18
289.50961,1.40594,-18
289.6178,1.3845,-18
289.7261,1.36876,-18
289.83441,1.35683,-18
289.9426,1.34603,-18
290.0509,1.33185,-18
290.15909,1.31564,-18
290.2673,1.30059,-18
290.37549,1.2887,-18
290.4838,1.27777,-18
290.59189,1.26477,-18
290.7001,1.24958,-18
290.80829,1.2322,-18
290.9165,1.21326,-18
291.02469,1.19379,-18
291.13281,1.17404,-18
291.24091,1.15402,-18
291.34909,1.13283,-18
291.45721,1.1095,-18
291.56531,1.08455,-18
291.6734,1.06385,-18
291.78149,1.0502,-18
291.88959,1.03864,-18
291.99771,1.02548,-18
292.10571,1.01162,-18
292.21381,9.99367,-19
292.32181,9.91899,-19
292.4299,9.8796,-19
292.5379,9.83694,-19
292.6459,9.76179,-19
292.754,9.64439,-19
292.862,9.49057,-19
292.97,9.31563,-19
293.07791,9.14299,-19
293.18591,8.98034,-19
293.29391,8.81294,-19
293.40189,8.64194,-19
293.5098,8.47062,-19
293.6178,8.31239,-19
293.72571,8.17588,-19
293.83359,8.0782,-19
293.94159,8.02157,-19
294.0495,7.98271,-19
294.15741,7.9251,-19
294.26529,7.82555,-19
294.3732,7.72901,-19
294.48111,7.64959,-19
294.58899,7.55226,-19
294.69681,7.4468,-19
294.80469,7.33878,-19
294.9126,7.22876,-19
295.02039,7.10271,-19
295.1283,6.95785,-19
295.23611,6.80582,-19
295.3439,6.65436,-19
295.45181,6.52209,-19
295.5596,6.43332,-19
295.66739,6.37303,-19
295.77521,6.30775,-19
295.883,6.22641,-19
295.99081,6.11674,-19
296.09851,5.97858,-19
296.2063,5.85021,-19
296.31409,5.76676,-19
296.42181,5.72879,-19
296.5296,5.71248,-19
296.63739,5.69015,-19
296.74509,5.6445,-19
296.85281,5.55933,-19
296.9606,5.43873,-19
297.0683,5.31959,-19
297.17599,5.2278,-19
297.28369,5.14438,-19
297.39139,5.05321,-19
297.49911,4.95807,-19
297.60681,4.86615,-19
297.71451,4.78458,-19
297.8222,4.70527,-19
297.9299,4.63372,-19
298.03751,4.57423,-19
298.1452,4.52759,-19
298.2529,4.48037,-19
298.3605,4.41773,-19
298.4682,4.36356,-19
298.57581,4.33174,-19
298.68341,4.30177,-19
298.79111,4.26226,-19
298.89871,4.19989,-19
299.00629,4.11637,-19
299.11401,4.02455,-19
299.22159,3.93237,-19
299.32919,3.84376,-19
299.4368,3.75959,-19
299.54431,3.68611,-19
299.65189,3.62802,-19
299.75949,3.59293,-19
299.8671,3.5726,-19
299.9747,3.54574,-19
300.08221,3.50402,-19
300.18979,3.45252,-19
300.29739,3.40671,-19
300.40491,3.37196,-19
300.51251,3.33805,-19
300.62,3.29022,-19
300.7276,3.22884,-19
300.83511,3.15319,-19
300.94269,3.07752,-19
301.0502,3.00172,-19
301.15771,2.93906,-19
301.2652,2.89244,-19
301.37271,2.84979,-19
301.48029,2.81381,-19
301.58771,2.78776,-19
301.69531,2.77608,-19
301.8028,2.76813,-19
301.91019,2.74564,-19
302.0177,2.71491,-19
302.12521,2.6781,-19
302.2327,2.63976,-19
302.34021,2.59415,-19
302.44769,2.5422,-19
302.55511,2.48647,-19
302.6626,2.4321,-19
302.77011,2.37774,-19
302.8775,2.32084,-19
302.98499,2.27052,-19
303.09241,2.23529,-19
303.19989,2.20553,-19
303.30731,2.18405,-19
303.41479,2.16009,-19
303.52219,2.13876,-19
303.62961,2.12295,-19
303.73709,2.1157,-19
303.84451,2.11623,-19
303.9519,2.11447,-19
304.05939,2.08675,-19
304.16681,2.04732,-19
304.2742,2.00477,-19
304.38159,1.97352,-19
304.48901,1.94034,-19
304.59641,1.89162,-19
304.7038,1.83734,-19
304.81119,1.78938,-19
304.91861,1.74604,-19
305.026,1.70503,-19
305.13339,1.66787,-19
305.24081,1.63515,-19
305.34821,1.61045,-19
305.4556,1.59974,-19
305.5629,1.59929,-19
305.67029,1.60111,-19
305.77771,1.58862,-19
305.8851,1.56992,-19
305.9924,1.55308,-19
306.09979,1.55588,-19
306.20721,1.56094,-19
306.31451,1.5459,-19
306.42191,1.50957,-19
306.52921,1.46986,-19
306.6366,1.44042,-19
306.7439,1.41702,-19
306.85129,1.385,-19
306.95859,1.33988,-19
307.06601,1.29395,-19
307.17331,1.25409,-19
307.2807,1.22764,-19
307.388,1.20123,-19
307.4953,1.18168,-19
307.60269,1.16669,-19
307.70999,1.16658,-19
307.81741,1.17691,-19
307.92471,1.18035,-19
308.03201,1.18074,-19
308.13931,1.17607,-19
308.24661,1.15027,-19
308.354,1.11521,-19
308.4613,1.09577,-19
308.5686,1.10552,-19
308.6759,1.10588,-19
308.7832,1.09347,-19
308.8905,1.07492,-19
308.9978,1.063,-19
309.10519,1.03856,-19
309.21249,1.01062,-19
309.31979,9.73969,-20
309.42709,9.21463,-20
309.53439,8.82092,-20
309.64169,8.60993,-20
309.74899,8.52478,-20
309.85629,8.4813,-20
309.96359,8.44616,-20
310.07089,8.49824,-20
310.17819,8.6125,-20
310.28549,8.59982,-20
310.3927,8.38234,-20
310.5,8.14076,-20
310.6073,8.05249,-20
310.7146,7.98708,-20
310.8219,7.83542,-20
310.9292,7.74342,-20
311.0365,7.66282,-20
311.14371,7.70758,-20
311.25101,7.8376,-20
311.35831,7.86257,-20
311.46561,7.68887,-20
311.57281,7.40924,-20
311.68011,7.10122,-20
311.78741,6.83462,-20
311.89471,6.62116,-20
312.00201,6.45126,-20
312.10919,6.34615,-20
312.21649,6.24539,-20
312.32379,6.09923,-20
312.43109,5.93342,-20
312.5383,5.79871,-20
312.6456,5.70734,-20
312.7529,5.62653,-20
312.86011,5.62375,-20
312.96741,5.59524,-20
313.07458,5.54073,-20
313.18188,5.56997,-20
313.28922,5.82581,-20
313.39651,6.03955,-20
313.50369,6.0964,-20
313.61099,5.97795,-20
313.7182,5.78538,-20
313.8255,5.55293,-20
313.9328,5.36113,-20
314.04001,5.13061,-20
314.14731,4.9153,-20
314.25449,4.68765,-20
