λ,σ
445,1.25e-22
450,1.52e-22
455,2.22e-22
458,3.01e-22
460,3.42e-22
462,3.6e-22
464,3.53e-22
466,3.49e-22
468,3.56e-22
470,3.64e-22
472,3.93e-22
474,4.3e-22
476,4.57e-22
478,5.11e-22
480,6.03e-22
482,6.98e-22
484,7.96e-22
486,7.9e-22
488,7.72e-22
490,8.05e-22
492,8.78e-22
494,9.28e-22
496,1.02e-21
498,1.13e-21
500,1.24e-21
502,1.38e-21
504,1.52e-21
506,1.56e-21
508,1.57e-21
510,1.55e-21
512,1.54e-21
514,1.59e-21
516,1.67e-21
518,1.75e-21
520,1.87e-21
522,1.99e-21
524,2.15e-21
526,2.32e-21
528,2.46e-21
530,2.62e-21
532,2.75e-21
534,2.79e-21
536,2.83e-21
538,2.93e-21
540,3.07e-21
542,3.17e-21
544,3.26e-21
546,3.32e-21
548,3.38e-21
550,3.44e-21
552,3.49e-21
554,3.59e-21
556,3.74e-21
558,3.91e-21
560,4.07e-21
562,4.28e-21
564,4.42e-21
566,4.52e-21
568,4.63e-21
570,4.69e-21
572,4.74e-21
576,4.69e-21
578,4.58e-21
580,4.49e-21
582,4.43e-21
584,4.41e-21
586,4.44e-21
588,4.49e-21
590,4.61e-21
592,4.73e-21
594,4.86e-21
596,4.98e-21
598,5.05e-21
600,5.11e-21
602,5.13e-21
604,5.04e-21
606,4.91e-21
608,4.78e-21
610,4.62e-21
612,4.43e-21
615,4.17e-21
620,3.88e-21
625,3.57e-21
630,3.32e-21
635,3.1e-21
640,2.85e-21
645,2.62e-21
650,2.39e-21
655,2.18e-21
660,2.0e-21
665,1.8e-21
670,1.66e-21
675,1.51e-21
680,1.38e-21
685,1.25e-21
690,1.12e-21
695,1.01e-21
700,8.82e-22
705,7.98e-22
710,7.41e-22
715,6.82e-22
720,6.01e-22
725,5.4e-22
730,4.87e-22
735,4.57e-22
740,4.57e-22
745,4.46e-22
750,3.82e-22
755,3.28e-22
760,2.92e-22
765,2.73e-22
770,2.82e-22
775,3.01e-22
780,2.86e-22
785,2.44e-22
790,2.12e-22
795,1.83e-22
800,1.72e-22
805,1.83e-22
810,2.01e-22
815,2.07e-22
820,1.81e-22
825,1.48e-22
830,1.18e-22
835,1.02e-22
840,9.81e-23
845,1.24e-22
850,1.38e-22
