λ,σ,Δσ
213.33,8.00346e-19,NaN
213.34,8.05965e-19,NaN
213.35,8.04114e-19,NaN
213.36,7.6179e-19,NaN
213.37,7.86393e-19,NaN
213.38,8.02013e-19,NaN
213.39,7.61667e-19,NaN
213.4,8.17562e-19,NaN
213.41,8.51744e-19,NaN
213.42,7.84546e-19,NaN
213.43,8.18185e-19,NaN
213.44,7.76396e-19,NaN
213.45,7.72095e-19,NaN
213.46,7.71134e-19,NaN
213.47,8.39195e-19,NaN
213.48,8.55836e-19,NaN
213.49,7.90468e-19,NaN
213.5,7.87657e-19,NaN
213.51,8.40309e-19,NaN
213.52,8.27411e-19,NaN
213.53,7.64653e-19,NaN
213.54,8.40869e-19,NaN
213.55,8.38016e-19,NaN
213.56,8.21486e-19,NaN
213.57,8.32087e-19,NaN
213.58,8.42384e-19,NaN
213.59,8.98664e-19,NaN
213.6,8.08459e-19,NaN
213.61,8.00811e-19,NaN
213.62,7.87758e-19,NaN
213.63,8.4321e-19,NaN
213.64,8.51691e-19,NaN
213.65,7.96962e-19,NaN
213.66,7.92343e-19,NaN
213.67,8.13056e-19,NaN
213.68,8.27214e-19,NaN
213.69,7.9863e-19,NaN
213.7,8.11322e-19,NaN
213.71,8.23217e-19,NaN
213.72,8.30113e-19,NaN
213.73,8.4888e-19,NaN
213.74,8.2519e-19,NaN
213.75,8.48283e-19,NaN
213.76,8.83041e-19,NaN
213.77,8.94342e-19,NaN
213.78,8.69829e-19,NaN
213.79,8.65488e-19,NaN
213.8,8.25953e-19,NaN
213.81,8.86795e-19,NaN
213.82,8.24696e-19,NaN
213.83,8.38441e-19,NaN
213.84,8.74224e-19,NaN
213.85,8.44771e-19,NaN
213.86,8.2097e-19,NaN
213.87,8.73357e-19,NaN
213.88,8.17697e-19,NaN
213.89,8.647e-19,NaN
213.9,8.12405e-19,NaN
213.91,8.00044e-19,NaN
213.92,8.57039e-19,NaN
213.93,8.2302e-19,NaN
213.94,8.42198e-19,NaN
213.95,8.04104e-19,NaN
213.96,8.42605e-19,NaN
213.97,8.03606e-19,NaN
213.98,8.44594e-19,NaN
213.99,8.76518e-19,NaN
214.0,8.53014e-19,NaN
214.01,8.38068e-19,NaN
214.02,8.25245e-19,NaN
214.03,8.72791e-19,NaN
214.04,8.8792e-19,NaN
214.05,8.43424e-19,NaN
214.06,8.86896e-19,NaN
214.07,8.80121e-19,NaN
214.08,8.65805e-19,NaN
214.09,9.01592e-19,NaN
214.1,9.07653e-19,NaN
214.11,8.75814e-19,NaN
214.12,8.658e-19,NaN
214.13,8.64278e-19,NaN
214.14,8.69587e-19,NaN
214.15,8.63847e-19,NaN
214.16,8.96602e-19,NaN
214.17,8.55289e-19,NaN
214.18,8.53847e-19,NaN
214.19,8.75509e-19,NaN
214.2,9.25063e-19,NaN
214.21,8.75699e-19,NaN
214.22,8.25262e-19,NaN
214.23,8.58415e-19,NaN
214.24,8.13224e-19,NaN
214.25,8.73319e-19,NaN
214.26,8.89325e-19,NaN
214.27,8.83101e-19,NaN
214.28,8.94723e-19,NaN
214.29,8.79272e-19,NaN
214.3,8.87555e-19,NaN
214.31,8.74464e-19,NaN
214.32,8.77694e-19,NaN
214.33,8.63835e-19,NaN
214.34,9.32899e-19,NaN
214.35,8.96448e-19,NaN
214.36,8.64823e-19,NaN
214.37,8.48543e-19,NaN
214.38,8.40346e-19,NaN
214.39,8.60819e-19,NaN
214.4,8.7317e-19,NaN
214.41,8.79669e-19,NaN
214.42,9.03134e-19,NaN
214.43,8.8923e-19,NaN
214.44,8.78641e-19,NaN
214.45,8.25268e-19,NaN
214.46,8.77346e-19,NaN
214.47,9.17061e-19,NaN
214.48,8.70194e-19,NaN
214.49,8.74777e-19,NaN
214.5,9.73425e-19,NaN
214.51,9.38228e-19,NaN
214.52,8.90479e-19,NaN
214.53,9.45708e-19,NaN
214.54,9.01584e-19,NaN
214.55,9.29496e-19,NaN
214.56,9.44868e-19,NaN
214.57,8.94346e-19,NaN
214.58,8.74269e-19,NaN
214.59,8.19973e-19,NaN
214.6,8.96894e-19,NaN
214.61,9.52543e-19,NaN
214.62,9.25305e-19,NaN
214.63,9.05667e-19,NaN
214.64,8.94937e-19,NaN
214.65,9.12638e-19,NaN
214.66,9.76803e-19,NaN
214.67,9.19232e-19,NaN
214.68,9.3388e-19,NaN
214.69,9.0152e-19,NaN
214.7,8.60393e-19,NaN
214.71,8.62769e-19,NaN
214.72,9.15856e-19,NaN
214.73,9.33845e-19,NaN
214.74,8.89878e-19,NaN
214.75,9.56316e-19,NaN
214.76,9.2259e-19,NaN
214.77,9.37074e-19,NaN
214.78,9.22943e-19,NaN
214.79,9.29478e-19,NaN
214.8,9.5024e-19,NaN
214.81,9.243e-19,NaN
214.82,8.74602e-19,NaN
214.83,8.84964e-19,NaN
214.84,9.10465e-19,NaN
214.85,9.047e-19,NaN
214.86,9.44538e-19,NaN
214.87,8.81636e-19,NaN
214.88,9.39391e-19,NaN
214.89,9.57835e-19,NaN
214.9,9.59653e-19,NaN
214.91,9.28011e-19,NaN
214.92,9.6682e-19,NaN
214.93,9.26914e-19,NaN
214.94,9.38588e-19,NaN
