λ,σ,Δσ
270.2709,7.6865e-18,NaN
270.27202,7.6875e-18,NaN
270.27313,7.6885e-18,NaN
270.27424,7.6894e-18,NaN
270.27535,7.6904e-18,NaN
270.27646,7.6924e-18,NaN
270.27758,7.6934e-18,NaN
270.27869,7.6953e-18,NaN
270.27962,7.6973e-18,NaN
270.28092,7.6992e-18,NaN
270.28203,7.7022e-18,NaN
270.28314,7.7051e-18,NaN
270.28426,7.7081e-18,NaN
270.28537,7.712e-18,NaN
270.28648,7.7149e-18,NaN
270.2876,7.7188e-18,NaN
270.28871,7.7218e-18,NaN
270.28983,7.7247e-18,NaN
270.29094,7.7277e-18,NaN
270.29205,7.7296e-18,NaN
270.29316,7.7316e-18,NaN
270.29428,7.7326e-18,NaN
270.29539,7.7335e-18,NaN
270.29679,7.7345e-18,NaN
270.29761,7.7345e-18,NaN
270.29854,7.7345e-18,NaN
270.29984,7.7335e-18,NaN
270.30095,7.7325e-18,NaN
270.30206,7.7316e-18,NaN
270.30318,7.7286e-18,NaN
270.30429,7.7257e-18,NaN
270.3054,7.7227e-18,NaN
270.30652,7.7188e-18,NaN
270.30763,7.7139e-18,NaN
270.30874,7.709e-18,NaN
270.30986,7.7041e-18,NaN
270.31097,7.6992e-18,NaN
270.31208,7.6933e-18,NaN
270.3132,7.6874e-18,NaN
270.31459,7.6815e-18,NaN
270.31542,7.6756e-18,NaN
270.31654,7.6707e-18,NaN
270.31765,7.6648e-18,NaN
270.31876,7.6599e-18,NaN
270.31988,7.655e-18,NaN
270.32099,7.6511e-18,NaN
270.3221,7.6472e-18,NaN
270.32321,7.6442e-18,NaN
270.32433,7.6413e-18,NaN
270.32544,7.6383e-18,NaN
270.32655,7.6364e-18,NaN
270.32767,7.6354e-18,NaN
270.32878,7.6344e-18,NaN
270.32989,7.6344e-18,NaN
270.33101,7.6344e-18,NaN
270.33212,7.6344e-18,NaN
270.33323,7.6354e-18,NaN
270.33434,7.6363e-18,NaN
270.33546,7.6373e-18,NaN
270.33657,7.6393e-18,NaN
270.33768,7.6412e-18,NaN
270.3388,7.6432e-18,NaN
270.33991,7.6461e-18,NaN
270.34102,7.6481e-18,NaN
270.34214,7.651e-18,NaN
270.34325,7.653e-18,NaN
270.34436,7.655e-18,NaN
270.34547,7.6569e-18,NaN
270.34659,7.6589e-18,NaN
270.3477,7.6608e-18,NaN
270.34881,7.6618e-18,NaN
270.34993,7.6628e-18,NaN
270.35104,7.6638e-18,NaN
270.35215,7.6648e-18,NaN
270.35326,7.6657e-18,NaN
270.35438,7.6657e-18,NaN
270.35549,7.6667e-18,NaN
270.3566,7.6677e-18,NaN
270.35771,7.6687e-18,NaN
270.35873,7.6696e-18,NaN
270.35994,7.6706e-18,NaN
270.36105,7.6716e-18,NaN
270.36216,7.6726e-18,NaN
270.36328,7.6726e-18,NaN
270.36439,7.6736e-18,NaN
270.3655,7.6745e-18,NaN
270.36662,7.6745e-18,NaN
270.36773,7.6745e-18,NaN
270.36885,7.6755e-18,NaN
270.36996,7.6755e-18,NaN
270.37107,7.6755e-18,NaN
270.37219,7.6755e-18,NaN
270.3733,7.6745e-18,NaN
270.37441,7.6745e-18,NaN
270.37552,7.6735e-18,NaN
270.37664,7.6726e-18,NaN
270.37775,7.6706e-18,NaN
270.37886,7.6686e-18,NaN
270.37997,7.6657e-18,NaN
270.38109,7.6627e-18,NaN
270.3822,7.6598e-18,NaN
270.38331,7.6559e-18,NaN
270.38442,7.6519e-18,NaN
270.38554,7.648e-18,NaN
270.38665,7.6441e-18,NaN
270.38766,7.6392e-18,NaN
270.38888,7.6353e-18,NaN
270.38999,7.6303e-18,NaN
270.39111,7.6264e-18,NaN
270.39222,7.6225e-18,NaN
270.39333,7.6186e-18,NaN
270.39444,7.6146e-18,NaN
270.39556,7.6107e-18,NaN
270.39667,7.6088e-18,NaN
270.39778,7.6058e-18,NaN
270.39889,7.6038e-18,NaN
270.4,7.6019e-18,NaN
270.40112,7.5999e-18,NaN
270.40223,7.5989e-18,NaN
270.40335,7.598e-18,NaN
270.40446,7.597e-18,NaN
270.40557,7.597e-18,NaN
270.40669,7.596e-18,NaN
270.4078,7.596e-18,NaN
270.40891,7.596e-18,NaN
270.41002,7.597e-18,NaN
270.41113,7.5979e-18,NaN
270.41225,7.5989e-18,NaN
270.41326,7.5999e-18,NaN
270.41447,7.5999e-18,NaN
270.41559,7.6009e-18,NaN
270.4167,7.6019e-18,NaN
270.41782,7.6018e-18,NaN
270.41893,7.6018e-18,NaN
270.42004,7.6018e-18,NaN
270.42115,7.6018e-18,NaN
270.42226,7.6018e-18,NaN
270.42338,7.6009e-18,NaN
270.42449,7.5999e-18,NaN
270.4256,7.5989e-18,NaN
270.42672,7.5979e-18,NaN
270.42783,7.5969e-18,NaN
270.42894,7.595e-18,NaN
270.43006,7.594e-18,NaN
270.43117,7.593e-18,NaN
270.43228,7.592e-18,NaN
270.43339,7.59e-18,NaN
270.4345,7.5891e-18,NaN
270.43562,7.5881e-18,NaN
