λ,σ,Δσ
190.0,4.74e-19,NaN
195.0,3.952e-19,NaN
200.0,3.163e-19,NaN
205.0,2.578e-19,NaN
210.0,2.112e-19,NaN
215.0,1.705e-19,NaN
220.0,1.374e-19,NaN
225.0,1.102e-19,NaN
230.0,8.9e-20,NaN
235.0,7.12e-20,NaN
240.0,5.6e-20,NaN
245.0,4.32e-20,NaN
250.0,3.31e-20,NaN
255.0,2.46e-20,NaN
260.0,1.78e-20,NaN
265.0,1.27e-20,NaN
270.0,9.3e-21,NaN
275.0,5.9e-21,NaN
280.0,3.4e-21,NaN
285.0,5.0e-21,NaN
290.0,8.0e-22,NaN
295.0,8.0e-22,NaN
300.0,8.0e-22,NaN
305.0,8.0e-22,NaN
310.0,8.0e-22,NaN
315.0,8.0e-22,NaN
320.0,8.0e-22,NaN
325.0,8.0e-22,NaN
330.0,8.0e-22,NaN
335.0,8.0e-22,NaN
340.0,8.0e-22,NaN
345.0,8.0e-22,NaN
350.0,8.0e-22,NaN
