λ,σ
220.0,2.58e-18
220.5,2.88e-18
221.0,3.14e-18
221.5,3.33e-18
222.0,3.51e-18
222.5,3.7e-18
223.0,3.84e-18
223.5,3.94e-18
224.0,4.03e-18
224.5,4.13e-18
225.0,4.2e-18
225.5,4.28e-18
226.0,4.35e-18
226.5,4.39e-18
227.0,4.44e-18
227.5,4.48e-18
228.0,4.52e-18
228.5,4.56e-18
229.0,4.59e-18
229.5,4.62e-18
230.0,4.65e-18
230.5,4.67e-18
231.0,4.69e-18
231.5,4.71e-18
232.0,4.74e-18
232.5,4.75e-18
233.0,4.77e-18
233.5,4.78e-18
234.0,4.8e-18
234.5,4.81e-18
235.0,4.82e-18
235.5,4.83e-18
236.0,4.84e-18
236.5,4.85e-18
237.0,4.86e-18
237.5,4.86e-18
238.0,4.87e-18
238.5,4.87e-18
239.0,4.87e-18
239.5,4.87e-18
240.0,4.87e-18
240.5,4.87e-18
241.0,4.86e-18
241.5,4.86e-18
242.0,4.85e-18
242.5,4.84e-18
243.0,4.83e-18
243.5,4.82e-18
244.0,4.8e-18
244.5,4.79e-18
245.0,4.77e-18
245.5,4.75e-18
246.0,4.73e-18
246.5,4.71e-18
247.0,4.69e-18
247.5,4.66e-18
248.0,4.63e-18
248.5,4.61e-18
249.0,4.57e-18
249.5,4.54e-18
250.0,4.5e-18
250.5,4.46e-18
251.0,4.43e-18
251.5,4.38e-18
252.0,4.33e-18
252.5,4.29e-18
253.0,4.23e-18
253.5,4.18e-18
254.0,4.12e-18
254.5,4.06e-18
255.0,4.01e-18
255.5,3.95e-18
256.0,3.89e-18
256.5,3.85e-18
257.0,3.79e-18
257.5,3.73e-18
258.0,3.67e-18
258.5,3.61e-18
259.0,3.55e-18
259.5,3.5e-18
260.0,3.44e-18
260.5,3.39e-18
261.0,3.33e-18
261.5,3.27e-18
262.0,3.21e-18
262.5,3.14e-18
263.0,3.08e-18
263.5,3.03e-18
264.0,2.97e-18
264.5,2.92e-18
265.0,2.86e-18
265.5,2.81e-18
266.0,2.75e-18
266.5,2.71e-18
267.0,2.65e-18
267.5,2.59e-18
268.0,2.54e-18
268.5,2.49e-18
269.0,2.43e-18
269.5,2.37e-18
270.0,2.31e-18
270.5,2.26e-18
271.0,2.2e-18
271.5,2.15e-18
272.0,2.09e-18
272.5,2.04e-18
273.0,1.98e-18
273.5,1.93e-18
274.0,1.87e-18
274.5,1.82e-18
275.0,1.76e-18
275.5,1.71e-18
276.0,1.66e-18
276.5,1.6e-18
277.0,1.55e-18
277.5,1.5e-18
278.0,1.45e-18
278.5,1.39e-18
279.0,1.33e-18
279.5,1.27e-18
280.0,1.22e-18
280.5,1.16e-18
281.0,1.11e-18
281.5,1.05e-18
282.0,1.0e-18
282.5,9.47e-19
283.0,8.95e-19
