λ,σ,Δσ
212.0,3.09e-18,NaN
215.0,4.05e-18,NaN
217.5,4.71e-18,NaN
220.0,4.96e-18,NaN
222.5,4.94e-18,NaN
225.0,4.77e-18,NaN
227.5,4.54e-18,NaN
230.0,4.31e-18,NaN
232.5,4.07e-18,NaN
235.0,3.82e-18,NaN
237.5,3.6e-18,NaN
240.0,3.38e-18,NaN
242.5,3.19e-18,NaN
245.0,2.99e-18,NaN
247.5,2.8e-18,NaN
250.0,2.63e-18,NaN
252.5,2.45e-18,NaN
255.0,2.29e-18,NaN
257.5,2.16e-18,NaN
260.0,2.01e-18,NaN
262.5,1.88e-18,NaN
265.0,1.76e-18,NaN
267.5,1.63e-18,NaN
270.0,1.52e-18,NaN
272.5,1.4e-18,NaN
275.0,1.28e-18,NaN
277.5,1.18e-18,NaN
280.0,1.06e-18,NaN
282.0,9.56e-19,NaN
