λ,σ,Δσ
4.13,3.33e-18,NaN
4.15,3.34e-18,NaN
4.18,3.45e-18,NaN
4.21,3.45e-18,NaN
4.24,3.51e-18,NaN
4.27,3.56e-18,NaN
4.3,3.54e-18,NaN
4.33,3.61e-18,NaN
4.36,3.65e-18,NaN
4.39,3.62e-18,NaN
4.42,3.71e-18,NaN
4.45,3.76e-18,NaN
4.48,3.8e-18,NaN
4.52,3.9e-18,NaN
4.55,3.92e-18,NaN
4.58,3.94e-18,NaN
4.62,4.07e-18,NaN
4.65,4.08e-18,NaN
4.69,4.12e-18,NaN
4.72,4.2e-18,NaN
4.76,4.27e-18,NaN
4.8,4.31e-18,NaN
4.83,4.36e-18,NaN
4.87,4.46e-18,NaN
4.91,4.55e-18,NaN
4.95,4.61e-18,NaN
4.99,4.66e-18,NaN
5.03,4.83e-18,NaN
5.07,4.92e-18,NaN
5.11,4.94e-18,NaN
5.16,5.08e-18,NaN
5.2,5.2e-18,NaN
5.24,5.26e-18,NaN
5.29,5.33e-18,NaN
5.33,5.44e-18,NaN
5.38,5.49e-18,NaN
5.43,5.51e-18,NaN
5.47,5.59e-18,NaN
5.52,5.6e-18,NaN
5.57,5.67e-18,NaN
5.62,5.67e-18,NaN
5.67,5.71e-18,NaN
5.73,5.72e-18,NaN
5.78,5.83e-18,NaN
5.83,5.84e-18,NaN
5.89,5.92e-18,NaN
5.95,5.9e-18,NaN
6.0,6.01e-18,NaN
6.06,6.22e-18,NaN
6.09,6.28e-18,NaN
6.12,6.61e-18,NaN
6.15,6.62e-18,NaN
6.18,6.68e-18,NaN
6.21,6.86e-18,NaN
6.25,7.1e-18,NaN
6.28,7.21e-18,NaN
6.31,7.01e-18,NaN
6.34,6.8e-18,NaN
6.37,6.74e-18,NaN
6.41,6.75e-18,NaN
6.44,6.72e-18,NaN
6.51,6.86e-18,NaN
6.58,6.96e-18,NaN
6.65,7.09e-18,NaN
6.72,7.12e-18,NaN
6.79,7.34e-18,NaN
6.87,7.44e-18,NaN
6.95,7.61e-18,NaN
7.02,7.72e-18,NaN
7.11,7.96e-18,NaN
7.19,8.03e-18,NaN
7.27,8.4e-18,NaN
7.31,8.55e-18,NaN
7.36,8.83e-18,NaN
7.4,9.19e-18,NaN
7.45,9.58e-18,NaN
7.49,1.01e-17,NaN
7.54,1.05e-17,NaN
7.58,1.1e-17,NaN
7.63,1.12e-17,NaN
7.68,1.1e-17,NaN
7.72,1.06e-17,NaN
7.77,1.02e-17,NaN
7.82,9.91e-18,NaN
7.87,9.67e-18,NaN
7.92,9.36e-18,NaN
7.97,9.04e-18,NaN
8.0,8.82e-18,NaN
8.02,8.62e-18,NaN
8.05,8.62e-18,NaN
8.08,8.59e-18,NaN
8.1,8.64e-18,NaN
8.13,8.83e-18,NaN
8.16,9.05e-18,NaN
8.18,9.39e-18,NaN
8.21,9.73e-18,NaN
8.24,1.03e-17,NaN
8.27,1.09e-17,NaN
8.29,1.11e-17,NaN
8.32,1.1e-17,NaN
8.35,1.04e-17,NaN
8.38,9.57e-18,NaN
8.41,8.76e-18,NaN
8.43,8.09e-18,NaN
8.46,7.66e-18,NaN
8.49,7.5e-18,NaN
8.52,7.41e-18,NaN
8.55,7.51e-18,NaN
8.58,7.56e-18,NaN
8.61,7.77e-18,NaN
8.64,8.1e-18,NaN
8.67,8.57e-18,NaN
8.7,8.98e-18,NaN
8.73,9.37e-18,NaN
8.76,9.58e-18,NaN
8.79,9.61e-18,NaN
8.82,9.86e-18,NaN
8.86,9.82e-18,NaN
8.89,1.05e-17,NaN
8.92,1.16e-17,NaN
8.95,1.11e-17,NaN
8.98,9.8e-18,NaN
9.02,8.36e-18,NaN
9.05,7.65e-18,NaN
9.08,7.56e-18,NaN
9.12,7.62e-18,NaN
9.15,7.73e-18,NaN
9.18,7.75e-18,NaN
9.22,7.86e-18,NaN
9.25,7.88e-18,NaN
9.29,7.98e-18,NaN
9.32,8.07e-18,NaN
9.36,8.11e-18,NaN
9.39,8.23e-18,NaN
9.43,8.24e-18,NaN
9.46,8.34e-18,NaN
9.5,8.37e-18,NaN
9.54,8.42e-18,NaN
9.57,8.55e-18,NaN
9.61,8.57e-18,NaN
9.65,8.74e-18,NaN
9.69,8.77e-18,NaN
9.72,8.8e-18,NaN
9.76,8.9e-18,NaN
9.8,9.0e-18,NaN
9.84,9.03e-18,NaN
