λ,σ,Δσ
9.537,3.951e-19,NaN
9.919,4.5e-19,NaN
10.33,4.719e-19,NaN
10.78,5.049e-19,NaN
11.27,5.268e-19,NaN
11.81,5.707e-19,NaN
12.4,6.146e-19,NaN
13.1,6.585e-19,NaN
13.8,7.024e-19,NaN
14.6,7.902e-19,NaN
15.5,8.89e-19,NaN
16.5,9.548e-19,NaN
17.7,1.087e-18,NaN
19.1,1.24e-18,NaN
20.7,1.405e-18,NaN
22.5,1.602e-18,NaN
24.8,1.91e-18,NaN
25.8,1.986e-18,NaN
27.0,2.129e-18,NaN
28.2,2.239e-18,NaN
29.5,2.415e-18,NaN
31.0,2.843e-18,NaN
32.6,2.908e-18,NaN
34.4,2.864e-18,NaN
36.5,3.413e-18,NaN
38.7,3.764e-18,NaN
41.3,4.028e-18,NaN
42.0,4.313e-18,NaN
42.8,4.566e-18,NaN
43.5,4.983e-18,NaN
44.3,5.202e-18,NaN
45.1,5.729e-18,NaN
45.9,6.365e-18,NaN
46.8,6.157e-18,NaN
47.7,6.815e-18,NaN
48.6,7.595e-18,NaN
49.6,8.122e-18,NaN
50.6,9.175e-18,NaN
51.7,1.011e-17,NaN
52.8,1.09e-17,NaN
53.9,1.193e-17,NaN
55.1,1.359e-17,NaN
56.4,1.452e-17,NaN
57.7,1.661e-17,NaN
59.0,1.831e-17,NaN
60.5,1.976e-17,NaN
62.0,2.169e-17,NaN
63.6,2.387e-17,NaN
65.3,2.598e-17,NaN
67.0,2.938e-17,NaN
68.9,3.269e-17,NaN
70.8,3.584e-17,NaN
72.9,3.862e-17,NaN
75.1,4.245e-17,NaN
77.5,4.665e-17,NaN
80.0,4.997e-17,NaN
82.7,5.183e-17,NaN
85.5,5.474e-17,NaN
88.6,5.665e-17,NaN
91.8,5.906e-17,NaN
95.4,6.254e-17,NaN
99.2,6.544e-17,NaN
103.0,6.84e-17,NaN
108.0,6.582e-17,NaN
113.0,5.845e-17,NaN
118.0,5.077e-17,NaN
124.0,5.115e-17,NaN
131.0,4.78e-17,NaN
138.0,3.601e-17,NaN
146.0,2.575e-17,NaN
155.0,1.695e-17,NaN
165.0,1.043e-17,NaN
177.0,1.442e-17,NaN
191.0,1.421e-17,NaN
207.0,7.254e-18,NaN
