λ,σ
120.69,1.29e-16
121.14,1.27e-16
121.64,1.26e-16
122.07,1.25e-16
122.52,1.24e-16
123.01,1.23e-16
123.28,1.22e-16
123.78,1.21e-16
124.19,1.2e-16
124.66,1.18e-16
125.14,1.17e-16
125.56,1.16e-16
125.99,1.15e-16
126.45,1.13e-16
126.88,1.12e-16
127.31,1.11e-16
127.72,1.09e-16
128.14,1.08e-16
128.55,1.06e-16
128.97,1.05e-16
129.33,1.04e-16
129.75,1.02e-16
130.11,1.01e-16
130.51,9.92e-17
130.88,9.76e-17
131.28,9.61e-17
131.56,9.5e-17
131.81,9.37e-17
132.19,9.22e-17
132.5,9.06e-17
132.82,8.9e-17
133.17,8.75e-17
133.46,8.6e-17
133.78,8.44e-17
134.13,8.29e-17
134.52,8.14e-17
135.01,7.97e-17
135.34,7.82e-17
135.77,7.64e-17
136.14,7.49e-17
136.5,7.31e-17
136.87,7.15e-17
137.28,7.0e-17
137.82,6.79e-17
138.27,6.64e-17
138.65,6.48e-17
139.13,6.34e-17
139.59,6.2e-17
140.08,6.06e-17
140.33,5.99e-17
140.75,5.85e-17
141.29,5.72e-17
141.68,5.62e-17
142.19,5.54e-17
142.88,5.44e-17
143.58,5.38e-17
144.33,5.31e-17
145.15,5.26e-17
145.99,5.23e-17
146.88,5.19e-17
147.73,5.14e-17
148.6,5.08e-17
149.52,5.04e-17
150.37,4.97e-17
151.18,4.87e-17
151.97,4.77e-17
152.72,4.66e-17
153.43,4.54e-17
154.11,4.42e-17
154.84,4.24e-17
155.45,4.09e-17
156.19,3.93e-17
156.72,3.77e-17
157.16,3.62e-17
157.78,3.46e-17
158.23,3.31e-17
158.77,3.17e-17
159.37,3.02e-17
159.92,2.87e-17
160.52,2.72e-17
161.17,2.58e-17
161.26,2.56e-17
161.87,2.42e-17
162.53,2.28e-17
163.2,2.14e-17
163.92,2.0e-17
164.7,1.87e-17
165.43,1.75e-17
166.32,1.63e-17
167.12,1.51e-17
168.03,1.39e-17
168.95,1.29e-17
169.93,1.18e-17
170.97,1.08e-17
171.97,9.86e-18
173.04,9.16e-18
174.18,8.24e-18
175.27,7.33e-18
176.44,6.42e-18
177.56,5.58e-18
178.76,4.81e-18
179.97,4.18e-18
181.2,3.47e-18
182.45,3.05e-18
183.77,2.49e-18
185.12,1.94e-18
186.48,1.3e-18
187.86,1.03e-18
189.08,7.48e-19
