λ,σ,Δσ
108.91,9.03e-17,NaN
109.61,9.15e-17,NaN
110.52,9.3e-17,NaN
111.75,9.38e-17,NaN
112.97,9.36e-17,NaN
114.13,9.27e-17,NaN
115.19,9.16e-17,NaN
116.19,9.02e-17,NaN
117.14,8.87e-17,NaN
117.98,8.71e-17,NaN
118.72,8.54e-17,NaN
119.55,8.22e-17,NaN
120.13,8.02e-17,NaN
120.59,7.82e-17,NaN
121.06,7.62e-17,NaN
121.53,7.41e-17,NaN
122.1,7.17e-17,NaN
122.67,6.89e-17,NaN
123.19,6.67e-17,NaN
123.71,6.45e-17,NaN
124.34,6.25e-17,NaN
125.07,6.08e-17,NaN
125.91,5.9e-17,NaN
126.7,5.73e-17,NaN
127.38,5.55e-17,NaN
128.28,5.32e-17,NaN
129.64,4.94e-17,NaN
130.63,4.59e-17,NaN
131.84,4.4e-17,NaN
133.33,4.42e-17,NaN
134.45,4.48e-17,NaN
135.62,4.53e-17,NaN
136.27,4.58e-17,NaN
137.39,4.65e-17,NaN
138.56,4.73e-17,NaN
139.84,4.73e-17,NaN
141.06,4.66e-17,NaN
142.11,4.54e-17,NaN
143.06,4.4e-17,NaN
144.22,4.23e-17,NaN
145.28,4.09e-17,NaN
146.28,3.95e-17,NaN
147.29,3.81e-17,NaN
148.34,3.68e-17,NaN
149.4,3.55e-17,NaN
150.46,3.43e-17,NaN
151.46,3.3e-17,NaN
152.2,3.13e-17,NaN
152.88,2.94e-17,NaN
153.61,2.76e-17,NaN
154.51,2.59e-17,NaN
155.4,2.45e-17,NaN
156.3,2.3e-17,NaN
157.62,2.15e-17,NaN
158.36,2.08e-17,NaN
159.63,2.03e-17,NaN
160.86,1.99e-17,NaN
162.07,1.91e-17,NaN
163.13,1.79e-17,NaN
164.3,1.71e-17,NaN
165.46,1.61e-17,NaN
166.52,1.48e-17,NaN
167.47,1.34e-17,NaN
168.36,1.19e-17,NaN
169.26,1.03e-17,NaN
170.21,8.92e-18,NaN
171.16,7.77e-18,NaN
172.22,6.52e-18,NaN
173.38,5.45e-18,NaN
174.55,4.56e-18,NaN
175.71,3.67e-18,NaN
176.93,3.04e-18,NaN
178.15,2.59e-18,NaN
179.37,2.13e-18,NaN
180.65,1.77e-18,NaN
181.92,1.49e-18,NaN
183.25,1.39e-18,NaN
