λ,σ,Δσ
110.37,9.08e-17,NaN
111.45,9.26e-17,NaN
112.2,9.39e-17,NaN
112.9,9.5e-17,NaN
113.87,9.64e-17,NaN
115.15,9.67e-17,NaN
116.21,9.58e-17,NaN
117.11,9.43e-17,NaN
117.63,9.28e-17,NaN
118.42,9.12e-17,NaN
119.43,8.99e-17,NaN
120.27,8.85e-17,NaN
120.53,8.62e-17,NaN
120.84,8.41e-17,NaN
121.14,8.19e-17,NaN
121.82,7.81e-17,NaN
122.23,7.6e-17,NaN
122.59,7.41e-17,NaN
123.01,7.22e-17,NaN
123.32,7.05e-17,NaN
123.74,6.85e-17,NaN
124.2,6.65e-17,NaN
124.88,6.41e-17,NaN
125.51,6.21e-17,NaN
125.88,6.09e-17,NaN
125.99,6.09e-17,NaN
126.72,5.93e-17,NaN
127.62,5.78e-17,NaN
128.47,5.62e-17,NaN
129.26,5.45e-17,NaN
130.21,5.29e-17,NaN
131.21,5.16e-17,NaN
132.27,5.03e-17,NaN
133.44,4.95e-17,NaN
134.62,5.02e-17,NaN
135.74,5.12e-17,NaN
136.92,5.22e-17,NaN
138.2,5.23e-17,NaN
139.48,5.18e-17,NaN
140.48,5.06e-17,NaN
141.49,4.94e-17,NaN
142.39,4.78e-17,NaN
143.23,4.62e-17,NaN
144.13,4.42e-17,NaN
145.13,4.17e-17,NaN
145.91,3.96e-17,NaN
146.27,3.69e-17,NaN
146.95,3.44e-17,NaN
147.47,3.21e-17,NaN
148.05,3.02e-17,NaN
148.62,2.82e-17,NaN
149.2,2.63e-17,NaN
149.88,2.44e-17,NaN
150.62,2.27e-17,NaN
151.41,2.1e-17,NaN
152.31,1.95e-17,NaN
153.37,1.82e-17,NaN
154.49,1.81e-17,NaN
155.98,1.91e-17,NaN
157.16,2.06e-17,NaN
158.35,2.23e-17,NaN
158.4,2.23e-17,NaN
159.42,2.36e-17,NaN
160.55,2.46e-17,NaN
161.67,2.53e-17,NaN
162.95,2.59e-17,NaN
164.23,2.61e-17,NaN
165.57,2.62e-17,NaN
166.84,2.58e-17,NaN
168.01,2.51e-17,NaN
169.13,2.42e-17,NaN
170.3,2.33e-17,NaN
171.3,2.18e-17,NaN
172.25,2.06e-17,NaN
173.21,1.93e-17,NaN
174.21,1.79e-17,NaN
175.16,1.63e-17,NaN
176.01,1.47e-17,NaN
176.74,1.28e-17,NaN
177.48,1.11e-17,NaN
178.22,9.35e-18,NaN
179.01,7.75e-18,NaN
179.96,6.24e-18,NaN
180.91,4.82e-18,NaN
181.92,3.58e-18,NaN
182.87,2.16e-18,NaN
184.46,9.16e-19,NaN
186.32,4.63e-19,NaN
188.67,2.73e-19,NaN
190.0,6.21e-27,NaN
