λ,σ,Δσ
49.06,6.48e-17,NaN
49.32,6.61e-17,NaN
49.6,6.74e-17,NaN
49.87,6.87e-17,NaN
50.11,6.99e-17,NaN
50.42,7.1e-17,NaN
50.72,7.22e-17,NaN
50.99,7.34e-17,NaN
51.28,7.46e-17,NaN
51.63,7.56e-17,NaN
51.99,7.64e-17,NaN
52.38,7.71e-17,NaN
52.77,7.74e-17,NaN
53.21,7.76e-17,NaN
53.63,7.76e-17,NaN
54.03,7.74e-17,NaN
54.44,7.71e-17,NaN
54.85,7.67e-17,NaN
55.23,7.63e-17,NaN
55.61,7.58e-17,NaN
56.01,7.53e-17,NaN
56.43,7.5e-17,NaN
56.78,7.46e-17,NaN
57.16,7.4e-17,NaN
57.53,7.34e-17,NaN
57.9,7.27e-17,NaN
58.26,7.2e-17,NaN
58.65,7.18e-17,NaN
58.96,7.09e-17,NaN
59.36,7.11e-17,NaN
59.66,7.0e-17,NaN
59.77,6.94e-17,NaN
60.13,6.97e-17,NaN
60.46,6.9e-17,NaN
60.81,6.95e-17,NaN
61.11,6.83e-17,NaN
61.39,6.7e-17,NaN
61.74,6.71e-17,NaN
62.15,6.74e-17,NaN
62.57,6.74e-17,NaN
62.97,6.76e-17,NaN
63.35,6.77e-17,NaN
63.77,6.74e-17,NaN
64.19,6.71e-17,NaN
64.57,6.63e-17,NaN
64.87,6.51e-17,NaN
65.2,6.41e-17,NaN
65.59,6.36e-17,NaN
65.99,6.34e-17,NaN
66.34,6.26e-17,NaN
66.69,6.2e-17,NaN
67.09,6.15e-17,NaN
67.4,6.06e-17,NaN
67.75,5.96e-17,NaN
68.14,5.92e-17,NaN
68.54,5.91e-17,NaN
68.97,5.92e-17,NaN
69.35,5.97e-17,NaN
69.7,6.07e-17,NaN
70.01,6.17e-17,NaN
70.29,6.07e-17,NaN
70.61,5.81e-17,NaN
70.77,5.65e-17,NaN
70.86,5.49e-17,NaN
70.97,5.32e-17,NaN
71.34,4.85e-17,NaN
71.45,4.69e-17,NaN
71.56,4.52e-17,NaN
71.63,4.4e-17,NaN
71.73,4.3e-17,NaN
72.15,4.45e-17,NaN
72.34,4.62e-17,NaN
72.51,4.77e-17,NaN
72.68,4.92e-17,NaN
72.81,5.05e-17,NaN
73.04,5.19e-17,NaN
73.31,5.32e-17,NaN
73.61,5.43e-17,NaN
73.95,5.53e-17,NaN
74.33,5.59e-17,NaN
74.72,5.59e-17,NaN
74.96,5.47e-17,NaN
75.37,4.98e-17,NaN
75.52,4.81e-17,NaN
75.96,4.21e-17,NaN
76.19,4.11e-17,NaN
76.45,4.23e-17,NaN
76.62,4.37e-17,NaN
76.75,4.69e-17,NaN
76.92,5.03e-17,NaN
77.03,5.42e-17,NaN
77.18,5.86e-17,NaN
77.28,6.15e-17,NaN
77.34,6.42e-17,NaN
77.4,6.74e-17,NaN
77.5,7.07e-17,NaN
77.62,7.36e-17,NaN
77.75,7.59e-17,NaN
77.94,7.64e-17,NaN
78.17,7.33e-17,NaN
78.27,6.98e-17,NaN
78.42,6.61e-17,NaN
78.49,6.36e-17,NaN
78.51,6.27e-17,NaN
78.57,6.1e-17,NaN
78.64,5.79e-17,NaN
78.72,5.62e-17,NaN
78.77,5.34e-17,NaN
78.94,5.08e-17,NaN
