λ,σ,Δσ
202.004,6.69e-18,NaN
202.011,6.69e-18,NaN
202.018,6.68e-18,NaN
202.025,6.67e-18,NaN
202.032,6.67e-18,NaN
202.039,6.66e-18,NaN
202.046,6.67e-18,NaN
202.053,6.67e-18,NaN
202.06,6.67e-18,NaN
202.067,6.66e-18,NaN
202.074,6.64e-18,NaN
202.081,6.64e-18,NaN
202.088,6.64e-18,NaN
202.095,6.64e-18,NaN
202.102,6.64e-18,NaN
202.109,6.64e-18,NaN
202.116,6.63e-18,NaN
202.123,6.61e-18,NaN
202.13,6.61e-18,NaN
202.137,6.61e-18,NaN
202.144,6.61e-18,NaN
202.151,6.61e-18,NaN
202.159,6.61e-18,NaN
202.166,6.61e-18,NaN
202.173,6.59e-18,NaN
202.18,6.59e-18,NaN
202.187,6.59e-18,NaN
202.194,6.59e-18,NaN
202.201,6.59e-18,NaN
202.208,6.59e-18,NaN
202.215,6.58e-18,NaN
202.222,6.56e-18,NaN
202.229,6.56e-18,NaN
202.236,6.56e-18,NaN
202.243,6.56e-18,NaN
202.25,6.56e-18,NaN
202.257,6.57e-18,NaN
202.264,6.56e-18,NaN
202.271,6.55e-18,NaN
202.278,6.53e-18,NaN
202.285,6.53e-18,NaN
202.292,6.53e-18,NaN
202.299,6.54e-18,NaN
202.306,6.54e-18,NaN
202.314,6.54e-18,NaN
202.321,6.52e-18,NaN
202.328,6.5e-18,NaN
202.335,6.5e-18,NaN
202.342,6.51e-18,NaN
202.349,6.51e-18,NaN
202.356,6.51e-18,NaN
202.363,6.51e-18,NaN
202.37,6.5e-18,NaN
202.377,6.49e-18,NaN
202.384,6.47e-18,NaN
202.391,6.47e-18,NaN
202.398,6.48e-18,NaN
202.405,6.48e-18,NaN
202.412,6.48e-18,NaN
202.419,6.47e-18,NaN
202.426,6.46e-18,NaN
202.433,6.46e-18,NaN
202.44,6.45e-18,NaN
202.447,6.45e-18,NaN
202.454,6.45e-18,NaN
202.461,6.46e-18,NaN
202.469,6.44e-18,NaN
202.476,6.43e-18,NaN
202.483,6.43e-18,NaN
202.49,6.43e-18,NaN
202.497,6.43e-18,NaN
202.504,6.43e-18,NaN
202.511,6.43e-18,NaN
202.518,6.42e-18,NaN
202.525,6.42e-18,NaN
202.532,6.42e-18,NaN
202.539,6.42e-18,NaN
202.546,6.42e-18,NaN
202.553,6.4e-18,NaN
202.56,6.39e-18,NaN
202.567,6.38e-18,NaN
202.574,6.38e-18,NaN
202.581,6.39e-18,NaN
202.588,6.38e-18,NaN
202.595,6.35e-18,NaN
202.602,6.36e-18,NaN
202.609,6.36e-18,NaN
