λ,σ,Δσ
281.8,7.9e-19,NaN
282.9,5.1e-19,NaN
283.4,8.3e-19,NaN
284.3,5.8e-19,NaN
285.4,9.0e-19,NaN
286.5,5.3e-19,NaN
287.0,8.7e-19,NaN
288.5,5.4e-19,NaN
289.0,8.8e-19,NaN
289.7,5.3e-19,NaN
290.1,7.2e-19,NaN
290.9,8.5e-19,NaN
291.7,4.8e-19,NaN
292.5,6.4e-19,NaN
292.6,8.0e-19,NaN
293.4,4.1e-19,NaN
293.8,7.9e-19,NaN
294.6,7.9e-19,NaN
295.3,3.5e-19,NaN
296.3,8.4e-19,NaN
297.6,2.1e-19,NaN
298.3,8.1e-19,NaN
299.6,2.2e-19,NaN
300.3,8.9e-19,NaN
301.7,1.6e-19,NaN
302.4,7.1e-19,NaN
303.6,1.5e-19,NaN
304.5,6.9e-19,NaN
305.6,1.1e-19,NaN
306.6,5.0e-19,NaN
307.9,1.2e-19,NaN
308.7,4.2e-19,NaN
309.9,1.1e-19,NaN
310.9,2.8e-19,NaN
312.6,8.0e-20,NaN
313.5,1.9e-19,NaN
