λ,σ,Δσ
185.66,3.06e-18,NaN
186.18,3.7e-18,NaN
186.47,3.05e-18,NaN
186.6,2.66e-18,NaN
186.97,3.22e-18,NaN
187.12,3.93e-18,NaN
187.47,3.68e-18,NaN
187.86,3.54e-18,NaN
188.15,3.09e-18,NaN
188.36,3.61e-18,NaN
188.58,4.21e-18,NaN
188.99,4.04e-18,NaN
189.08,3.26e-18,NaN
189.26,2.58e-18,NaN
189.63,3.39e-18,NaN
189.87,4.29e-18,NaN
190.09,3.71e-18,NaN
190.32,4.35e-18,NaN
190.59,5.1e-18,NaN
190.72,3.98e-18,NaN
190.98,3.36e-18,NaN
191.37,2.88e-18,NaN
191.44,3.25e-18,NaN
191.46,5.69e-18,NaN
191.76,5.2e-18,NaN
192.09,6.54e-18,NaN
192.13,3.5e-18,NaN
192.18,3.31e-18,NaN
192.42,3.78e-18,NaN
192.57,4.16e-18,NaN
192.85,3.95e-18,NaN
193.09,3.46e-18,NaN
193.2,5.25e-18,NaN
193.31,8.1e-18,NaN
193.55,6.8e-18,NaN
193.7,4.05e-18,NaN
193.73,3.88e-18,NaN
194.05,3.84e-18,NaN
194.07,3.91e-18,NaN
194.29,5.49e-18,NaN
194.49,5.12e-18,NaN
194.66,6.53e-18,NaN
194.84,8.85e-18,NaN
194.95,6.5e-18,NaN
195.03,5.09e-18,NaN
195.08,4.34e-18,NaN
195.17,3.51e-18,NaN
195.32,3.2e-18,NaN
195.56,2.66e-18,NaN
195.73,3.76e-18,NaN
195.86,5.54e-18,NaN
195.95,7.77e-18,NaN
196.08,9.97e-18,NaN
196.41,7.58e-18,NaN
196.56,5.79e-18,NaN
196.73,4.32e-18,NaN
196.89,3.45e-18,NaN
197.15,2.87e-18,NaN
197.26,3.61e-18,NaN
197.28,4.67e-18,NaN
197.3,6.69e-18,NaN
197.52,9.11e-18,NaN
197.89,8.33e-18,NaN
198.02,6.69e-18,NaN
198.17,5.29e-18,NaN
198.3,4.12e-18,NaN
198.48,3.23e-18,NaN
198.65,2.31e-18,NaN
198.76,3.28e-18,NaN
198.85,5.32e-18,NaN
198.93,7.61e-18,NaN
199.02,9.33e-18,NaN
199.17,1.18e-17,NaN
199.31,9.06e-18,NaN
199.41,6.85e-18,NaN
199.44,5.8e-18,NaN
199.48,4.0e-18,NaN
199.72,3.69e-18,NaN
199.83,2.95e-18,NaN
200.0,5.45e-18,NaN
200.13,8.15e-18,NaN
200.26,1.13e-17,NaN
200.48,7.8e-18,NaN
200.7,5.61e-18,NaN
200.9,3.82e-18,NaN
201.23,2.38e-18,NaN
201.42,3.32e-18,NaN
201.53,4.35e-18,NaN
201.75,4.5e-18,NaN
201.84,6.45e-18,NaN
201.92,8.31e-18,NaN
202.18,9.94e-18,NaN
202.27,7.23e-18,NaN
202.32,4.71e-18,NaN
202.4,3.6e-18,NaN
202.6,2.8e-18,NaN
202.84,2.28e-18,NaN
203.15,1.82e-18,NaN
203.34,2.76e-18,NaN
203.45,4.28e-18,NaN
203.47,6.8e-18,NaN
203.6,1.04e-17,NaN
203.75,7.98e-18,NaN
203.84,5.28e-18,NaN
204.02,3.61e-18,NaN
204.1,2.93e-18,NaN
204.17,2.38e-18,NaN
204.52,1.93e-18,NaN
204.76,2.51e-18,NaN
204.85,3.3e-18,NaN
204.89,4.59e-18,NaN
205.02,9.59e-18,NaN
205.13,5.25e-18,NaN
205.33,3.61e-18,NaN
205.33,3.6e-18,NaN
205.48,2.07e-18,NaN
205.61,1.61e-18,NaN
205.89,1.26e-18,NaN
206.22,1.0e-18,NaN
206.42,1.39e-18,NaN
206.46,2.08e-18,NaN
206.52,5.24e-18,NaN
206.52,5.24e-18,NaN
206.59,1.07e-17,NaN
206.89,6.46e-18,NaN
207.0,4.23e-18,NaN
207.11,2.53e-18,NaN
207.25,1.76e-18,NaN
207.4,1.22e-18,NaN
207.64,9.83e-19,NaN
207.92,1.35e-18,NaN
207.99,1.96e-18,NaN
208.07,2.83e-18,NaN
208.2,4.31e-18,NaN
208.38,6.69e-18,NaN
208.57,4.77e-18,NaN
208.7,3.17e-18,NaN
208.81,2.05e-18,NaN
208.97,1.46e-18,NaN
209.14,1.02e-18,NaN
209.54,7.28e-19,NaN
209.86,1.22e-18,NaN
209.97,2.57e-18,NaN
210.03,3.73e-18,NaN
210.08,7.49e-18,NaN
210.27,4.55e-18,NaN
210.36,2.82e-18,NaN
210.56,1.56e-18,NaN
210.69,8.67e-19,NaN
210.78,5.7e-19,NaN
211.02,7.54e-19,NaN
211.19,1.09e-18,NaN
211.32,1.81e-18,NaN
211.43,4.26e-18,NaN
211.45,4.76e-18,NaN
211.71,7.05e-18,NaN
211.84,4.57e-18,NaN
211.91,3.13e-18,NaN
211.98,2.62e-18,NaN
212.22,2.53e-18,NaN
212.3,1.79e-18,NaN
212.44,1.24e-18,NaN
212.63,8.11e-19,NaN
213.0,6.17e-19,NaN
213.29,8.96e-19,NaN
213.42,1.32e-18,NaN
213.48,2.01e-18,NaN
213.52,2.9e-18,NaN
213.61,4.24e-18,NaN
213.83,2.64e-18,NaN
214.09,3.27e-18,NaN
214.2,2.8e-18,NaN
214.22,1.95e-18,NaN
214.29,9.16e-19,NaN
214.29,9.14e-19,NaN
214.57,6.38e-19,NaN
214.64,8.96e-19,NaN
214.79,1.31e-18,NaN
214.83,1.75e-18,NaN
214.92,2.31e-18,NaN
214.98,3.0e-18,NaN
215.24,4.7e-18,NaN
215.31,3.37e-18,NaN
215.38,2.55e-18,NaN
215.46,1.86e-18,NaN
215.57,1.44e-18,NaN
215.64,1.16e-18,NaN
215.75,9.22e-19,NaN
215.93,7.12e-19,NaN
216.23,6.77e-19,NaN
216.49,5.6e-19,NaN
216.67,7.82e-19,NaN
216.71,1.11e-18,NaN
216.77,1.63e-18,NaN
216.84,2.42e-18,NaN
216.92,3.19e-18,NaN
217.12,2.01e-18,NaN
217.21,1.46e-18,NaN
217.39,1.04e-18,NaN
217.5,7.59e-19,NaN
217.71,5.38e-19,NaN
218.02,5.63e-19,NaN
218.22,4.68e-19,NaN
218.35,3.91e-19,NaN
218.45,6.53e-19,NaN
218.61,8.89e-19,NaN
218.74,1.36e-18,NaN
218.78,1.67e-18,NaN
218.95,2.62e-18,NaN
219.19,1.55e-18,NaN
219.33,9.87e-19,NaN
219.39,6.34e-19,NaN
219.5,5.04e-19,NaN
219.63,3.74e-19,NaN
219.94,2.9e-19,NaN
220.24,3.77e-19,NaN
220.29,6.43e-19,NaN
220.35,9.87e-19,NaN
220.39,1.51e-18,NaN
220.57,1.89e-18,NaN
220.68,1.19e-18,NaN
220.9,8.0e-19,NaN
221.01,5.37e-19,NaN
221.14,4.04e-19,NaN
221.36,3.0e-19,NaN
221.66,2.38e-19,NaN
221.99,3.17e-19,NaN
222.16,8.81e-19,NaN
222.18,9.38e-19,NaN
222.53,8.74e-19,NaN
222.81,9.1e-19,NaN
223.1,6.71e-19,NaN
223.23,4.81e-19,NaN
223.43,3.26e-19,NaN
223.52,2.37e-19,NaN
223.63,1.91e-19,NaN
223.78,2.42e-19,NaN
223.95,3.04e-19,NaN
223.97,3.71e-19,NaN
224.3,4.22e-19,NaN
224.32,4.54e-19,NaN
224.6,6.64e-19,NaN
224.76,5.42e-19,NaN
224.91,4.08e-19,NaN
225.08,2.82e-19,NaN
225.22,2.08e-19,NaN
225.37,1.7e-19,NaN
225.59,2.33e-19,NaN
225.8,3.39e-19,NaN
225.85,4.68e-19,NaN
226.11,3.9e-19,NaN
226.44,3.65e-19,NaN
226.48,2.69e-19,NaN
226.61,1.93e-19,NaN
226.98,1.75e-19,NaN
227.35,1.44e-19,NaN
227.68,1.9e-19,NaN
227.77,2.73e-19,NaN
227.96,3.81e-19,NaN
228.29,2.87e-19,NaN
228.42,2.16e-19,NaN
228.44,1.24e-19,NaN
228.88,1.54e-19,NaN
228.99,1.14e-19,NaN
229.25,7.63e-20,NaN
229.43,4.85e-20,NaN
229.45,8.86e-20,NaN
229.58,1.27e-19,NaN
229.69,1.59e-19,NaN
229.86,1.92e-19,NaN
230.12,1.41e-19,NaN
230.21,9.69e-20,NaN
230.34,7.63e-20,NaN
230.6,8.34e-20,NaN
230.98,6.44e-20,NaN
231.15,4.97e-20,NaN
231.43,3.87e-20,NaN
231.8,5.14e-20,NaN
232.11,7.21e-20,NaN
232.31,5.76e-20,NaN
232.5,4.47e-20,NaN
232.7,5.82e-20,NaN
232.72,5.79e-20,NaN
232.98,7.43e-20,NaN
233.27,5.29e-20,NaN
233.4,3.62e-20,NaN
233.55,2.45e-20,NaN
233.77,3.18e-20,NaN
234.05,2.81e-20,NaN
234.31,2.48e-20,NaN
234.77,3.18e-20,NaN
235.27,4.14e-20,NaN
235.47,3.33e-20,NaN
235.6,2.97e-20,NaN
235.97,2.94e-20,NaN
