λ,σ
195.5,2.340922e-18
196.0,2.26352e-18
196.5,2.852754e-18
197.0,2.617987e-18
197.5,2.904925e-18
198.0,3.22395e-18
198.5,3.267169e-18
199.0,3.453209e-18
199.5,3.794819e-18
200.0,3.670092e-18
200.5,4.332822e-18
201.0,4.230008e-18
201.5,4.118497e-18
202.0,4.691685e-18
202.5,4.516048e-18
203.0,4.442643e-18
203.5,4.853448e-18
204.0,4.807243e-18
204.5,4.511597e-18
205.0,4.70036e-18
205.5,5.499594e-18
206.0,4.616735e-18
206.5,4.538069e-18
207.0,5.767085e-18
207.5,5.077697e-18
208.0,4.018575e-18
208.5,5.521186e-18
209.0,5.126884e-18
209.5,4.545685e-18
210.0,4.340713e-18
210.5,5.19133e-18
211.0,4.790135e-18
211.5,4.384323e-18
212.0,4.443896e-18
212.5,4.703729e-18
213.0,4.447569e-18
213.5,3.866364e-18
214.0,4.51099e-18
214.5,4.185444e-18
215.0,3.753295e-18
215.5,3.973642e-18
216.0,3.991033e-18
216.5,3.539253e-18
217.0,3.426489e-18
217.5,3.942645e-18
218.0,3.405496e-18
218.5,3.196325e-18
219.0,3.118393e-18
219.5,3.222897e-18
220.0,3.010542e-18
220.5,2.356266e-18
221.0,2.996733e-18
221.5,2.78305e-18
222.0,2.397577e-18
222.5,2.237769e-18
223.0,2.493234e-18
223.5,2.312918e-18
224.0,2.041467e-18
224.5,1.914229e-18
225.0,2.002293e-18
225.5,1.847158e-18
226.0,1.726157e-18
226.5,1.864364e-18
227.0,1.73304e-18
227.5,1.473079e-18
228.0,1.441385e-18
228.5,1.332888e-18
229.0,1.350293e-18
229.5,1.204914e-18
230.0,1.133694e-18
230.5,1.135215e-18
231.0,1.04484e-18
231.5,9.258782e-19
232.0,9.430918e-19
232.5,8.538393e-19
233.0,8.749938e-19
233.5,7.371528e-19
234.0,7.226953e-19
234.5,7.043188e-19
235.0,6.221713e-19
235.5,5.886805e-19
236.0,5.863883e-19
236.5,5.903394e-19
237.0,5.043731e-19
237.5,4.961229e-19
238.0,4.461466e-19
238.5,5.019316e-19
239.0,4.819293e-19
239.5,4.386446e-19
240.0,4.166165e-19
240.5,3.156876e-19
241.0,3.457801e-19
241.5,3.534265e-19
242.0,3.526927e-19
242.5,3.101218e-19
243.0,2.957863e-19
243.5,2.937772e-19
244.0,3.505121e-19
244.5,2.989676e-19
245.0,3.030413e-19
245.5,2.775539e-19
246.0,3.12028e-19
246.5,2.690189e-19
247.0,2.717049e-19
247.5,2.534528e-19
248.0,2.512011e-19
248.5,3.143023e-19
249.0,2.408935e-19
249.5,2.40849e-19
250.0,2.537375e-19
250.5,2.691048e-19
251.0,2.08484e-19
251.5,2.594862e-19
252.0,2.823556e-19
252.5,2.871472e-19
253.0,2.935204e-19
253.5,2.554373e-19
254.0,2.514745e-19
254.5,3.326449e-19
255.0,3.141757e-19
255.5,3.016627e-19
256.0,3.236266e-19
256.5,3.4893e-19
257.0,2.646425e-19
