λ,σ,Δσ
297.836,8.046e-19,NaN
297.84,8.172e-19,NaN
297.844,8.329e-19,NaN
297.848,8.534e-19,NaN
297.852,8.692e-19,NaN
297.856,8.802e-19,NaN
297.86,8.944e-19,NaN
297.864,9.046e-19,NaN
297.868,9.141e-19,NaN
297.872,9.243e-19,NaN
297.876,9.322e-19,NaN
297.88,9.401e-19,NaN
297.884,9.48e-19,NaN
297.888,9.582e-19,NaN
297.892,9.677e-19,NaN
297.896,9.795e-19,NaN
297.9,9.953e-19,NaN
297.904,1.05e-18,NaN
297.908,1.074e-18,NaN
297.912,1.079e-18,NaN
297.916,1.082e-18,NaN
297.92,1.081e-18,NaN
297.924,1.08e-18,NaN
297.928,1.077e-18,NaN
297.932,1.071e-18,NaN
297.936,1.066e-18,NaN
297.94,1.05e-18,NaN
297.944,1.042e-18,NaN
297.948,1.035e-18,NaN
297.952,1.035e-18,NaN
297.956,1.042e-18,NaN
297.96,1.055e-18,NaN
297.964,1.058e-18,NaN
297.97,1.057e-18,NaN
297.974,1.056e-18,NaN
297.978,1.131e-18,NaN
297.982,1.137e-18,NaN
297.986,1.133e-18,NaN
297.988,1.12e-18,NaN
297.992,1.112e-18,NaN
297.996,1.102e-18,NaN
298.0,1.088e-18,NaN
298.004,1.071e-18,NaN
298.008,1.06e-18,NaN
298.012,1.055e-18,NaN
298.016,1.05e-18,NaN
298.02,1.047e-18,NaN
298.024,1.047e-18,NaN
298.028,1.047e-18,NaN
298.032,1.05e-18,NaN
298.036,1.053e-18,NaN
298.04,1.061e-18,NaN
298.044,1.065e-18,NaN
298.048,1.065e-18,NaN
298.052,1.063e-18,NaN
298.056,1.047e-18,NaN
298.06,1.031e-18,NaN
298.064,1.017e-18,NaN
298.068,9.918e-19,NaN
298.072,9.91e-19,NaN
298.076,9.909e-19,NaN
298.08,9.905e-19,NaN
298.084,9.905e-19,NaN
298.088,9.897e-19,NaN
298.092,9.842e-19,NaN
298.096,9.811e-19,NaN
298.1,9.827e-19,NaN
298.104,9.874e-19,NaN
298.108,9.902e-19,NaN
298.112,9.89e-19,NaN
298.116,9.834e-19,NaN
298.12,9.693e-19,NaN
298.124,9.653e-19,NaN
298.128,9.7e-19,NaN
298.132,9.842e-19,NaN
298.136,9.953e-19,NaN
298.14,1.011e-18,NaN
298.144,1.024e-18,NaN
298.148,1.033e-18,NaN
298.152,1.025e-18,NaN
298.156,1.011e-18,NaN
298.16,9.953e-19,NaN
298.164,9.85e-19,NaN
298.168,9.764e-19,NaN
298.172,9.685e-19,NaN
298.176,9.63e-19,NaN
298.18,9.579e-19,NaN
298.184,9.54e-19,NaN
298.188,9.496e-19,NaN
298.192,9.464e-19,NaN
298.196,9.433e-19,NaN
298.2,9.401e-19,NaN
298.208,9.369e-19,NaN
298.216,9.31e-19,NaN
298.224,9.267e-19,NaN
298.232,9.228e-19,NaN
298.24,9.196e-19,NaN
298.248,9.149e-19,NaN
298.256,9.122e-19,NaN
298.264,9.086e-19,NaN
298.272,9.054e-19,NaN
298.28,9.023e-19,NaN
298.288,8.988e-19,NaN
298.296,8.96e-19,NaN
298.304,8.928e-19,NaN
298.312,8.902e-19,NaN
298.32,8.873e-19,NaN
298.328,8.846e-19,NaN
298.336,8.815e-19,NaN
298.344,8.786e-19,NaN
298.352,8.755e-19,NaN
298.36,8.731e-19,NaN
298.368,8.705e-19,NaN
298.376,8.676e-19,NaN
298.384,8.653e-19,NaN
298.392,8.626e-19,NaN
298.4,8.594e-19,NaN
298.404,8.582e-19,NaN
298.408,8.566e-19,NaN
298.412,8.563e-19,NaN
298.42,8.434e-19,NaN
298.44,8.304e-19,NaN
298.46,8.175e-19,NaN
298.48,8.028e-19,NaN
298.5,7.91e-19,NaN
298.52,7.762e-19,NaN
298.54,7.635e-19,NaN
298.56,7.488e-19,NaN
298.58,7.35e-19,NaN
298.6,7.222e-19,NaN
298.62,7.075e-19,NaN
298.64,6.898e-19,NaN
298.66,6.731e-19,NaN
298.68,6.584e-19,NaN
298.7,6.437e-19,NaN
298.72,6.28e-19,NaN
298.74,6.142e-19,NaN
298.76,5.995e-19,NaN
298.78,5.818e-19,NaN
298.8,5.681e-19,NaN
298.82,5.553e-19,NaN
298.84,5.376e-19,NaN
298.86,5.209e-19,NaN
298.88,5.082e-19,NaN
298.9,4.964e-19,NaN
298.92,4.807e-19,NaN
298.94,4.571e-19,NaN
298.96,4.542e-19,NaN
298.98,4.424e-19,NaN
299.0,4.277e-19,NaN
299.02,4.149e-19,NaN
299.04,4.051e-19,NaN
299.06,3.933e-19,NaN
299.08,3.805e-19,NaN
299.1,3.727e-19,NaN
299.12,3.658e-19,NaN
299.14,3.53e-19,NaN
299.16,3.462e-19,NaN
299.18,3.413e-19,NaN
299.2,3.462e-19,NaN
299.22,3.02e-19,NaN
299.24,2.922e-19,NaN
299.25,2.872e-19,NaN
299.26,2.902e-19,NaN
299.27,2.951e-19,NaN
299.28,2.961e-19,NaN
299.29,2.971e-19,NaN
299.3,2.981e-19,NaN
299.31,3.02e-19,NaN
299.32,3.049e-19,NaN
299.33,3.069e-19,NaN
299.34,3.098e-19,NaN
299.35,3.098e-19,NaN
