λ,σ,Δσ
140.0,2.11e-17,NaN
142.0,2.71e-17,NaN
144.0,3.31e-17,NaN
146.0,3.55e-17,NaN
148.0,3.38e-17,NaN
150.0,3.08e-17,NaN
152.0,2.6e-17,NaN
154.0,1.93e-17,NaN
156.0,1.33e-17,NaN
158.0,8.27e-18,NaN
160.0,2.87e-18,NaN
162.0,2.01e-18,NaN
164.0,1.66e-18,NaN
166.0,1.49e-18,NaN
168.0,1.35e-18,NaN
170.0,1.35e-18,NaN
172.0,1.31e-18,NaN
174.0,1.28e-18,NaN
176.0,1.24e-18,NaN
178.0,1.21e-18,NaN
180.0,1.14e-18,NaN
182.0,1.08e-18,NaN
184.0,1.02e-18,NaN
186.0,9.73e-19,NaN
188.0,9.14e-19,NaN
190.0,8.78e-19,NaN
192.0,8.02e-19,NaN
194.0,7.5e-19,NaN
