λ,σ,Δσ
170.744,7.914e-18,NaN
171.135,7.688e-18,NaN
171.584,7.471e-18,NaN
172.031,7.324e-18,NaN
172.565,7.226e-18,NaN
173.033,7.366e-18,NaN
173.383,7.495e-18,NaN
173.702,7.683e-18,NaN
173.964,7.811e-18,NaN
174.405,7.852e-18,NaN
174.873,7.991e-18,NaN
175.251,8.179e-18,NaN
175.512,8.347e-18,NaN
175.859,8.555e-18,NaN
176.149,8.744e-18,NaN
176.527,8.942e-18,NaN
176.787,9.1e-18,NaN
177.048,9.259e-18,NaN
177.427,9.417e-18,NaN
178.014,9.527e-18,NaN
178.577,9.449e-18,NaN
178.935,9.311e-18,NaN
179.235,9.154e-18,NaN
179.506,8.967e-18,NaN
179.717,8.8e-18,NaN
179.929,8.622e-18,NaN
180.053,8.425e-18,NaN
180.207,8.228e-18,NaN
180.36,8.041e-18,NaN
180.543,7.844e-18,NaN
180.637,7.656e-18,NaN
180.76,7.459e-18,NaN
180.914,7.252e-18,NaN
181.098,7.025e-18,NaN
181.341,6.779e-18,NaN
181.465,6.601e-18,NaN
181.617,6.424e-18,NaN
181.829,6.247e-18,NaN
182.012,6.059e-18,NaN
182.254,5.862e-18,NaN
182.466,5.675e-18,NaN
182.707,5.488e-18,NaN
183.065,5.361e-18,NaN
183.306,5.203e-18,NaN
183.753,5.046e-18,NaN
184.17,4.928e-18,NaN
184.44,4.79e-18,NaN
184.798,4.653e-18,NaN
185.127,4.505e-18,NaN
185.514,4.378e-18,NaN
185.933,4.191e-18,NaN
186.26,4.083e-18,NaN
186.532,3.886e-18,NaN
186.891,3.729e-18,NaN
187.132,3.562e-18,NaN
187.373,3.384e-18,NaN
187.703,3.207e-18,NaN
188.062,3.03e-18,NaN
188.421,2.853e-18,NaN
188.633,2.696e-18,NaN
189.14,2.509e-18,NaN
189.586,2.372e-18,NaN
189.945,2.234e-18,NaN
190.155,2.096e-18,NaN
190.276,1.988e-18,NaN
190.488,1.82e-18,NaN
190.789,1.633e-18,NaN
191.174,1.565e-18,NaN
191.733,1.635e-18,NaN
192.236,1.587e-18,NaN
192.767,1.588e-18,NaN
193.327,1.609e-18,NaN
194.213,1.59e-18,NaN
194.624,1.65e-18,NaN
194.976,1.701e-18,NaN
195.717,1.603e-18,NaN
196.571,1.644e-18,NaN
197.282,1.576e-18,NaN
197.841,1.617e-18,NaN
198.252,1.687e-18,NaN
198.785,1.619e-18,NaN
199.201,1.531e-18,NaN
199.64,1.65e-18,NaN
200.08,1.74e-18,NaN
200.525,1.652e-18,NaN
200.851,1.593e-18,NaN
201.38,1.673e-18,NaN
201.762,1.723e-18,NaN
202.238,1.576e-18,NaN
202.715,1.439e-18,NaN
203.124,1.548e-18,NaN
203.594,1.638e-18,NaN
203.982,1.5e-18,NaN
204.398,1.402e-18,NaN
204.898,1.443e-18,NaN
205.192,1.493e-18,NaN
205.726,1.365e-18,NaN
206.113,1.247e-18,NaN
206.586,1.229e-18,NaN
206.999,1.239e-18,NaN
207.415,1.151e-18,NaN
207.713,1.053e-18,NaN
208.216,9.848e-19,NaN
208.897,9.17e-19,NaN
