λ,σ,Δσ
190.0,5.0e-19,NaN
195.0,1.04e-17,NaN
200.0,1.62e-17,NaN
205.0,9.1e-18,NaN
210.0,8.1e-18,NaN
215.0,9.8e-18,NaN
218.0,1.04e-17,NaN
220.0,9.6e-18,NaN
225.0,7.3e-18,NaN
230.0,4.0e-18,NaN
240.0,1.6e-18,NaN
250.0,3.5e-19,NaN
260.0,1.7e-19,NaN
264.0,1.5e-19,NaN
270.0,1.8e-19,NaN
280.0,2.7e-19,NaN
290.0,5.2e-19,NaN
300.0,9.3e-19,NaN
310.0,1.49e-18,NaN
320.0,1.85e-18,NaN
330.0,2.13e-18,NaN
335.0,2.16e-18,NaN
340.0,2.15e-18,NaN
350.0,1.96e-18,NaN
360.0,1.65e-18,NaN
370.0,1.27e-18,NaN
380.0,9.6e-19,NaN
390.0,6.7e-19,NaN
400.0,4.5e-19,NaN
410.0,2.9e-19,NaN
420.0,2.0e-19,NaN
430.0,1.3e-19,NaN
510.0,2.4e-20,NaN
545.0,5.8e-20,NaN
