λ,σ,Δσ
40.0,6.05e-17,NaN
41.0,6.28e-17,NaN
42.0,6.58e-17,NaN
43.0,6.91e-17,NaN
44.0,7.25e-17,NaN
45.0,7.55e-17,NaN
46.0,7.86e-17,NaN
47.0,8.18e-17,NaN
48.0,8.49e-17,NaN
49.0,8.86e-17,NaN
50.0,9.2e-17,NaN
51.0,9.46e-17,NaN
52.0,9.65e-17,NaN
53.0,9.6e-17,NaN
54.0,9.51e-17,NaN
55.0,9.4e-17,NaN
56.0,9.3e-17,NaN
57.0,9.18e-17,NaN
58.0,9.03e-17,NaN
59.0,8.9e-17,NaN
60.0,8.73e-17,NaN
61.0,8.54e-17,NaN
62.0,8.35e-17,NaN
63.0,8.2e-17,NaN
64.0,8.02e-17,NaN
65.0,7.88e-17,NaN
66.0,7.78e-17,NaN
67.0,7.7e-17,NaN
68.0,7.63e-17,NaN
69.0,7.55e-17,NaN
70.0,7.5e-17,NaN
71.0,7.47e-17,NaN
72.0,7.47e-17,NaN
73.0,7.52e-17,NaN
74.0,7.59e-17,NaN
75.0,7.66e-17,NaN
76.0,7.76e-17,NaN
77.0,7.82e-17,NaN
78.0,7.88e-17,NaN
79.0,8.02e-17,NaN
80.0,8.15e-17,NaN
81.0,8.32e-17,NaN
82.0,8.47e-17,NaN
83.0,8.66e-17,NaN
84.0,9.14e-17,NaN
85.0,9.67e-17,NaN
86.0,1.02e-16,NaN
87.0,1.06e-16,NaN
88.0,1.08e-16,NaN
89.0,1.07e-16,NaN
90.0,1.08e-16,NaN
91.0,1.12e-16,NaN
92.0,1.13e-16,NaN
93.0,1.14e-16,NaN
94.0,1.14e-16,NaN
95.0,1.15e-16,NaN
96.0,1.16e-16,NaN
97.0,1.2e-16,NaN
98.0,1.23e-16,NaN
99.0,1.25e-16,NaN
100.0,1.28e-16,NaN
101.0,1.3e-16,NaN
102.0,1.33e-16,NaN
103.0,1.32e-16,NaN
104.0,1.34e-16,NaN
105.0,1.39e-16,NaN
106.0,1.4e-16,NaN
107.0,1.41e-16,NaN
108.0,1.38e-16,NaN
109.0,1.33e-16,NaN
110.0,1.27e-16,NaN
111.0,1.23e-16,NaN
112.0,1.19e-16,NaN
113.0,1.17e-16,NaN
114.0,1.16e-16,NaN
115.0,1.14e-16,NaN
116.0,1.1e-16,NaN
117.0,1.05e-16,NaN
118.0,1.0e-16,NaN
119.0,9.53e-17,NaN
120.0,8.77e-17,NaN
121.0,8.7e-17,NaN
122.0,7.8e-17,NaN
123.0,7.55e-17,NaN
124.0,7.34e-17,NaN
125.0,7.12e-17,NaN
