λ,σ,Δσ
105.73,1.1e-16,NaN
106.42,1.1e-16,NaN
107.42,1.08e-16,NaN
108.2,1.06e-16,NaN
108.62,1.03e-16,NaN
109.72,9.8e-17,NaN
110.37,9.54e-17,NaN
111.15,9.29e-17,NaN
112.26,8.98e-17,NaN
112.82,8.88e-17,NaN
114.42,8.86e-17,NaN
116.39,9.04e-17,NaN
118.69,9.16e-17,NaN
120.97,9.06e-17,NaN
122.43,8.83e-17,NaN
123.55,8.58e-17,NaN
124.78,8.35e-17,NaN
125.56,8.16e-17,NaN
126.68,7.91e-17,NaN
128.03,7.69e-17,NaN
129.26,7.44e-17,NaN
130.03,7.18e-17,NaN
130.81,6.93e-17,NaN
131.81,6.67e-17,NaN
132.58,6.4e-17,NaN
133.35,6.14e-17,NaN
134.01,5.86e-17,NaN
134.9,5.61e-17,NaN
135.56,5.43e-17,NaN
136.11,5.22e-17,NaN
137.0,4.96e-17,NaN
137.65,4.7e-17,NaN
138.42,4.42e-17,NaN
139.31,4.18e-17,NaN
140.32,3.98e-17,NaN
140.74,3.67e-17,NaN
142.09,3.44e-17,NaN
143.56,3.21e-17,NaN
145.48,3.02e-17,NaN
148.12,3.02e-17,NaN
150.75,3.02e-17,NaN
153.28,3.06e-17,NaN
155.32,2.91e-17,NaN
156.92,2.86e-17,NaN
157.81,2.64e-17,NaN
158.7,2.42e-17,NaN
159.71,2.2e-17,NaN
160.59,1.95e-17,NaN
161.25,1.71e-17,NaN
161.92,1.5e-17,NaN
162.81,1.25e-17,NaN
164.27,1.02e-17,NaN
165.73,7.94e-18,NaN
166.73,5.43e-18,NaN
169.01,4.42e-18,NaN
171.64,3.96e-18,NaN
174.05,4.37e-18,NaN
176.46,4.56e-18,NaN
178.54,6.27e-18,NaN
180.51,7.77e-18,NaN
182.14,9.92e-18,NaN
183.99,1.19e-17,NaN
185.62,1.39e-17,NaN
187.59,1.57e-17,NaN
189.67,1.73e-17,NaN
192.2,1.82e-17,NaN
194.83,1.8e-17,NaN
196.42,1.7e-17,NaN
197.34,1.71e-17,NaN
199.62,1.61e-17,NaN
202.13,1.57e-17,NaN
204.06,1.39e-17,NaN
205.87,1.19e-17,NaN
207.34,9.74e-18,NaN
209.37,7.65e-18,NaN
211.42,6.0e-18,NaN
213.23,3.91e-18,NaN
215.38,2.37e-18,NaN
217.89,1.36e-18,NaN
220.41,6.79e-19,NaN
223.15,5.39e-19,NaN
225.79,7.26e-19,NaN
228.54,8.03e-19,NaN
231.06,5.57e-19,NaN
233.7,9.61e-19,NaN
236.34,1.47e-18,NaN
238.97,1.44e-18,NaN
241.61,1.63e-18,NaN
244.14,2.36e-18,NaN
247.0,2.11e-18,NaN
249.4,1.87e-18,NaN
252.04,2.16e-18,NaN
254.56,2.35e-18,NaN
256.96,1.78e-18,NaN
259.59,1.53e-18,NaN
262.11,9.6e-19,NaN
264.85,6.03e-19,NaN
267.6,4.62e-19,NaN
