λ,σ,Δσ
186.56,9.62e-18,NaN
187.09,9.99e-18,NaN
187.95,1.06e-17,NaN
188.7,1.13e-17,NaN
189.45,1.19e-17,NaN
190.62,1.25e-17,NaN
192.75,1.28e-17,NaN
195.09,1.26e-17,NaN
197.0,1.21e-17,NaN
198.49,1.16e-17,NaN
199.76,1.1e-17,NaN
200.93,1.04e-17,NaN
201.67,9.95e-18,NaN
202.51,9.3e-18,NaN
203.15,8.93e-18,NaN
204.1,8.31e-18,NaN
205.05,7.67e-18,NaN
205.9,7.05e-18,NaN
206.75,6.41e-18,NaN
207.28,6.04e-18,NaN
208.23,5.42e-18,NaN
209.5,4.83e-18,NaN
210.78,4.24e-18,NaN
212.15,3.68e-18,NaN
213.75,3.14e-18,NaN
215.44,2.65e-18,NaN
217.25,2.32e-18,NaN
219.27,2.12e-18,NaN
220.6,2.02e-18,NaN
223.37,1.91e-18,NaN
224.96,1.86e-18,NaN
227.3,1.81e-18,NaN
229.64,1.76e-18,NaN
231.98,1.71e-18,NaN
234.31,1.64e-18,NaN
236.33,1.57e-18,NaN
238.24,1.47e-18,NaN
239.84,1.38e-18,NaN
241.32,1.27e-18,NaN
242.91,1.16e-18,NaN
244.61,1.06e-18,NaN
246.2,9.58e-19,NaN
248.12,8.55e-19,NaN
249.92,7.69e-19,NaN
251.73,6.77e-19,NaN
253.74,5.85e-19,NaN
255.66,5.04e-19,NaN
257.68,4.23e-19,NaN
259.69,3.41e-19,NaN
261.82,2.76e-19,NaN
264.37,1.62e-19,NaN
267.24,6.98e-20,NaN
